T,state
10056,3
13117,3
13140,3
13289,3
13348,3
13455,3
14744,3
14744,3
14744,3
14745,3
14759,3
14773,3
14783,3
14792,3
14806,3
14816,3
14827,3
14872,3
14881,3
14881,3
14894,3
14908,3
14917,3
14917,3
14935,3
14944,3
14944,3
14959,3
15003,3
15012,3
15022,3
15036,3
15046,3
15055,3
15069,3
15079,3
15091,3
15134,3
15144,3
15154,3
15167,3
15177,3
15187,3
15201,3
15210,3
15222,3
15266,3
15275,3
15285,3
15299,3
15309,3
15318,3
15332,3
15342,3
15354,3
15398,3
15407,3
15417,3
15431,3
15440,3
15450,3
15464,3
15474,3
15486,3
15529,3
15539,3
15548,3
15562,3
15572,3
15582,3
15596,3
15605,3
15617,3
15661,3
15670,3
15680,3
15694,3
15704,3
15713,3
15727,3
15737,3
15749,3
15792,3
15802,3
15811,3
15825,3
15835,3
15845,3
15859,3
15868,3
15880,3
15924,3
15934,3
15943,3
15943,3
15960,3
15970,3
15979,3
15993,3
16003,3
16015,3
16059,3
16068,3
16078,3
16092,3
16101,3
16111,3
16125,3
16135,3
16147,3
16190,3
16200,3
16209,3
16223,3
16233,3
16243,3
16257,3
16266,3
16278,3
16322,3
16331,3
16341,3
16355,3
16365,3
16374,3
16388,3
16398,3
16410,3
16453,3
16463,3
16473,3
16487,3
16496,3
16506,3
16520,3
16530,3
16542,3
16585,3
16595,3
16604,3
16618,3
16628,3
16638,3
16652,3
16661,3
16673,3
16717,3
16726,3
16726,3
16739,3
16753,3
16763,3
16772,3
16786,3
16796,3
16808,3
16851,3
16861,3
16861,3
16874,3
16888,3
16897,3
16897,3
16914,3
16924,3
16936,3
16980,3
16989,3
16999,3
17013,3
17022,3
17032,3
17046,3
17056,3
17068,3
17111,3
17121,3
17130,3
17144,3
17154,3
17164,3
17178,3
17187,3
17199,3
17243,3
17253,3
17262,3
17276,3
17286,3
17295,3
17309,3
17319,3
17331,3
17375,3
17384,3
17394,3
17408,3
17417,3
17427,3
17441,3
17451,3
17461,3
17506,3
17516,3
17526,3
17540,3
17549,3
17559,3
17573,3
17582,3
17593,3
17634,3
17648,3
17657,3
17671,3
17681,3
17691,3
17705,3
17714,3
17725,3
17765,3
17779,3
17779,3
17792,3
17806,3
17816,3
17825,3
17839,3
17849,3
17861,3
17905,3
17914,3
17914,3
17927,3
17941,3
17950,3
17950,3
17963,3
17977,3
17988,3
18028,3
18042,3
18052,3
18062,3
18076,3
18085,3
18085,3
18102,3
18112,3
18124,3
18167,3
18177,3
18187,3
18201,3
18210,3
18220,3
18234,3
18244,3
18256,3
18299,3
18309,3
18318,3
18332,3
18342,3
18352,3
18366,3
18375,3
18387,3
18431,3
18440,3
18450,3
18464,3
18474,3
18483,3
18497,3
18507,3
18519,3
18562,3
18572,3
18582,3
18596,3
18605,3
18615,3
18629,3
18639,3
18649,3
18694,3
18704,3
18713,3
18723,3
18737,3
18747,3
18761,3
18770,3
18781,3
18821,3
18835,3
18845,3
18855,3
18869,3
18878,3
18888,3
18902,3
18912,3
18942,3
18967,3
18977,3
18986,3
19000,3
19010,3
19020,3
19034,3
19043,3
19053,3
19095,3
19108,3
19118,3
19132,3
19142,3
19151,3
19165,3
19175,3
19184,3
19199,3
19240,3
19250,3
19264,3
19273,3
19273,3
19290,3
19300,3
19310,3
19324,3
19334,3
19375,3
19389,3
19398,3
19408,3
19422,3
19432,3
19441,3
19455,3
19466,3
19506,3
19520,3
19530,3
19540,3
19554,3
19563,3
19573,3
19587,3
19598,3
19638,3
19652,3
19662,3
19671,3
19685,3
19695,3
19705,3
19719,3
19729,3
19770,3
19784,3
19793,3
19803,3
19817,3
19827,3
19836,3
19850,3
19861,3
19901,3
19915,3
19925,3
19935,3
19949,3
19958,3
19968,3
19982,3
19992,3
20033,3
20043,3
20057,3
20066,3
20076,3
20090,3
20099,3
20113,3
20124,3
20164,3
20164,3
20182,3
20191,3
20191,3
20204,3
20218,3
20227,3
20227,3
20240,3
20255,3
20296,3
20305,3
20319,3
20329,3
20338,3
20352,3
20362,3
20372,3
20387,3
20427,3
20437,3
20451,3
20460,3
20470,3
20484,3
20494,3
20503,3
20518,3
20559,3
20568,3
20582,3
20592,3
20602,3
20616,3
20625,3
20635,3
20650,3
20690,3
20700,3
20714,3
20724,3
20733,3
20747,3
20757,3
20766,3
20781,3
20822,3
20832,3
20846,3
20855,3
20865,3
20879,3
20888,3
20898,3
20913,3
20954,3
20963,3
20977,3
20987,3
20996,3
21010,3
21020,3
21030,3
21045,3
21085,3
21095,3
21109,3
21118,3
21118,3
21131,3
21145,3
21155,3
21164,3
21179,3
21220,3
21229,3
21243,3
21253,3
21263,3
21277,3
21286,3
21296,3
21311,3
21351,3
21361,3
21375,3
21384,3
21394,3
21408,3
21418,3
21427,3
21442,3
21483,3
21492,3
21506,3
21516,3
21526,3
21539,3
21549,3
21559,3
21574,3
21614,3
21624,3
21638,3
21647,3
21657,3
21671,3
21681,3
21690,3
21705,3
21745,3
21755,3
21769,3
21779,3
21788,3
21802,3
21812,3
21822,3
21837,3
21877,3
21887,3
21901,3
21910,3
21920,3
21934,3
21943,3
21953,3
21968,3
22009,4
22023,4
22037,4
22046,4
22056,4
22075,4
22084,4
22099,4
22144,4
22154,4
22173,4
22182,4
22196,4
22206,4
22225,4
22236,4
22281,4
22295,4
22304,4
22314,4
22333,4
22342,4
22352,4
22366,4
22397,4
22431,4
22441,4
22450,4
22464,4
22479,4
22493,4
22502,4
22514,4
22563,4
22577,4
22591,4
22601,4
22610,4
22630,4
22639,4
22650,4
22699,4
22709,4
22728,4
22738,4
22747,4
22761,4
22776,4
22791,4
22836,4
22846,4
22860,4
22875,4
22889,4
22898,4
22908,4
22928,4
22973,4
22987,4
22997,4
23006,4
23025,4
23035,4
23045,4
23059,4
23090,4
23124,4
23134,4
23143,4
23157,4
23172,4
23186,4
23195,4
23207,4
23252,4
23265,4
23284,4
23294,4
23304,4
23323,4
23332,4
23342,4
23357,4
23402,4
23421,4
23431,4
23440,4
23454,4
23464,4
23483,4
23493,4
23539,4
23552,4
23562,4
23581,4
23591,4
23600,4
23614,4
23630,4
23679,4
23689,4
23698,4
23712,4
23727,4
23736,4
23750,4
23761,4
23810,4
23825,4
23835,4
23848,4
23858,4
23877,4
23887,4
23899,4
23947,4
23956,4
23975,4
23985,4
23994,4
24008,4
24023,4
24032,4
24083,4
24092,4
24106,4
24121,4
24131,4
24144,4
24154,4
24164,4
24219,4
24229,4
24243,4
24252,4
24262,4
24281,4
24290,4
24301,4
24330,4
24360,4
24379,4
24388,4
24398,4
24412,4
24427,4
24440,4
24451,4
24496,4
24510,4
24525,4
24539,4
24548,4
24558,4
24577,4
24587,4
24637,4
24646,4
24656,4
24675,4
24684,4
24694,4
24708,4
24725,4
24773,4
24783,4
24792,4
24806,4
24821,4
24835,4
24844,4
24856,4
24904,4
24914,4
24933,4
24942,4
24942,4
24955,4
24974,4
24983,4
24998,4
25044,4
25053,4
25072,4
25082,4
25091,4
25105,4
25115,4
25135,4
25180,4
25189,4
25203,4
25213,4
25232,4
25241,4
25251,4
25265,4
25311,4
25330,4
25340,4
25349,4
25363,4
25378,4
25387,4
25402,4
25447,4
25461,4
25476,4
25485,4
25499,4
25509,4
25528,4
25539,4
25577,4
25597,4
25607,4
25626,4
25636,4
25645,4
25659,4
25674,4
25683,4
25698,4
25743,4
25757,4
25772,4
25781,4
25795,4
25805,4
25814,4
25834,4
25880,4
25893,4
25903,4
25913,4
25932,4
25941,4
25941,4
25958,4
25974,4
26014,4
26033,4
26042,4
26056,4
26071,4
26080,4
26094,4
26105,4
26154,4
26164,4
26179,4
26192,4
26202,4
26212,4
26231,4
26243,4
26280,4
26300,4
26310,4
26329,4
26338,4
26352,4
26362,4
26376,4
26391,4
26436,4
26450,4
26460,4
26475,4
26488,4
26498,4
26508,4
26528,4
26573,4
26587,4
26596,4
26606,4
26625,4
26634,4
26648,4
26659,4
26704,4
26723,4
26732,4
26746,4
26756,
