T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
6947,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7089,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7207,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7321,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7440,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7554,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7672,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7786,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7905,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8019,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8138,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8252,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8370,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8484,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8603,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8717,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8835,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8949,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9066,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9180,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9297,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9411,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9528,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9642,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9759,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9873,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9990,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10104,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10222,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10337,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10453,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10568,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10684,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10799,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10915,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11030,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11146,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11261,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11377,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11492,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11608,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11723,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11839,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11954,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12070,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12185,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12312,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12446,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12573,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12706,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12833,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12967,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13097,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13234,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13364,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13494,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13624,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13757,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13888,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14018,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14151,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14282,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14415,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14545,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14675,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14806,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
