T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
7145,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7287,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7406,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7520,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7638,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7752,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7870,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7984,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8102,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8216,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8335,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8449,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8567,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8681,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8800,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8914,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9032,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9146,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9264,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9378,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9495,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9609,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9726,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9840,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9957,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10071,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10189,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10304,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10420,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10535,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10650,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10765,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10882,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10997,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11113,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11228,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11344,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11459,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11584,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11711,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11845,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11975,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
12202,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
12417,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
12612,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
12810,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
13021,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
13212,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
13383,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
13516,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
13648,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
13778,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
13910,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
14043,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
14174,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
14310,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
14440,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
14579,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
14710,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
14852,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
14983,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
15115,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
15250,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
15378,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
15510,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
15642,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
15778,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
15905,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
16037,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
16169,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
16305,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
16435,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
16567,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
16700,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
16830,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
16962,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
17094,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
17222,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
17364,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
17492,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
17627,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
17755,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
17886,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
18016,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
18152,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
18291,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
18420,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
18570,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
18710,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
18850,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
18978,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
19115,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
19265,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
19405,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
19544,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
19672,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
19816,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
19952,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
20095,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
20229,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
20365,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
20518,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
20658,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
20794,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
20926,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
21061,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
21211,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
21351,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
21479,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
21615,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
21762,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
21904,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
22032,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
22168,98, -170, 853,	98, 170, 817,	-189, 0, 892,	11.23, 6.04
