T,a1,a2,a3
6763,2906, 2908, 2886
6891,2863, 2841, 3257
7009,2853, 2903, 2906
7123,2831, 2797, 2941
7241,2839, 3131, 2925
7355,2814, 2803, 2905
7474,2906, 2821, 2944
7588,2830, 2789, 2931
7706,2832, 2938, 3051
7820,2850, 2807, 2885
7938,2876, 2829, 2855
8052,2832, 2832, 2869
8171,2878, 2812, 3004
8285,2890, 2767, 2911
8404,2923, 2773, 2895
8518,2871, 2774, 2901
8636,2908, 2912, 2817
8752,2880, 2829, 2977
8868,3003, 2794, 2883
8983,2885, 2951, 2875
9099,2909, 2770, 2896
9214,2835, 2781, 2917
9330,2865, 2789, 2718
9445,2862, 2801, 2876
9561,2907, 2834, 2807
9676,2925, 2801, 2861
9792,2859, 2833, 2864
9907,2897, 2762, 3201
10023,2894, 2900, 2838
10138,2985, 2832, 2851
10254,2910, 2835, 2867
10369,2859, 2765, 2867
10486,2858, 2915, 2898
10601,2893, 2747, 2900
10717,2928, 2851, 2858
10832,2914, 2886, 2865
10948,2880, 2803, 2866
11063,2886, 2890, 2763
11179,2880, 2795, 2832
11294,2944, 2794, 2907
11410,2854, 2912, 2862
11525,2880, 2826, 2902
11641,2928, 2880, 3041
11820,2903, 2807, 2953
12072,2928, 2866, 2839
12276,2850, 2807, 2878
12466,2914, 2816, 2842
12594,2869, 2847, 2882
12714,2762, 2935, 2885
12830,2677, 2799, 2991
12951,2618, 3024, 2994
13067,2589, 2815, 2938
13188,2602, 2659, 2975
13318,2559, 2956, 2837
13450,2587, 3130, 3010
13581,2609, 2832, 3031
13723,2586, 2805, 3024
13854,2559, 2847, 2958
13986,2602, 2849, 3015
14121,2559, 2823, 2997
14259,2559, 2919, 2997
14391,2579, 2809, 3022
14522,2641, 2851, 2955
14654,2629, 2875, 3038
14789,2559, 2801, 3006
14921,2586, 2848, 2956
15056,2608, 2751, 2960
15184,2549, 3068, 2986
15316,2622, 2807, 3007
15448,2559, 2909, 2943
15580,2595, 2961, 2991
15711,2559, 2828, 2970
15843,2633, 2844, 3003
15975,2603, 2768, 2971
16110,2555, 2787, 2953
16238,2593, 2871, 3046
16373,2624, 2909, 3043
16508,2613, 2642, 2978
16640,2624, 2783, 3097
16771,2594, 2885, 3009
16912,2528, 2895, 3011
17043,2515, 2753, 3035
17179,2602, 2741, 3119
17316,2679, 3062, 3175
17447,3015, 3142, 3472
17606,3038, 3195, 3565
17738,3164, 3329, 3772
17870,3262, 3399, 4050
18007,3227, 3368, 3741
18138,3243, 3341, 3678
18284,3107, 3536, 3733
18420,2967, 3271, 3629
18561,2832, 3259, 3664
18692,2733, 3344, 3551
18829,2640, 3267, 3669
18965,2518, 3175, 3670
19106,2537, 3226, 3739
19257,2550, 3303, 3718
19387,2656, 3095, 3616
19524,2672, 3138, 3601
19660,2705, 3250, 2966
19791,2751, 3219, 3664
19927,2704, 3312, 3618
20067,2685, 3165, 3472
20217,2685, 3137, 3539
20356,2687, 3137, 3610
20494,2698, 3154, 3523
20631,2734, 3203, 3507
20774,2797, 3226, 3634
20911,2686, 3219, 3456
21042,2666, 3224, 3487
21178,2683, 3299, 3527
21315,2708, 3214, 3547
21451,2732, 3179, 3547
21582,2702, 3174, 3467
21722,2702, 3237, 3583
21862,2736, 3059, 3517
21994,2763, 3290, 3583
