T,yaw,pitch,roll
6770,-0.01, 0.00, 0.04
6893,-0.04, -0.00, 0.03
7011,-0.06, -0.00, 0.03
7125,-0.09, -0.00, 0.03
7244,-0.12, -0.00, 0.04
7359,-0.14, -0.01, 0.03
7477,-0.15, -0.01, 0.03
7591,-0.17, -0.01, 0.02
7710,-0.17, -0.01, 0.02
7824,-0.18, -0.01, 0.03
7943,-0.19, -0.00, 0.03
8057,-0.19, -0.00, 0.03
8176,-0.19, -0.00, 0.03
8294,-0.20, -0.01, 0.02
8408,-0.20, -0.02, 0.02
8525,-0.21, -0.01, 0.03
8639,-0.23, -0.01, 0.03
8756,-0.24, -0.01, 0.04
8870,-0.25, -0.01, 0.04
8987,-0.26, -0.01, 0.04
9102,-0.27, -0.01, 0.03
9218,-0.27, -0.01, 0.03
9332,-0.28, -0.01, 0.03
9449,-0.29, -0.01, 0.04
9563,-0.30, -0.01, 0.04
9680,-0.31, -0.01, 0.04
9794,-0.32, -0.01, 0.04
9911,-0.33, -0.01, 0.03
10026,-0.33, -0.01, 0.03
10143,-0.34, -0.01, 0.03
10258,-0.35, -0.01, 0.03
10374,-0.35, -0.01, 0.04
10489,-0.36, -0.01, 0.04
10605,-0.37, -0.01, 0.04
10720,-0.37, -0.01, 0.03
10836,-0.38, -0.01, 0.03
10951,-0.38, -0.01, 0.03
11067,-0.39, -0.01, 0.04
11182,-0.39, -0.01, 0.04
11298,-0.40, -0.01, 0.05
11421,-0.40, -0.02, 0.04
11551,-0.41, -0.02, 0.03
11812,-0.41, -0.01, 0.03
11942,-0.42, -0.01, 0.04
12072,-0.42, -0.02, 0.04
12203,-0.43, -0.02, 0.03
12329,-0.43, -0.02, 0.03
12460,-0.43, -0.00, 0.03
12631,-0.44, 0.00, 0.04
12840,-0.45, -0.02, 0.04
13100,-0.45, -0.02, 0.03
13299,-0.46, -0.01, 0.04
13503,-0.46, -0.02, 0.04
13699,-0.47, -0.03, 0.03
13899,-0.47, -0.02, 0.03
14095,-0.48, -0.01, 0.04
14296,-0.49, -0.01, 0.03
14494,-0.49, -0.01, 0.03
14681,-0.50, -0.00, 0.03
14888,-0.51, -0.01, 0.05
15086,-0.52, -0.02, 0.04
15250,-0.52, -0.03, 0.04
15370,-0.53, -0.02, 0.04
15490,-0.55, -0.04, 0.06
15607,-0.56, -0.04, 0.07
15728,-0.58, -0.04, 0.06
15845,-0.63, -0.01, 0.04
15966,-0.66, 0.01, 0.03
16084,-0.69, 0.03, 0.02
16201,-0.74, 0.03, 0.04
16323,-0.77, 0.01, 0.04
16450,-0.81, -0.01, 0.04
16586,-0.84, -0.01, 0.04
16718,-0.87, -0.00, 0.03
16851,-0.89, 0.00, 0.03
16988,-0.92, 0.00, 0.02
17120,-0.93, 0.00, 0.02
17252,-0.94, 0.00, 0.02
17383,-0.95, 0.00, 0.02
17518,-0.95, 0.00, 0.03
17653,-0.96, 0.01, 0.03
17785,-0.97, 0.01, 0.03
17917,-0.99, 0.00, 0.04
18049,-1.00, -0.00, 0.05
18181,-1.01, -0.00, 0.05
18313,-1.03, -0.00, 0.05
18445,-1.04, -0.00, 0.03
18577,-1.05, -0.01, 0.03
18709,-1.06, -0.01, 0.03
18841,-1.08, -0.01, 0.03
18973,-1.08, -0.01, 0.03
19105,-1.10, -0.01, 0.02
19237,-1.11, -0.00, 0.02
19369,-1.12, 0.00, 0.02
19501,-1.13, -0.00, 0.03
19633,-1.14, -0.01, 0.04
19765,-1.16, -0.00, 0.05
19897,-1.17, -0.00, 0.04
20029,-1.18, -0.00, 0.04
20161,-1.19, -0.00, 0.04
20293,-1.21, -0.01, 0.04
20425,-1.22, -0.01, 0.05
20557,-1.23, -0.01, 0.04
20689,-1.24, -0.01, 0.02
20831,-1.25, -0.01, 0.02
20963,-1.26, -0.00, 0.02
21095,-1.28, -0.01, 0.03
21227,-1.29, -0.01, 0.03
21359,-1.30, -0.01, 0.03
21499,-1.31, -0.01, 0.03
21623,-1.32, -0.00, 0.03
21755,-1.34, -0.00, 0.04
21887,-1.35, -0.00, 0.05
22019,-1.36, -0.01, 0.05
22151,-1.38, -0.00, 0.04
22283,-1.38, 0.00, 0.04
22415,-1.40, 0.01, 0.03
22547,-1.41, 0.01, 0.03
22678,-1.42, 0.00, 0.03
22810,-1.44, -0.01, 0.03
22942,-1.45, -0.01, 0.02
23074,-1.46, -0.01, 0.02
23206,-1.48, -0.01, 0.03
23338,-1.49, -0.01, 0.04
23470,-1.50, -0.02, 0.04
23602,-1.52, -0.02, 0.04
23734,-1.53, -0.02, 0.04
23866,-1.54, -0.01, 0.04
23998,-1.56, 0.01, 0.05
24144,-1.57, 0.01, 0.05
24275,-1.58, 0.00, 0.04
24407,-1.60, -0.00, 0.03
24539,-1.61, 0.00, 0.03
24671,-1.62, 0.01, 0.03
24803,-1.64, 0.01, 0.02
24939,-1.66, -0.00, 0.02
25076,-1.67, -0.01, 0.02
25208,-1.68, -0.02, 0.02
25345,-1.71, -0.02, 0.01
25482,-1.72, -0.02, 0.00
25626,-1.75, -0.02, -0.01
25773,-1.78, -0.04, -0.01
25901,-1.81, -0.06, -0.01
26038,-1.82, -0.07, -0.02
26189,-1.82, -0.06, -0.04
26326,-1.82, -0.04, -0.03
26458,-1.81, -0.02, -0.02
26604,-1.81, -0.03, -0.03
26749,-1.82, -0.05, -0.05
26892,-1.82, -0.07, -0.06
27029,-1.82, -0.07, -0.07
27173,-1.83, -0.04, -0.04
27297,-1.84, -0.02, -0.03
27442,-1.86, -0.03, -0.04
27578,-1.88, -0.04, -0.04
27724,-1.91, -0.06, -0.05
27875,-1.94, -0.06, -0.05
28021,-1.97, -0.05, -0.03
28169,-2.00, -0.02, -0.01
28301,-2.02, -0.05, -0.06
28441,-2.05, -0.05, -0.05
28578,-2.06, -0.05, -0.02
28728,-2.08, -0.03, -0.01
28860,-2.08, -0.06, -0.08
29003,-2.09, -0.04, -0.09
29140,-2.09, -0.01, -0.09
29277,-2.09, 0.00, -0.11
29409,-2.09, 0.01, -0.16
29554,-2.11, -0.00, -0.14
29696,-2.13, -0.01, -0.11
29833,-2.13, -0.01, -0.09
29970,-2.16, -0.01, -0.06
30102,-2.17, -0.02, -0.06
30246,-2.19, -0.03, -0.05
30382,-2.20, -0.03, -0.05
30514,-2.22, -0.03, -0.05
30673,-2.23, -0.03, -0.05
30797,-2.25, -0.02, -0.05
30941,-2.27, -0.02, -0.05
31079,-2.28, -0.02, -0.05
31224,-2.30, -0.02, -0.05
31375,-2.31, -0.02, -0.05
31503,-2.33, -0.02, -0.05
31643,-2.35, -0.02, -0.05
31786,-2.36, -0.02, -0.05
31927,-2.37, -0.02, -0.05
32059,-2.39, -0.02, -0.05
32196,-2.41, -0.02, -0.05
32332,-2.42, -0.02, -0.05
32479,-2.43, -0.02, -0.05
32624,-2.45, -0.02, -0.05
32755,-2.47, -0.02, -0.05
32888,-2.49, -0.02, -0.05
33025,-2.50, -0.02, -0.05
33156,-2.51, -0.02, -0.05
33310,-2.53, -0.02, -0.05
33453,-2.55, -0.02, -0.05
33582,-2.56, -0.02, -0.05
33712,-2.57, -0.02, -0.05
33852,-2.59, -0.02, -0.05
33989,-2.61, -0.02, -0.05
34125,-2.62, -0.02, -0.05
34257,-2.64, -0.02, -0.05
34394,-2.65, -0.02, -0.05
34538,-2.67, -0.02, -0.05
34675,-2.68, -0.02, -0.05
34803,-2.70, -0.02, -0.05
34943,-2.71, -0.02, -0.05
35080,-2.73, -0.02, -0.05
35227,-2.74, -0.02, -0.05
35359,-2.76, -0.02, -0.05
35496,-2.78, -0.02, -0.05
35632,-2.79, -0.02, -0.05
35770,-2.80, -0.02, -0.05
35907,-2.82, -0.02, -0.05
36044,-2.84, -0.02, -0.05
36188,-2.85, -0.02, -0.05
36321,-2.86, -0.02, -0.05
36453,-2.88, -0.03, -0.05
36593,-2.89, -0.06, -0.05
36761,-2.89, -0.05, 0.01
36968,-2.91, 0.05, 0.11
