T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
7343,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7485,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7603,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7717,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7835,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7949,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8068,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8182,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8300,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8414,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8532,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8646,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8764,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8878,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8996,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9110,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9228,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9342,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9460,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9574,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9692,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9806,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9924,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10038,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10156,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10271,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10387,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10502,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10618,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10733,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10848,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10980,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11109,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11242,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11369,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11509,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11642,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11769,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11902,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12032,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12164,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12294,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12429,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12563,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12693,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12824,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12953,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13076,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13206,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13339,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13466,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13596,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13732,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
13933,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
14132,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
14328,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
14447,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
14568,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
14704,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
14836,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
14975,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
15106,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
15238,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
15373,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
15505,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
15637,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
15768,100, -174, 434,	99, 172, 470,	-192, 0, 486,	6.63, -5.92
