T,pwm1,pwm2,pwm3
6779,2025,1975,2000
6899,2025,1975,2000
7017,2025,1975,2000
7131,2025,1975,2000
7250,2025,1975,2000
7364,2025,1975,2000
7482,2025,1975,2000
7596,2025,1975,2000
7714,2025,1975,2000
7828,2025,1975,2000
7947,2025,1975,2000
8061,2025,1975,2000
8180,2025,1975,2000
8298,2025,1975,2000
8413,2025,1975,2000
8531,2025,1975,2000
8645,2025,1975,2000
8761,2025,1975,2000
8876,2025,1975,2000
8992,2025,1975,2000
9107,2025,1975,2000
9223,2025,1975,2000
9338,2025,1975,2000
9454,2025,1975,2000
9569,2025,1975,2000
9685,2025,1975,2000
9800,2025,1975,2000
9916,2025,1975,2000
10031,2025,1975,2000
10148,2025,1975,2000
10262,2025,1975,2000
10379,2025,1975,2000
10494,2025,1975,2000
10610,2025,1975,2000
10725,2025,1975,2000
10841,2025,1975,2000
10956,2025,1975,2000
11072,2025,1975,2000
11187,2025,1975,2000
11303,2025,1975,2000
11418,2025,1975,2000
11534,2025,1975,2000
11671,2025,1975,2000
11801,2025,1975,2000
11932,2025,1975,2000
12054,2025,1975,2000
12198,2025,1975,2000
12331,2025,1975,2000
12461,2025,1975,2000
12595,2025,1975,2000
12726,2025,1975,2000
12856,2025,1975,2000
12978,2025,1975,2000
13108,2025,1975,2000
13238,2025,1975,2000
13372,2025,1975,2000
13502,2025,1975,2000
13632,2025,1975,2000
13762,2025,1975,2000
13893,2025,1975,2000
14019,2025,1975,2000
14149,2025,1975,2000
14283,2025,1975,2000
14413,2025,1975,2000
14543,2025,1975,2000
14676,2025,1975,2000
14806,2025,1975,2000
14934,2025,1975,2000
15134,2025,1975,2000
15343,2025,1975,2000
15624,1898,1975,2066
15748,1898,1975,2066
15880,1898,1975,2066
16012,1898,1975,2066
16143,1898,1975,2066
16275,1898,1975,2066
16407,1898,1975,2066
16538,1898,1975,2066
16673,1898,1975,2066
16819,1898,1975,2066
16953,1898,1975,2066
17095,1898,1975,2066
17227,1898,1975,2066
17357,1898,1975,2066
17495,1898,1975,2066
17647,1898,1975,2066
17785,1898,1975,2066
17926,1898,1975,2066
18065,1898,1975,2066
18189,1898,1975,2066
18321,1898,1975,2066
18453,1898,1975,2066
18585,1898,1975,2066
18716,1898,1975,2066
18851,1898,1975,2066
18997,1898,1975,2066
19128,1898,1975,2066
19263,1898,1975,2066
19395,1898,1975,2066
19526,1898,1975,2066
19658,1898,1975,2066
19790,1898,1975,2066
19922,1898,1975,2066
20053,1898,1975,2066
20185,1898,1975,2066
20317,1898,1975,2066
20448,1898,1975,2066
20577,1898,1975,2066
20709,1898,1975,2066
20846,1898,1975,2066
20982,1898,1975,2066
21113,1898,1975,2066
21245,1898,1975,2066
21377,1898,1975,2066
21508,1898,1975,2066
21640,1898,1975,2066
21772,1898,1975,2066
21904,1898,1975,2066
22035,1898,1975,2066
22167,1898,1975,2066
22303,1898,1975,2066
22430,1898,1975,2066
22565,1898,1975,2066
22697,1898,1975,2066
22830,1898,1975,2066
22967,1898,1975,2066
23098,1898,1975,2066
23239,1898,1975,2066
23371,2025,1975,2000
23503,2025,1975,2000
23650,2025,1975,2000
23781,2025,1975,2000
23916,2025,1975,2000
24050,2025,1975,2000
24184,2025,1975,2000
24316,2025,1975,2000
24457,2025,1975,2000
24598,2025,1975,2000
24723,2025,1975,2000
24857,2025,1975,2000
24999,2025,1975,2000
25134,2025,1975,2000
25271,2025,1975,2000
25398,2025,1975,2000
25530,2025,1975,2000
25666,2025,1975,2000
25805,2025,1975,2000
25934,2025,1975,2000
26071,2025,1975,2000
26205,2025,1975,2000
26340,2025,1975,2000
26488,2025,1975,2000
26622,2025,1975,2000
26751,2025,1975,2000
26898,2025,1975,2000
27046,2025,1975,2000
27177,2025,1975,2000
27309,2025,1975,2000
27443,2025,1975,2000
27580,2025,1975,2000
27715,2025,1975,2000
27849,2025,1975,2000
27983,2025,1975,2000
28115,2025,1975,2000
28243,2025,1975,2000
28374,2025,1975,2000
28503,2025,1975,2000
28637,2025,1975,2000
28773,2025,1975,2000
28900,2025,1975,2000
29035,2025,1975,2000
29172,2025,1975,2000
29298,2025,1975,2000
29428,2025,1975,2000
