T,L1,L2,L3
6756,0, 0, 0
6892,321, 239, 253
7010,444, 445, 468
7124,553, 552, 584
7243,610, 607, 641
7357,638, 637, 670
7475,653, 653, 686
7589,661, 662, 693
7707,665, 663, 699
7821,665, 662, 701
7940,665, 664, 701
8054,665, 664, 702
8173,662, 663, 701
8287,659, 665, 699
8406,656, 664, 699
8520,658, 665, 701
8638,658, 666, 701
8752,659, 666, 705
8869,660, 665, 702
8983,659, 665, 701
9100,660, 664, 697
9214,657, 668, 696
9331,659, 668, 696
9445,658, 669, 697
9562,657, 669, 699
9676,658, 669, 697
9793,657, 669, 697
9907,657, 673, 697
10024,658, 671, 696
10139,659, 670, 698
10255,660, 671, 698
10370,655, 671, 699
10487,658, 669, 693
10602,656, 667, 694
10718,657, 673, 694
10833,656, 673, 695
10949,656, 675, 696
11064,657, 677, 694
11180,659, 673, 695
11295,660, 672, 697
11411,659, 671, 697
11526,657, 674, 696
11651,658, 675, 695
11781,658, 675, 692
11911,659, 675, 691
12041,660, 676, 692
12171,656, 677, 694
12311,657, 671, 694
12445,657, 672, 693
12575,656, 670, 695
12705,655, 672, 691
12835,650, 664, 689
12965,649, 660, 684
13096,648, 659, 685
13226,647, 659, 683
13359,643, 663, 679
13489,643, 665, 678
13620,643, 663, 676
13750,647, 655, 678
13880,647, 651, 681
14007,646, 653, 678
14133,645, 655, 679
14266,645, 655, 681
14396,648, 661, 678
14526,646, 658, 677
14656,645, 660, 681
14787,645, 663, 682
14917,645, 659, 680
15084,646, 654, 681
15289,647, 655, 683
15551,645, 650, 679
15736,645, 651, 680
15867,658, 655, 679
15999,665, 654, 675
16131,670, 657, 675
16263,671, 656, 675
16394,669, 655, 676
16526,669, 657, 675
16657,671, 656, 675
16802,672, 658, 673
16933,672, 659, 671
17082,672, 657, 669
17210,671, 661, 669
17345,670, 661, 671
17483,670, 663, 672
17620,669, 661, 672
17761,668, 662, 671
17914,667, 659, 670
18045,667, 661, 669
18177,666, 653, 668
18309,666, 648, 669
18440,665, 645, 671
18572,667, 648, 670
18704,666, 656, 670
18835,665, 658, 667
18980,663, 661, 666
19112,662, 663, 665
19243,658, 660, 662
19375,650, 652, 658
19506,644, 636, 647
19638,636, 622, 636
19770,623, 611, 625
19902,611, 599, 613
20033,601, 595, 596
20165,586, 590, 580
20297,568, 582, 567
20428,556, 571, 548
20560,543, 556, 533
20692,520, 541, 519
20823,506, 531, 500
20965,494, 522, 485
21096,474, 507, 467
21228,458, 474, 449
21360,440, 448, 426
21491,423, 427, 407
21623,396, 405, 386
21755,375, 371, 357
21887,350, 341, 332
22018,326, 313, 309
22150,302, 289, 286
22282,272, 262, 264
22414,248, 222, 240
22545,221, 190, 205
22677,194, 158, 181
22809,169, 128, 158
22954,142, 92, 131
23086,125, 70, 112
23221,106, 50, 95
23358,82, 0, 71
23490,60, 0, 52
23631,0, 0, 39
23762,0, 0, 33
23894,0, 0, 31
24034,0, 0, 29
24168,0, 0, 29
24304,0, 0, 27
24445,0, 0, 29
24579,0, 0, 30
24711,0, 0, 5
24845,0, 0, 17
24979,0, 0, 5
25111,0, 0, 17
25251,0, 0, 22
25382,0, 0, 0
25511,0, 0, 12
25645,0, 0, 20
25793,0, 0, 23
25922,0, 0, 27
26056,0, 0, 30
26193,0, 0, 32
26328,0, 0, 5
26465,0, 0, 5
26606,0, 0, 5
26735,0, 0, 15
26882,0, 9, 21
27026,0, 0, 25
27160,0, 0, 29
27289,0, 0, 30
27423,0, 0, 30
27560,0, 0, 30
27692,0, 0, 30
27837,0, 0, 31
27971,0, 0, 31
28103,0, 4, 31
28231,0, 5, 31
28358,0, 9, 31
28487,0, 5, 30
28621,0, 9, 29
28755,0, 0, 29
28888,0, 0, 28
29018,0, 0, 28
29156,0, 0, 28
29285,0, 0, 28
29409,0, 0, 26
