T,pci,rci
7184,0.00,0.00
7298,0.00,0.00
7416,0.00,0.00
7530,0.00,0.00
7648,0.00,0.00
7762,0.00,0.00
7880,0.00,0.00
7994,0.00,0.00
8112,0.00,0.00
8230,0.00,0.00
8344,0.00,0.00
8462,0.00,0.00
8576,0.00,0.00
8694,0.00,0.00
8808,0.00,0.00
8926,0.00,0.00
9040,0.00,0.00
9158,0.00,0.00
9272,0.00,0.00
9390,0.00,0.00
9504,0.00,0.00
9622,0.00,0.00
9736,0.00,0.00
9854,0.00,0.00
9968,0.00,0.00
10085,0.00,0.00
10200,0.00,0.00
10316,0.00,0.00
10431,0.00,0.00
10547,0.00,0.00
10661,0.00,0.00
10778,0.00,0.00
10893,0.00,0.00
11009,0.00,0.00
11124,0.00,0.00
11240,0.00,0.00
11373,0.00,0.00
11504,0.00,0.00
11634,0.00,0.00
11756,0.00,0.00
11886,0.00,0.00
12016,0.00,0.00
12147,0.00,0.00
12277,0.00,0.00
12410,0.00,0.00
12537,0.00,0.00
12667,0.00,0.00
12798,0.00,0.00
12931,0.00,0.00
13061,0.00,0.00
13194,0.00,0.00
13325,0.00,0.00
13452,0.00,0.00
13585,0.00,0.00
13712,0.00,0.00
13845,0.00,0.00
13976,0.00,0.00
14110,0.00,0.00
14240,0.00,0.00
14362,0.00,0.00
14509,0.00,0.00
14639,0.00,0.00
14773,0.00,0.00
14906,0.00,0.00
15036,0.00,0.00
15168,0.00,0.00
15297,0.00,0.00
15428,0.00,0.00
15550,0.00,0.00
15680,0.00,0.00
15810,0.00,0.00
15940,0.00,0.00
16071,0.00,0.00
16201,0.00,0.00
16331,0.00,0.00
16461,0.00,0.00
16591,0.00,0.00
16726,0.00,0.00
16855,0.00,0.00
16985,0.00,0.00
17115,0.00,0.00
17242,0.00,0.00
17377,0.00,0.00
17507,0.00,0.00
17629,0.00,0.00
17759,0.00,0.00
17892,0.00,0.00
18037,0.00,0.00
18167,0.00,0.00
18289,0.00,0.00
18420,0.00,0.00
18553,0.00,0.00
18680,0.00,0.00
18810,0.00,0.00
18940,0.00,0.00
19070,0.00,0.00
19201,0.00,0.00
19331,0.00,0.00
19464,0.00,0.00
19597,0.00,0.00
19727,0.00,0.00
19857,0.00,0.00
19991,0.00,0.00
20118,0.00,0.00
20251,0.00,0.00
20381,0.00,0.00
20512,0.00,0.00
20642,0.00,0.00
20764,0.00,0.00
20895,0.00,0.00
21028,0.00,0.00
21173,0.00,0.00
21303,0.00,0.00
21432,0.00,0.00
21555,0.00,0.00
21685,0.00,0.00
21815,0.00,0.00
21949,0.00,0.00
22076,0.00,0.00
22206,0.00,0.00
22339,0.00,0.00
22471,0.00,0.00
22600,0.00,0.00
22733,0.00,0.00
22863,0.00,0.00
22993,0.00,0.00
23121,0.00,0.00
23254,0.00,0.00
23381,0.00,0.00
23517,0.00,0.00
23647,0.00,0.00
23781,0.00,0.00
23911,0.00,0.00
24042,0.00,0.00
24171,0.00,0.00
24294,0.00,0.00
24424,0.00,0.00
24554,0.00,0.00
24681,0.00,0.00
24811,0.00,0.00
24941,0.00,0.00
25074,0.00,0.00
25204,0.00,0.00
25331,0.00,0.00
25468,0.00,0.00
25598,0.00,0.00
25728,0.00,0.00
25859,0.00,0.00
25989,0.00,0.00
26111,0.00,0.00
26241,0.00,0.00
26371,0.00,0.00
26501,0.00,0.00
26631,0.00,0.00
26761,0.00,0.00
26893,0.00,0.00
27022,0.00,0.00
27152,0.00,0.00
27282,0.00,0.00
27415,0.00,0.00
27545,0.00,0.00
27675,0.00,0.00
27805,0.00,0.00
27936,0.00,0.00
28058,0.00,0.00
28188,0.00,0.00
28318,0.00,0.00
28449,0.00,0.00
28582,0.00,0.00
28727,0.00,0.00
28849,0.00,0.00
28979,0.00,0.00
29109,0.00,0.00
29239,0.00,0.00
29369,0.00,0.00
29502,0.00,0.00
29633,0.00,0.00
29767,0.00,0.00
29893,0.00,0.00
30023,0.00,0.00
30156,0.00,0.00
30286,0.00,0.00
30430,0.00,0.00
30660,0.00,0.00
30827,0.00,0.00
30956,0.00,0.00
31075,0.00,0.00
31191,0.00,0.00
31312,0.00,0.00
31432,0.00,0.00
31549,0.00,0.00
31669,0.00,0.00
31804,0.00,0.00
31936,0.00,0.00
32067,0.00,0.00
32196,0.00,0.00
32328,0.00,0.00
32462,0.00,0.00
32594,0.00,0.00
32725,0.00,0.00
32857,0.00,0.00
32989,0.00,0.00
33120,0.00,0.00
33252,0.00,0.00
33384,0.00,0.00
33515,0.00,0.00
33647,0.00,0.00
33776,0.00,0.00
33907,0.00,0.00
34043,0.00,0.00
34177,0.00,0.00
34308,0.00,0.00
34440,0.00,0.00
34572,0.00,0.00
34703,0.00,0.00
34835,0.00,0.00
34964,0.00,0.00
35095,0.00,0.00
35231,0.00,0.00
35374,0.00,0.00
35506,0.00,0.00
35638,0.00,0.00
35769,0.00,0.00
35904,0.00,0.00
36033,0.00,0.00
36164,0.00,0.00
36296,0.00,0.00
36431,0.00,0.00
36563,0.00,0.00
36694,0.00,0.00
36829,0.00,0.00
36958,0.00,0.00
37089,0.00,0.00
37221,0.00,0.00
37353,0.00,0.00
37484,0.00,0.00
37616,0.00,0.00
37753,0.00,0.00
37885,0.00,0.00
38017,0.00,0.00
38145,0.00,0.00
38276,0.00,0.00
38408,0.00,0.00
38536,0.00,0.00
38668,0.00,0.00
38799,0.00,0.00
38928,0.00,0.00
39060,0.00,0.00
39198,0.00,0.00
39336,0.00,0.00
39465,0.00,0.00
39597,0.00,0.00
39728,0.00,0.00
39863,0.00,0.00
39991,0.00,0.00
40126,0.00,0.00
40262,0.00,0.00
40389,0.00,0.00
40521,0.00,0.00
40653,0.00,0.00
40788,0.00,0.00
40916,0.00,0.00
41051,0.00,0.00
41180,0.00,0.00
41318,0.00,0.00
41452,0.00,0.00
41584,0.00,0.00
41716,0.00,0.00
41844,0.00,0.00
41977,0.00,0.00
42107,0.00,0.00
42242,0.00,0.00
42370,0.00,0.00
42502,0.00,0.00
42636,0.00,0.00
42768,0.00,0.00
42900,0.00,0.00
43031,0.00,0.00
43166,0.00,0.00
43294,0.00,0.00
43426,0.00,0.00
43558,0.00,0.00
43689,0.00,0.00
43824,0.00,0.00
43959,0.00,0.00
44087,0.00,0.00
44225,0.00,0.00
44359,0.00,0.00
44491,0.00,0.00
44623,0.00,0.00
44754,0.00,0.00
44893,0.00,0.00
45030,-4.62,3.54
45169,-3.46,1.27
45307,-2.90,-0.85
45444,0.00,0.00
45580,0.00,0.00
45726,0.00,0.00
45867,0.00,0.00
45996,0.00,0.00
46130,0.00,0.00
46264,0.00,0.00
46397,0.00,0.00
46527,0.00,0.00
46661,0.00,0.00
46793,0.00,0.00
46927,0.00,0.00
47062,0.00,0.00
47187,0.00,0.00
47321,0.00,0.00
47455,0.00,0.00
47583,0.00,0.00
47717,0.00,0.00
47851,0.00,0.00
47980,0.00,0.00
48114,0.00,0.00
48248,0.00,0.00
48377,0.00,0.00
48511,0.00,0.00
48645,0.00,0.00
48775,0.00,0.00
48905,0.00,0.00
49042,0.00,0.00
49168,0.00,0.00
49302,0.00,0.00
49442,0.00,0.00
49571,0.00,0.00
49705,0.00,0.00
49846,0.00,0.00
49982,0.00,0.00
50119,0.00,0.00
50253,0.00,0.00
50388,0.00,0.00
50522,0.00,0.00
50661,0.00,0.00
50815,0.00,0.00
50987,0.00,0.00
51118,0.00,0.00
51250,0.00,0.00
51397,0.00,0.00
51521,0.00,0.00
51651,0.00,0.00
51800,0.00,0.00
51931,0.00,0.00
52058,0.00,0.00
52199,0.00,0.00
52330,0.00,0.00
52463,0.00,0.00
