T,a1,a2,a3
6693,3068, 2645, 2801
6821,2865, 2815, 2908
6940,2803, 2851, 2870
7054,2785, 2859, 2861
7173,2834, 2800, 2927
7287,2869, 2839, 2814
7406,2790, 2864, 2885
7520,2817, 2850, 2812
7639,2823, 2838, 2871
7753,2839, 2739, 2884
7872,3010, 2869, 2806
7986,2897, 2799, 2702
8105,2906, 2779, 2814
8220,2895, 2821, 2856
8336,2958, 2818, 2828
8451,2868, 2829, 2880
8567,2902, 2835, 2871
8682,2922, 2819, 2865
8798,2887, 2828, 2794
8913,2901, 2865, 2778
9029,2863, 2867, 2873
9144,2929, 2928, 2824
9260,2910, 2800, 2897
9375,2930, 2806, 2832
9491,2919, 2821, 2831
9606,2843, 2873, 2847
9722,2921, 2783, 2869
9837,2880, 2864, 2707
9953,2943, 2845, 2835
10068,2923, 2448, 2893
10184,2871, 2775, 2896
10299,2909, 2779, 2848
10424,2937, 2865, 2869
10554,2762, 2823, 2803
10685,2857, 2823, 2835
10815,2867, 2768, 2782
10945,2861, 2810, 2845
11075,2871, 2897, 2880
11209,2928, 2836, 2743
11339,2919, 2832, 2896
11466,2896, 2822, 2829
11593,2896, 2842, 2882
11719,2875, 2928, 2850
11849,2904, 2804, 2867
11980,2942, 2850, 2845
12127,2910, 2804, 2800
12257,2912, 2733, 2891
12387,2903, 2826, 2907
12518,2880, 2850, 2896
12643,2906, 2855, 2823
12784,2889, 2827, 2794
12914,2878, 2874, 2770
13048,2933, 2913, 2890
13178,2854, 2819, 2789
13311,2919, 2795, 2880
13442,2928, 2358, 2841
13572,2875, 2849, 2803
13698,2901, 2953, 2830
13828,2931, 2890, 2833
13958,2937, 2926, 2811
14089,2881, 2793, 2843
14219,2898, 2910, 2834
14349,2938, 2879, 2768
14479,2514, 2864, 2811
14610,2895, 2818, 2829
14740,2919, 2806, 2865
14905,2892, 2761, 2880
15118,2928, 2791, 2891
15350,2960, 2885, 2871
15543,2883, 2738, 2863
15713,2877, 2783, 2901
15829,2896, 2542, 3046
15967,2896, 2416, 2980
16099,2887, 2413, 3052
16231,2919, 2421, 3036
16362,2864, 2382, 3062
16494,2915, 2471, 3056
16626,2864, 2468, 2993
16757,2879, 2383, 2960
16889,2926, 2404, 3033
17024,2865, 1868, 3022
17155,2877, 2512, 2992
17287,2877, 2463, 2823
17418,2896, 2448, 3068
17550,2884, 2466, 3001
17682,2896, 2490, 3090
17813,2882, 2417, 3030
17945,2931, 2410, 2995
18080,2923, 2451, 3070
18211,2889, 2459, 3002
18343,2895, 2533, 2949
18475,2879, 2502, 3015
18606,2877, 2496, 3002
18738,2897, 2416, 3024
18870,2935, 2436, 3025
19001,2895, 2399, 3062
19133,2882, 2487, 3025
19268,2897, 2438, 2987
19399,2894, 2522, 2969
19531,2925, 2403, 3131
19663,2864, 2512, 2981
19794,2922, 2432, 3023
19926,2883, 2499, 3027
20057,2954, 2443, 3015
20188,2889, 2475, 2928
20320,2912, 2434, 2979
20451,2801, 2373, 3080
20587,2750, 2395, 2921
20726,2832, 2640, 2879
20858,2801, 2675, 2880
20999,2934, 2554, 2803
21135,2736, 2495, 2850
21267,2822, 2310, 2887
21425,2873, 2243, 2896
21549,2858, 2379, 2861
21685,2822, 2333, 2857
21828,2865, 2352, 2897
21962,2977, 2400, 2871
22108,2821, 2306, 2902
22244,2939, 2361, 2925
22394,2833, 2415, 2903
22531,2883, 2288, 2929
22665,2957, 2408, 2928
22801,2895, 2305, 2845
22937,2870, 2500, 2882
23078,2735, 2362, 2975
23212,2918, 2402, 2849
23357,2807, 2387, 2937
23494,2945, 2335, 2757
23630,2799, 2512, 2832
23775,2963, 2435, 2901
23905,2919, 2320, 2912
24050,2859, 2433, 2815
24187,2835, 2343, 2891
24340,2850, 2374, 2881
24476,2862, 2336, 2835
