17692,2901,2944,2921
17725,2910,2894,2839
17758,2891,3081,2800
17791,2885,2859,2834
17824,2926,2886,2858
17857,2909,2791,2895
17890,2877,2851,2895
17923,2879,2930,2935
17956,2915,2847,2815
17989,2895,2775,2867
18022,2897,2930,2829
18055,2961,2797,2898
18088,2883,2931,2863
18121,2961,2801,2837
18154,2919,2775,2854
18187,2899,2833,2897
18220,2839,2715,2864
18253,2874,2782,2930
18286,2867,2833,2870
18319,2880,2812,2913
18352,2880,2850,2925
18385,2902,2801,2880
18418,2871,2704,2844
18451,2933,2826,2766
18484,2959,2725,2946
18517,2923,2845,2935
18550,2879,2922,2928
18583,2917,2814,2869
18616,2883,2767,2867
18649,2995,3275,2863
18682,2886,2731,2903
18715,2893,2823,2931
18748,2911,2861,2880
18781,2891,2885,2880
18814,2884,2928,2899
18847,3139,2878,2941
18880,2894,2864,2923
18913,2928,2794,2883
18946,2885,2900,2711
18979,2865,2854,2864
19012,2928,2856,2838
19045,2906,2791,2901
19078,2907,2793,2839
19111,2882,2891,2857
19144,2793,2826,2936
19177,2891,2915,2859
19210,2929,2829,2843
19243,2887,2821,2830
19276,2885,2903,2896
19309,2933,2831,2847
19342,2896,2779,2896
19375,2903,2539,2891
19408,2867,2783,2920
19441,2924,2884,2834
19474,2858,2790,2832
19507,2944,2814,2974
19540,2891,2742,2678
19573,2935,3398,2965
19606,2885,2924,2820
19639,2899,2804,2912
19672,2934,2815,2910
19705,2926,2833,2811
19738,2853,2819,2898
19771,2873,2883,2751
19804,2894,2774,2939
19837,2896,2846,2871
19870,2864,2885,2864
19903,2861,2928,2928
19936,2919,2800,2874
19969,2896,2833,2873
20002,2890,2825,2915
20035,2891,2813,2952
20068,2819,2961,2912
20101,2880,2996,2846
20134,2890,2736,2922
20167,2899,2839,2880
20200,2895,2846,2870
20233,2896,2960,2858
20266,2916,2886,2931
20299,2849,2853,2804
20332,2915,2896,2878
20365,2901,2896,2877
20398,2896,2843,2896
20431,2907,2825,2787
20464,2911,2813,2859
20497,2896,2747,2880
20530,2926,2849,2877
20563,2911,2843,2865
20596,2869,2862,2861
20629,2891,2793,2903
