T,L1,L2,L3
7943,0, 0, 0
8079,219, 207, 180
8197,329, 316, 371
8311,384, 373, 420
8429,414, 403, 458
8543,429, 412, 473
8662,435, 421, 479
8776,436, 428, 480
8895,438, 432, 486
9009,443, 437, 489
9128,445, 436, 492
9242,439, 434, 494
9360,430, 434, 496
9474,427, 444, 502
9593,447, 470, 515
9707,476, 494, 537
9825,508, 512, 550
9939,530, 522, 566
10056,539, 534, 585
10171,547, 549, 599
10288,554, 555, 607
10403,560, 556, 611
10519,558, 560, 614
10634,557, 563, 617
10750,560, 562, 618
10865,563, 560, 616
10981,564, 557, 614
11096,563, 557, 612
11212,562, 558, 611
11327,559, 561, 611
11442,558, 561, 609
11557,560, 561, 610
11674,564, 558, 609
11789,569, 558, 609
11910,569, 554, 612
12043,570, 555, 611
12174,570, 554, 614
12307,566, 553, 614
12437,562, 552, 616
12577,566, 552, 618
12722,565, 552, 622
12855,560, 553, 624
12982,564, 554, 624
13113,565, 554, 625
13239,564, 553, 623
13369,566, 552, 622
13500,568, 551, 618
13630,568, 551, 617
13763,566, 553, 616
13894,565, 550, 617
14024,566, 551, 615
14155,566, 551, 611
14285,567, 555, 610
14415,567, 559, 605
14546,571, 562, 604
14676,569, 561, 603
14806,567, 561, 603
14946,566, 560, 603
15077,567, 561, 604
15207,570, 561, 599
15338,572, 564, 596
15468,571, 564, 594
15598,570, 566, 595
15729,569, 567, 595
15859,569, 568, 597
15989,571, 566, 598
16120,569, 566, 599
16246,571, 565, 597
16376,571, 565, 599
16506,571, 565, 599
16637,569, 562, 597
16767,567, 564, 598
16897,565, 561, 596
17028,570, 562, 596
17158,569, 564, 598
17298,571, 565, 597
17429,567, 564, 598
17559,568, 562, 599
17689,568, 560, 599
17820,569, 560, 600
17950,573, 560, 600
18081,572, 560, 599
18211,570, 559, 601
18341,568, 560, 599
18472,571, 560, 599
18602,571, 560, 596
18732,568, 563, 595
18863,566, 562, 596
18993,568, 563, 596
19124,567, 565, 595
19254,571, 562, 597
19380,574, 561, 596
19518,573, 559, 597
19644,571, 558, 596
19782,573, 560, 595
19908,572, 563, 596
20041,575, 564, 592
20171,578, 563, 593
20302,576, 561, 592
20432,575, 561, 594
20563,577, 562, 593
20693,575, 560, 593
20823,573, 561, 594
20954,573, 562, 594
21084,573, 563, 595
21214,574, 562, 594
21345,574, 563, 595
21475,578, 563, 595
21606,578, 565, 595
21736,576, 563, 595
21866,575, 563, 592
21997,576, 565, 589
22127,576, 565, 589
22257,574, 566, 590
22388,573, 566, 592
22514,574, 568, 591
22644,571, 568, 590
22775,572, 566, 592
22905,571, 564, 590
23035,573, 563, 589
23166,571, 565, 589
23296,571, 568, 588
23426,573, 570, 588
23557,573, 569, 590
23687,571, 567, 591
23817,571, 566, 589
23948,568, 569, 590
24078,570, 569, 590
24208,572, 571, 590
24335,573, 570, 590
24468,574, 568, 592
24594,573, 566, 592
24725,572, 569, 594
24855,571, 568, 591
24985,571, 567, 593
