17756,2910, 2894, 2839
17886,2909, 2791, 2895
18016,2895, 2775, 2867
18156,2919, 2775, 2854
18286,2867, 2833, 2870
18417,2902, 2801, 2880
18561,2879, 2922, 2928
18691,2886, 2731, 2903
18817,2884, 2928, 2899
18947,2885, 2900, 2711
19077,2906, 2791, 2901
19207,2891, 2915, 2859
19352,2896, 2779, 2896
19485,2858, 2790, 2832
19615,2885, 2924, 2820
19741,2853, 2819, 2898
19871,2864, 2885, 2864
20001,2896, 2833, 2873
20131,2880, 2996, 2846
20261,2896, 2960, 2858
20401,2896, 2843, 2896
20532,2926, 2849, 2877
