T,pci,rci
6718,0.00,0.00
6832,0.00,0.00
6951,0.00,0.00
7065,0.00,0.00
7184,0.00,0.00
7302,0.00,0.00
7417,0.00,0.00
7535,0.00,0.00
7650,0.00,0.00
7768,0.00,0.00
7883,0.00,0.00
8001,0.00,0.00
8116,0.00,0.00
8232,0.00,0.00
8347,0.00,0.00
8464,0.00,0.00
8578,0.00,0.00
8695,0.00,0.00
8809,0.00,0.00
8926,0.00,0.00
9040,0.00,0.00
9157,0.00,0.00
9271,0.00,0.00
9388,0.00,0.00
9502,0.00,0.00
9619,0.00,0.00
9733,0.00,0.00
9850,0.00,0.00
9964,000,0.00
10081,0.00,0.00
10195,0.00,0.00
10312,0.00,0.00
10444,0.00,0.00
10575,0.00,0.00
10706,0.00,0.00
10828,0.00,0.00
10958,0.00,0.00
11088,0.00,0.00
11221,0.00,0.00
11352,0.00,0.00
11478,0.00,0.00
11606,0.00,0.00
11736,0.00,0.00
11869,0.00,0.00
12006,0.00,0.00
12139,0.00,0.00
12270,0.00,0.00
12403,0.00,0.00
12530,0.00,0.00
12667,0.00,0.00
12797,0.00,0.00
12930,0.00,0.00
13060,0.00,0.00
13191,0.00,0.00
13327,0.00,0.00
13454,0.00,0.00
13585,0.00,0.00
13715,0.00,0.00
13848,0.00,0.00
13978,0.00,0.00
14109,0.00,0.00
14236,0.00,0.00
14370,0.00,0.00
14499,0.00,0.00
14622,0.00,0.00
14753,0.00,0.00
14949,0.00,0.00
15180,0.00,0.00
15402,0.00,0.00
15592,0.00,0.00
15726,0.00,0.00
15847,0.00,0.00
15984,0.00,0.00
16120,0.00,0.00
16252,0.00,0.00
16382,0.00,0.00
16515,0.00,0.00
16646,0.00,0.00
16778,0.00,0.00
16910,0.00,0.00
17041,0.00,0.00
17176,0.00,0.00
17308,0.00,0.00
17439,0.00,0.00
17571,0.00,0.00
17703,0.00,0.00
17834,0.00,0.00
17966,0.00,0.00
18097,0.00,0.00
18232,0.00,0.00
18364,0.00,0.00
18496,0.00,0.00
18626,0.00,0.00
18759,0.00,0.00
18891,0.00,0.00
19022,0.00,0.00
19154,0.00,0.00
19285,0.00,0.00
19420,0.00,0.00
19552,0.00,0.00
19683,0.00,0.00
19815,0.00,0.00
19946,0.00,0.00
20078,0.00,0.00
20209,0.00,0.00
20332,0.00,0.00
20477,0.00,0.00
20608,0.00,0.00
20746,1.90,-3.95
20883,3.09,-5.29
21011,3.07,-5.87
21148,2.30,-4.96
21287,0.00,0.00
21437,0.00,0.00
21565,0.00,0.00
21706,0.00,0.00
21844,0.00,0.00
21994,0.00,0.00
22133,0.00,0.00
22276,0.00,0.00
22407,0.00,0.00
22543,0.00,0.00
22690,0.00,0.00
22826,0.00,0.00
22957,0.00,0.00
23090,0.00,0.00
23236,0.00,0.00
23383,0.00,0.00
23519,0.00,0.00
23650,0.00,0.00
23786,0.00,0.00
23929,0.00,0.00
24076,0.00,0.00
24207,0.00,0.00
24352,0.00,0.00
24488,0.00,0.00
