T,yaw,pitch,roll
6770,-0.01, -0.03, -0.00
6893,-0.01, -0.03, -0.00
7012,-0.01, -0.01, -0.00
7127,-0.02, -0.01, -0.01
7245,-0.02, -0.04, -0.03
7359,-0.02, -0.06, -0.03
7478,-0.02, -0.06, -0.03
7592,-0.03, -0.04, -0.02
7711,-0.03, -0.02, -0.02
7825,-0.03, -0.01, -0.02
7944,-0.03, -0.02, -0.04
8058,-0.04, -0.03, -0.05
8177,-0.04, -0.04, -0.05
8294,-0.04, -0.03, -0.02
8408,-0.05, -0.02, -0.01
8525,-0.05, -0.01, -0.01
8639,-0.05, -0.02, -0.02
8756,-0.06, -0.03, -0.03
8870,-0.06, -0.05, -0.03
8987,-0.07, -0.05, -0.02
9102,-0.07, -0.04, -0.00
9218,-0.07, -0.03, -0.01
9332,-0.08, -0.02, -0.02
9449,-0.08, -0.03, -0.05
9563,-0.09, -0.04, -0.05
9680,-0.09, -0.04, -0.05
9794,-0.10, -0.03, -0.02
9911,-0.10, -0.02, -0.01
10026,-0.11, -0.01, -0.01
10143,-0.11, -0.02, -0.04
10258,-0.12, -0.03, -0.05
10374,-0.12, -0.04, -0.04
10500,-0.13, -0.04, -0.02
10630,-0.14, -0.02, -0.00
10761,-0.15, -0.02, -0.01
10891,-0.15, -0.03, -0.03
11021,-0.16, -0.05, -0.04
11155,-0.17, -0.05, -0.03
11306,-0.18, -0.03, -0.01
11436,-0.18, -0.02, -0.01
11566,-0.19, -0.02, -0.03
11700,-0.20, -0.03, -0.05
11837,-0.21, -0.04, -0.04
11967,-0.21, -0.03, -0.03
12101,-0.22, -0.02, -0.01
12228,-0.23, -0.01, -0.01
12358,-0.24, -0.02, -0.04
12492,-0.25, -0.04, -0.04
12629,-0.26, -0.05, -0.02
12759,-0.27, -0.04, 0.00
12889,-0.28, -0.03, -0.00
13020,-0.28, -0.03, -0.02
13153,-0.29, -0.03, -0.05
13284,-0.30, -0.04, -0.05
13469,-0.32, -0.03, -0.02
13694,-0.33, -0.01, -0.03
13968,-0.35, -0.03, -0.05
14191,-0.37, -0.03, -0.01
14416,-0.39, -0.03, -0.01
14583,-0.40, -0.03, -0.03
14704,-0.41, -0.04, -0.04
14821,-0.42, -0.04, -0.02
14942,-0.43, -0.03, 0.00
15061,-0.44, -0.02, -0.00
15177,-0.44, -0.02, -0.02
15308,-0.46, -0.02, -0.04
15440,-0.47, -0.01, -0.05
15572,-0.48, -0.01, -0.04
15704,-0.49, -0.01, -0.01
15836,-0.50, -0.01, -0.00
15968,-0.51, -0.02, -0.02
16100,-0.52, -0.02, -0.03
16232,-0.53, -0.02, -0.03
16364,-0.54, -0.02, -0.00
16499,-0.55, -0.02, 0.01
16637,-0.57, -0.02, -0.00
16769,-0.57, -0.02, -0.02
16901,-0.58, -0.01, -0.04
17033,-0.59, -0.01, -0.04
17164,-0.60, -0.00, -0.02
17296,-0.61, -0.04, -0.06
17441,-0.61, -0.12, -0.19
17577,-0.62, -0.12, -0.17
17720,-0.64, -0.12, -0.20
17860,-0.63, -0.07, -0.16
18017,-0.64, -0.03, -0.13
18148,-0.65, -0.01, -0.08
18285,-0.66, 0.00, -0.03
18429,-0.67, 0.00, -0.02
18566,-0.67, 0.00, -0.02
18697,-0.68, 0.00, -0.02
18833,-0.69, 0.00, -0.02
18970,-0.69, 0.00, -0.02
19101,-0.70, 0.00, -0.02
19255,-0.70, 0.00, -0.02
19398,-0.71, 0.00, -0.02
19535,-0.71, 0.00, -0.02
19671,-0.72, 0.00, -0.02
19815,-0.72, 0.00, -0.02
19939,-0.73, 0.00, -0.02
20089,-0.73, 0.00, -0.02
20229,-0.74, 0.00, -0.02
20368,-0.74, 0.00, -0.02
20500,-0.75, 0.00, -0.02
20644,-0.76, 0.00, -0.02
20786,-0.76, 0.00, -0.02
20923,-0.77, 0.00, -0.02
21067,-0.77, 0.00, -0.02
21191,-0.78, 0.00, -0.02
21335,-0.78, 0.01, -0.02
21474,-0.79, 0.01, -0.02
21617,-0.79, 0.01, -0.02
21749,-0.80, 0.01, -0.02
21885,-0.80, 0.01, -0.02
22030,-0.81, 0.01, -0.02
22166,-0.81, 0.01, -0.02
22297,-0.82, 0.01, -0.02
22434,-0.82, 0.01, -0.02
22570,-0.83, 0.01, -0.02
22702,-0.83, 0.01, -0.02
22852,-0.84, 0.01, -0.02
22991,-0.85, 0.01, -0.02
23148,-0.85, 0.01, -0.02
23285,-0.86, 0.01, -0.02
23423,-0.86, 0.01, -0.02
23550,-0.87, 0.01, -0.02
23694,-0.87, -0.01, -0.03
23833,-0.87, -0.01, -0.05
23984,-0.87, -0.03, -0.06
24124,-0.88, -0.06, -0.08
24274,-0.88, -0.10, -0.11
24403,-0.88, -0.13, -0.15
24540,-0.88, -0.16, -0.20
24677,-0.87, -0.18, -0.23
24818,-0.87, -0.21, -0.29
24945,-0.86, -0.27, -0.39
25088,-0.79, -0.44, -0.78
25235,-0.83, -0.41, -0.70
25378,-0.85, -0.42, -0.71
25525,-0.85, -0.41, -0.73
25668,-0.86, -0.41, -0.74
25831,-0.90, -0.42, -0.75
25974,-0.94, -0.42, -0.76
26125,-1.00, -0.42, -0.77
26264,-1.07, -0.43, -0.76
26402,-1.15, -0.42, -0.76
26571,-1.23, -0.41, -0.71
26721,-1.34, -0.32, -0.50
26864,-1.44, -0.12, -0.10
26997,-1.44, 0.04, 0.14
27147,-1.41, -0.08, -0.07
27297,-1.37, -0.13, -0.12
27449,-1.35, -0.07, -0.03
27594,-1.33, 0.01, 0.07
27766,-1.34, 0.01, 0.05
27904,-1.35, 0.00, 0.02
28041,-1.35, 0.01, 0.02
28183,-1.36, 0.01, 0.02
28333,-1.36, 0.01, 0.02
28471,-1.37, 0.01, 0.02
28616,-1.38, 0.02, 0.02
28775,-1.38, 0.02, 0.02
28925,-1.39, 0.02, 0.02
29066,-1.39, 0.02, 0.02
29200,-1.40, 0.02, 0.02
29341,-1.41, 0.02, 0.02
29488,-1.41, 0.02, 0.02
29627,-1.41, 0.02, 0.02
29771,-1.42, 0.02, 0.02
29920,-1.43, 0.02, 0.02
30063,-1.43, 0.02, 0.02
30196,-1.44, 0.02, 0.02
30346,-1.44, 0.02, 0.02
