T,pwm1,pwm2,pwm3
7966,2025,1975,2000
8086,2025,1975,200
8204,2025,1975,2000
8318,2025,1975,2000
8437,2025,1975,2000
8551,2025,1975,2000
8670,2025,1975,2000
8784,2025,1975,2000
8902,2025,1975,2000
9016,2025,1975,2000
9135,2025,1975,2000
9253,2025,1975,2000
9368,2025,1975,2000
9486,2025,1975,2000
9600,2025,1975,2000
9718,2025,1975,2000
9832,2025,1975,2000
9949,2025,1975,2000
10063,2025,1975,2000
10180,2025,1975,2000
10294,2025,1975,2000
10411,2025,1975,2000
10526,2025,1975,2000
10642,2025,1975,2000
10757,2025,1975,2000
10873,2025,1975,2000
10988,2025,1975,2000
11104,2025,1975,2000
11219,2025,1975,2000
11335,2025,1975,2000
11449,2025,1975,2000
11566,2025,1975,2000
11681,2025,1975,2000
11815,2025,1975,2000
11946,2025,1975,2000
12076,2025,1975,2000
12207,2025,1975,2000
12335,2025,1975,2000
12464,2025,1975,2000
12598,2025,1975,2000
12737,2025,1975,2000
12868,2025,1975,2000
13000,2025,1975,2000
13135,2025,1975,2000
13284,2025,1975,2000
13416,2025,1975,2000
13547,2025,1975,2000
13680,2025,1975,2000
13811,2025,1975,2000
13943,2025,1975,2000
14084,2025,1975,2000
14216,2025,1975,2000
14348,2025,1975,2000
14479,2025,1975,2000
14611,2025,1975,2000
14747,2025,1975,2000
14875,2025,1975,2000
15006,2025,1975,2000
15138,2025,1975,2000
15270,2025,1975,2000
15402,2025,1975,2000
15536,2025,1975,2000
15668,2025,1975,2000
15800,2025,1975,2000
15932,2025,1975,2000
16064,2025,1975,2000
16195,2025,1975,2000
16327,2025,1975,2000
16459,2025,1975,2000
16591,2025,1975,2000
16722,2025,1975,2000
16854,2025,1975,2000
16989,2025,1975,2000
17118,2025,1975,2000
17249,2025,1975,2000
17384,2025,1975,2000
17519,2025,1975,2000
17652,2025,1975,2000
17780,2025,1975,2000
17911,2025,1975,2000
18043,2025,1975,2000
18175,2025,1975,2000
18307,2025,1975,2000
18438,2025,1975,2000
18570,2025,1975,2000
18705,2025,1975,2000
18837,2025,1975,2000
18965,2025,1975,2000
19100,2025,1975,2000
19232,2025,1975,2000
19363,2025,1975,2000
19495,2025,1975,2000
19627,2025,1975,2000
19759,2025,1975,2000
19890,2025,1975,2000
20022,2025,1975,2000
20154,2025,1975,2000
20289,2025,1975,2000
20424,2025,1975,2000
20555,2025,1975,2000
20687,2025,1975,2000
20819,2025,1975,2000
20954,2025,1975,2000
21082,2025,1975,2000
21210,2025,1975,2000
21342,2025,1975,2000
21477,2025,1975,2000
21613,2025,1975,2000
21747,2025,1975,2000
21875,2025,1975,2000
22004,2025,1975,2000
22135,2025,1975,2000
22267,2025,1975,2000
22399,2025,1975,2000
22531,2025,1975,2000
22662,2025,1975,2000
22794,2025,1975,2000
22926,2025,1975,2000
23060,2025,1975,2000
23191,2025,1975,2000
23321,2025,1975,2000
23457,2025,1975,2000
23585,2025,1975,2000
23726,2008,1989,2000
23861,1998,1993,2002
24011,1998,1993,2002
24158,1998,1993,2002
24308,1962,1982,2018
24442,1903,1959,2045
24588,1871,1946,2060
24724,1871,1946,2060
24874,1871,1946,2060
25011,1871,1946,2060
25142,1871,1946,2060
25278,1871,1946,2060
25415,1871,1946,2060
25559,1871,1946,2060
25687,1871,1946,2060
25826,1871,1946,2060
25963,1871,1946,2060
26105,1871,1946,2060
26236,1871,1946,2060
26373,1871,1946,2060
26523,1871,1946,2060
26659,1871,1946,2060
26791,1871,1946,2060
26927,1871,1946,2060
27066,1871,1946,2060
27216,1871,1946,2060
27362,1871,1946,2060
27513,1871,1946,2060
