T,pwm1,pwm2,pwm3
6784,2025,1975,2000
6898,2025,1975,2000
7017,2025,1975,2000
7131,2025,1975,2000
7250,2025,1975,2000
7364,2025,1975,2000
7483,2025,1975,2000
7597,2025,1975,2000
7716,2025,1975,2000
7834,2025,1975,2000
7949,2025,1975,2000
8067,2025,1975,2000
8182,2025,1975,2000
8299,2025,1975,2000
8413,2025,1975,2000
8530,2025,1975,2000
8644,2025,1975,2000
8761,2025,1975,2000
8875,2025,1975,2000
8992,2025,1975,2000
9106,2025,1975,2000
9223,2025,1975,2000
9337,2025,1975,2000
9454,2025,1975,2000
9568,2025,1975,2000
9685,2025,1975,2000
9799,2025,1975,2000
9916,2025,1975,2000
10030,2025,1975,2000
10147,2025,1975,2000
10262,2025,1975,2000
10378,2025,1975,2000
10493,2025,1975,2000
10609,2025,1975,2000
10724,2025,1975,2000
10840,2025,1975,2000
10963,2025,1975,2000
11096,2025,1975,2000
11223,2025,1975,2000
11354,2025,1975,2000
11484,2025,1975,2000
11614,2025,1975,2000
11744,2025,1975,2000
11875,2025,1975,2000
12005,2025,1975,2000
12138,2025,1975,2000
12269,2025,1975,2000
12405,2025,1975,2000
12532,2025,1975,2000
12663,2025,1975,2000
12793,2025,1975,2000
12926,2025,1975,2000
13057,2025,1975,2000
13184,2025,1975,2000
13318,2025,1975,2000
13448,2025,1975,2000
13570,2025,1975,2000
13701,2025,1975,2000
13834,2025,1975,2000
13985,2025,1975,2000
14115,2025,1975,2000
14246,2025,1975,2000
14379,2025,1975,2000
14509,2025,1975,2000
14643,2025,1975,2000
14776,2025,1975,2000
14906,2025,1975,2000
15043,2025,1975,2000
15175,2025,1975,2000
15307,2025,1975,2000
15437,2025,1975,2000
15568,2025,1975,2000
15698,2025,1975,2000
15831,2025,1975,2000
15958,2025,1975,2000
16092,2025,1975,2000
16223,2025,1975,2000
16353,2025,1975,2000
16483,2025,1975,2000
16606,2025,1975,2000
16743,2025,1975,2000
16883,2025,1975,2000
17014,2025,1975,2000
17145,2025,1975,2000
17267,2025,1975,2000
17408,2025,1975,2000
17540,2025,1975,2000
17672,2025,1975,2000
17803,2025,1975,2000
17939,2025,1975,2000
18073,2025,1975,2000
18208,2025,1975,2000
18339,2025,1975,2000
18471,2025,1975,2000
18600,2025,1975,2000
18732,2025,1975,2000
18873,2025,1975,2000
19008,2025,1975,2000
19137,2025,1975,2000
19268,2025,1975,2000
19400,2025,1975,2000
19531,2025,1975,2000
19666,2025,1975,2000
19798,2025,1975,2000
19929,2025,1975,2000
20057,2025,1975,2000
20189,2025,1975,2000
20321,2025,1975,2000
20453,2025,1975,2000
20584,2025,1975,2000
20716,2025,1975,2000
20849,2025,1975,2000
20982,2025,1975,2000
21117,2025,1975,2000
21246,2025,1975,2000
21377,2025,1975,2000
21509,2025,1975,2000
21641,2025,1975,2000
21772,2025,1975,2000
21907,2025,1975,2000
22042,2025,1975,2000
22173,2025,1975,2000
22305,2025,1975,2000
22440,2025,1975,2000
22568,2025,1975,2000
22703,2025,1975,2000
22831,2025,1975,2000
22967,2025,1975,2000
23104,2025,1975,2000
23236,2025,1975,2000
23368,2025,1975,2000
23499,2025,1975,2000
23634,2025,1975,2000
23777,2025,1975,2000
23911,2025,1975,2000
24043,2025,1975,2000
24175,2025,1975,2000
24307,2025,1975,2000
24448,2025,1975,2000
24579,2025,1975,2000
24711,2025,1975,2000
24844,2025,1975,2000
24974,2025,1975,2000
25105,2025,1975,2000
25237,2025,1975,2000
25368,2025,1975,2000
25503,2025,1975,2000
25639,2017,1980,2000
25770,1961,1989,2016
25920,1940,1985,2024
26060,1940,1985,2024
26203,1940,1985,2024
26353,1940,1985,2024
26492,1940,1985,2024
26621,1940,1985,2024
26760,1940,1985,2024
26896,1940,1985,2024
27047,1940,1985,2024
27178,1940,1985,2024
27311,1940,1985,2024
27447,1940,1985,2024
27579,1940,1985,2024
27715,1940,1985,2024
27851,1940,1985,2024
27983,1940,1985,2024
28119,1940,1985,2024
28255,1940,1985,2024
28400,1940,1985,2024
28535,1940,1985,2024
28667,1940,1985,2024
28812,1940,1985,2024
28956,1940,1985,2024
29080,1940,1985,2024
29227,1940,1985,2024
29373,1940,1985,2024
29523,1940,1985,2024
29659,1940,1985,2024
29806,1940,1985,2024
29953,1940,1985,2024
30087,1940,1985,2024
30230,1940,1985,2024
30367,1940,1985,2024
30517,1940,1985,2024
