T,pwm1,pwm2,pwm3
6784,2025,1975,2000
6898,2025,1975,2000
7016,2025,1975,2000
7130,2025,1975,2000
7249,2025,1975,2000
7363,2025,1975,2000
7482,2025,1975,2000
7596,2025,1975,2000
7715,2025,1975,2000
7829,2025,1975,2000
7947,2025,1975,2000
8065,2025,1975,2000
8179,2025,1975,2000
8297,2025,1975,2000
8412,2025,1975,2000
8529,2025,1975,2000
8644,2025,1975,2000
8760,2025,1975,2000
8875,2025,1975,2000
8992,2025,1975,2000
9106,2025,1975,2000
9222,2025,1975,2000
9337,2025,1975,2000
9453,2025,1975,2000
9568,2025,1975,2000
9685,2025,1975,2000
9799,2025,1975,2000
9915,2025,1975,2000
10030,2025,1975,2000
10147,2025,1975,2000
10262,2025,1975,2000
10378,2025,1975,2000
10493,2025,1975,2000
10609,2025,1975,2000
10724,2025,1975,2000
10851,2025,1975,2000
10984,2025,1975,2000
11114,2025,1975,2000
11336,2025,1975,2000
11525,2025,1975,2000
11734,2025,1975,2000
11983,2025,1975,2000
12182,2025,1975,2000
12381,2025,1975,2000
12583,2025,1975,2000
12776,2025,1975,2000
12986,2025,1975,2000
13154,2025,1975,2000
13283,2025,1522,2215
13415,2025,1522,2215
13549,2025,1522,2215
13682,2025,1522,2215
13813,2025,1522,2215
13945,2025,1522,2215
14077,2025,1522,2215
14208,2025,1522,2215
14341,2025,1522,2215
14472,2025,1522,2215
14605,2025,1522,2215
14736,2025,1522,2215
14868,2025,1522,2215
15006,2025,1522,2215
15137,2025,1522,2215
15272,2025,1522,2215
15404,2025,1522,2215
15536,2025,1522,2215
15669,2025,1522,2215
15799,2025,1522,2215
15931,2025,1522,2215
16063,2025,1522,2215
16199,2025,1522,2215
16327,2025,1522,2215
16458,2025,1522,2215
16590,2025,1522,2215
16722,2025,1522,2215
16854,2025,1522,2215
16986,2025,1522,2215
17120,2025,1522,2215
17252,2025,1522,2215
17387,2025,1522,2215
17519,2025,1522,2215
17651,2025,1522,2215
17783,2025,1522,2215
17914,2025,1522,2215
18046,2025,1522,2215
18178,2025,1522,2215
18310,2025,1522,2215
18442,2025,1522,2215
18573,2025,1522,2215
18705,2025,1522,2215
18837,2025,1522,2215
18969,2025,1522,2215
19104,2025,1522,2215
19242,2025,1522,2215
19377,2025,1522,2215
19520,2025,1522,2215
19652,2025,1522,2215
19783,2025,1522,2215
19919,2025,1522,2215
20050,2025,1522,2215
20185,2025,1522,2215
20320,2025,1522,2215
20451,2025,1522,2215
20590,2025,1522,2215
20722,2025,1522,2215
20853,2025,1522,2215
20985,2025,1522,2215
21117,2025,1522,2215
21249,2025,1522,2215
21384,2025,1522,2215
21516,2025,1522,2215
21644,2025,1522,2215
21776,2025,1522,2215
21911,2025,1522,2215
22043,2025,1522,2215
22178,2025,1522,2215
22309,2025,1522,2215
22441,2025,1522,2215
22576,2025,1522,2215
22711,2025,1522,2215
22842,2025,1522,2215
22974,2025,1522,2215
23105,2025,1522,2215
23237,2025,1522,2215
23368,2038,1991,1990
23513,2105,2043,1950
23650,2183,2074,1914
23787,2216,2074,1902
23915,2239,2047,1904
24055,2229,1985,1928
24192,2198,1886,1971
24343,2168,1763,2022
24486,2161,1683,2051
24618,2174,1584,2080
24754,2201,1575,2092
24899,2230,1575,2095
25030,2230,1575,2095
25166,2230,1575,2095
25309,2230,1575,2095
25449,2230,1575,2095
25599,2230,1575,2095
25732,2230,1575,2095
25864,2230,1575,2095
26010,2230,1575,2095
26154,2230,1575,2095
26293,2230,1575,2095
26436,2230,1575,2095
26567,2230,1575,2095
26704,2230,1575,2095
26848,2230,1575,2095
26985,2230,1575,2095
27116,2230,1575,2095
27259,2230,1575,205
27409,2230,1575,2095
27548,2230,1575,2095
27689,2230,1575,2095
27838,2230,1575,2095
27970,2230,1575,2095
28103,2230,1575,2095
28247,2230,1575,2095
28396,2230,1575,2095
28536,2230,1575,2095
28667,2230,1575,2095
