T,L1,L2,L3
6953,0, 0, 0
7089,334, 310, 281
7208,519, 469, 514
7322,612, 530, 630
7441,658, 591, 678
7555,675, 613, 696
7674,679, 622, 707
7788,686, 627, 721
7906,686, 630, 725
8020,687, 630, 726
8139,689, 629, 718
8253,680, 631, 712
8372,680, 633, 712
8486,679, 632, 719
8604,684, 633, 731
8718,690, 632, 736
8835,692, 631, 735
8949,689, 629, 726
9066,684, 628, 720
9180,677, 629, 716
9297,678, 626, 720
9411,678, 627, 722
9528,675, 626, 716
9642,674, 625, 709
9759,672, 624, 705
9873,671, 624, 706
9990,677, 626, 717
10104,682, 624, 725
10222,687, 622, 725
10337,686, 620, 718
10452,678, 621, 713
10567,674, 621, 709
10698,670, 622, 711
10920,676, 619, 710
11095,670, 620, 701
11290,667, 621, 699
11488,673, 619, 714
11692,684, 617, 716
11915,673, 617, 704
12086,667, 618, 704
12207,673, 616, 706
12328,676, 617, 707
12444,675, 621, 697
12565,672, 624, 687
12686,672, 628, 677
12807,673, 633, 680
12942,682, 638, 686
13077,694, 644, 690
13216,691, 648, 688
13348,685, 650, 681
13480,676, 651, 678
13607,676, 647, 675
13743,674, 646, 675
13867,666, 639, 670
13999,653, 628, 656
14127,640, 616, 641
14273,636, 606, 628
14408,632, 596, 625
14536,629, 586, 620
14660,620, 579, 610
14792,608, 571, 595
14924,593, 561, 582
15056,581, 548, 569
15187,577, 538, 565
15319,568, 526, 554
15454,545, 507, 538
15586,530, 498, 514
15725,518, 491, 501
15860,521, 485, 497
15991,521, 474, 499
16123,517, 470, 496
16251,506, 462, 485
16379,488, 452, 470
16515,471, 433, 449
16642,457, 415, 434
16778,432, 396, 415
16916,407, 361, 382
17054,380, 339, 353
17186,354, 316, 329
17318,338, 300, 304
17450,326, 283, 290
17581,315, 267, 282
17713,309, 259, 276
17845,301, 250, 267
17977,289, 240, 248
18109,278, 228, 239
18240,268, 217, 233
18372,256, 198, 221
18504,239, 182, 202
18636,219, 167, 181
18768,198, 155, 163
18902,179, 134, 138
19034,156, 109, 116
19166,133, 84, 98
19298,114, 65, 83
19429,104, 56, 67
19561,94, 46, 53
19697,76, 0, 42
19827,62, 0, 35
19965,49, 4, 30
20102,41, 0, 27
20252,0, 0, 26
20389,0, 0, 26
20521,0, 0, 27
20657,0, 0, 27
20794,0, 4, 28
20938,0, 0, 5
21065,0, 5, 15
21215,0, 0, 23
21352,0, 0, 26
21502,0, 4, 28
21638,0, 8, 30
21769,0, 0, 30
21915,0, 0, 29
22052,0, 5, 28
22192,0, 0, 27
22319,0, 4, 27
22470,0, 0, 29
22606,0, 0, 31
22756,0, 5, 31
22893,0, 0, 31
23029,0, 8, 31
23160,0, 0, 30
23297,0, 0, 28
23447,0, 0, 29
23583,0, 0, 28
23717,0, 4, 29
23863,0, 0, 28
24014,0, 0, 30
24160,0, 0, 29
24296,0, 0, 30
24429,0, 0, 30
24571,0, 0, 32
24717,0, 0, 30
24853,0, 9, 30
