T,a1,a2,a3
7951,2839, 2749, 2974
8079,2795, 2769, 2855
8197,2883, 2731, 2891
8311,2879, 2896, 2899
8430,2866, 2831, 2866
8544,2887, 2840, 3005
8663,2831, 2850, 2867
8777,2744, 2821, 2849
8895,2849, 2834, 2860
9009,2832, 2832, 2900
9128,2823, 2900, 2853
9242,2855, 2754, 2903
9361,2890, 2870, 2896
9478,2844, 2791, 2887
9593,2877, 2803, 2880
9709,2934, 2742, 2815
9825,2879, 2850, 2874
9940,2823, 2886, 2860
10056,2773, 2886, 2904
10171,2899, 2850, 2860
10287,2877, 2763, 2902
10402,2873, 2787, 2906
10519,2803, 2837, 2935
10634,2900, 2874, 2877
10750,2934, 3059, 2813
10865,2879, 2813, 2883
10981,2918, 2805, 2850
11096,2896, 2836, 2973
11212,2902, 2786, 2955
11327,2881, 2816, 2995
11442,2902, 2797, 2945
11557,2879, 2909, 2913
11674,2930, 2817, 2910
11800,2800, 2783, 2881
11937,2898, 2881, 2878
12068,2929, 2827, 2906
12198,2949, 2776, 2870
12326,2942, 3203, 2896
12455,2937, 2812, 2852
12590,2918, 2803, 2901
12728,2875, 2912, 2818
12860,2849, 2795, 2937
12992,2880, 2807, 2887
13123,2889, 2787, 2881
13268,2902, 2833, 2687
13400,2942, 2864, 3061
13531,2886, 2775, 2896
13663,2929, 2789, 2841
13795,2922, 278, 2928
13930,2911, 2781, 2847
14066,2893, 2768, 2661
14207,2943, 2856, 2889
14339,2922, 2807, 2911
14471,2860, 2762, 2899
14603,2896, 2763, 2889
14734,2896, 2870, 2899
14866,2921, 2859, 2860
14998,2932, 2768, 3055
15130,2911, 2774, 2923
15261,2880, 2864, 2807
15393,2894, 2829, 2900
15517,2939, 2773, 2887
15660,2912, 2912, 2863
15792,2933, 2928, 2736
15923,2886, 2827, 2864
16055,2890, 2798, 2884
16187,2960, 2880, 2813
16319,2895, 2685, 2922
16450,2937, 2919, 2800
16582,2923, 2796, 2819
16714,2875, 2731, 2961
16846,2947, 2879, 2863
16977,2976, 2853, 2906
17109,2905, 2865, 2903
17241,2934, 2861, 2842
17376,2964, 2814, 2907
17511,2896, 2850, 2902
17639,2892, 2805, 2935
17771,2886, 2775, 2893
17903,2882, 2767, 2913
18035,2942, 2813, 2955
18166,2919, 2823, 2866
18298,2867, 2790, 2921
18430,2903, 2855, 2917
18562,2915, 2775, 2818
18693,2873, 2775, 2869
18828,2929, 2785, 2855
18957,2933, 2767, 2757
19080,2881, 2842, 2874
19223,2896, 2832, 2853
19355,2975, 2882, 2882
19487,2881, 2751, 2894
19618,2913, 2651, 2832
19750,2864, 2896, 2896
19882,2905, 2825, 2838
20014,2889, 2819, 2917
20145,2902, 2842, 2908
20280,2928, 2838, 2879
20415,2887, 2753, 2752
20547,2930, 2829, 2847
20679,3017, 2784, 2920
20810,2903, 2615, 2882
20945,2919, 2801, 2859
21073,2940, 2764, 2922
21202,2911, 2741, 2878
21334,2896, 2807, 2886
21467,2917, 2810, 2704
21600,2866, 2910, 2856
21738,2927, 2795, 2859
21866,2885, 2802, 2889
21995,2909, 2960, 2857
22127,2956, 2831, 2928
22259,2927, 2767, 2880
22390,2911, 2788, 2929
22522,2902, 2862, 2804
22654,2963, 2807, 2886
22786,2847, 2781, 2915
22917,2907, 2896, 2907
23041,2887, 2608, 2924
23183,2922, 2757, 2910
23305,2880, 2858, 2923
23436,2861, 2893, 2898
23577,2884, 2768, 2944
23713,2896, 2791, 2919
23853,2885, 2781, 2876
24003,2822, 2794, 2944
24141,2786, 2779, 2817
24283,2832, 2831, 2905
24426,2705, 2816, 2865
24579,2862, 3037, 2879
24716,2586, 2752, 2672
24855,2541, 2712, 2913
25002,2559, 2766, 2259
25134,2559, 2559, 2880
25270,2609, 2677, 2914
25406,2521, 2702, 3013
25538,2541, 2736, 2807
25674,2477, 2736, 2912
25810,2529, 2724, 2914
25955,2512, 2704, 2915
26085,2602, 2693, 2891
26228,2529, 2672, 2977
26364,2549, 3063, 2831
26515,2515, 2608, 2867
26651,2503, 2651, 2947
26782,2592, 2673, 2896
26918,2498, 2718, 2928
27059,2595, 2738, 2946
27209,2630, 3105, 2890
27354,2633, 2715, 2841
27491,2559, 2755, 2905
