T,a1,a2,a3
6763,2895, 2790, 2928
6891,2854, 2841, 2887
7010,2826, 2851, 2843
7124,2849, 2803, 2926
7243,2831, 2801, 2869
7357,2874, 2958, 3232
7476,2927, 2882, 2899
7590,2857, 2853, 2910
7709,2869, 2832, 2726
7823,2876, 2869, 2903
7941,2840, 2880, 2896
8055,2758, 2899, 2891
8174,2868, 2842, 2902
8290,2869, 2921, 2885
8406,2894, 2964, 2824
8521,2858, 2800, 2891
8637,2896, 2758, 2873
8752,2911, 3143, 2895
8868,2871, 2735, 2880
8983,2891, 2796, 2869
9099,2896, 2749, 2866
9214,2878, 2832, 2847
9330,2917, 2750, 2926
9445,2907, 3086, 2937
9561,2863, 2916, 2882
9676,2896, 2946, 2927
9792,2954, 2777, 2944
9907,2864, 2829, 2912
10023,2925, 2889, 2925
10138,2939, 2896, 2896
10255,2940, 2775, 2899
10379,2918, 2942, 2742
10510,2925, 2771, 2942
10640,2935, 2880, 2903
10773,2884, 2773, 2891
10904,2863, 2928, 2928
11030,2875, 2926, 2843
11160,2914, 2775, 2903
11290,2960, 2865, 2886
11420,2895, 2797, 2884
11551,2899, 2928, 2815
11681,2911, 2746, 2864
11811,3039, 2838, 2874
11942,2815, 2949, 2941
12072,2923, 2832, 2838
12202,2927, 2849, 2870
12333,2877, 2883, 2894
12459,2863, 2877, 2887
12587,2859, 2864, 2841
12720,2896, 2806, 2829
12850,2931, 2833, 2903
12976,2882, 2864, 2801
13106,2886, 2832, 2848
13237,2892, 2827, 2926
13367,2911, 2920, 2865
13497,2863, 2741, 2898
13627,2898, 2831, 2833
13758,2899, 2896, 2793
13888,2903, 2782, 2944
14018,2865, 2747, 2914
14149,2895, 2858, 2918
14279,2881, 2719, 2871
14409,2861, 2768, 2860
14543,2880, 3086, 2849
14673,2871, 2915, 2887
14803,2864, 2879, 2886
14933,2883, 2851, 2821
15151,2960, 2865, 2879
15373,2931, 2925, 2800
15563,3056, 2928, 2897
15749,2855, 3093, 2881
15957,2895, 2913, 2819
16143,2887, 2837, 2872
16352,2901, 2768, 2871
16573,2928, 2878, 2925
16763,2858, 2844, 2803
16961,2932, 2812, 2890
17113,2868, 2894, 2832
17229,2878, 2783, 2902
17350,2767, 2638, 2894
17471,2659, 2559, 3026
17587,2670, 2559, 3158
17708,2538, 2445, 3056
17824,2407, 2559, 3346
17945,2405, 2516, 3469
18066,2445, 2512, 3230
18182,2384, 2640, 3207
18303,2358, 2545, 3247
18423,2411, 2559, 3184
18539,2394, 2559, 3262
18660,2362, 2497, 3293
18776,2389, 2483, 3282
18903,2367, 2446, 3386
19045,2351, 2531, 3261
19177,2417, 2587, 3283
19309,2417, 2544, 3231
19441,2352, 2540, 3280
19572,2382, 2538, 3214
19718,2416, 2544, 3325
19850,2358, 2617, 3226
19982,2389, 2559, 3265
20114,2385, 2503, 3302
20246,2429, 2445, 3267
20378,2375, 2559, 3227
20509,2422, 2597, 3179
20641,2416, 2559, 3245
20776,2407, 2506, 3217
20908,2427, 2511, 3265
21043,2386, 2453, 3302
21184,2399, 2533, 3259
21316,2386, 2549, 3271
21448,2416, 2634, 3236
21580,2432, 2479, 3237
21712,2368, 2513, 3283
21844,2433, 2507, 3248
21976,2418, 2559, 3216
22108,2437, 2580, 3277
22239,2422, 2487, 3269
22371,2358, 2559, 3271
22505,2416, 2592, 3276
22634,2416, 2511, 3198
22776,2369, 2590, 3258
22905,2371, 2546, 3302
23041,2466, 2559, 3069
23173,2549, 2640, 3091
23313,2635, 2806, 2954
23450,2735, 2771, 3007
23590,2475, 2704, 3041
23740,2322, 2511, 3056
23864,2320, 2595, 3043
24015,2160, 2559, 3139
24151,2188, 2644, 2991
24288,2101, 2728, 3103
24419,2188, 2700, 3215
24555,2176, 2535, 3330
24706,2149, 2640, 3070
24842,2098, 2729, 3149
24973,2105, 2463, 3139
25119,2183, 2665, 3008
25260,2059, 2653, 3088
25396,2176, 2559, 3131
25528,2090, 2636, 3083
25674,2175, 2523, 3107
25824,2154, 2720, 3183
25960,2421, 2491, 3120
26097,2154, 2620, 3007
26228,2150, 2521, 3105
26364,2128, 2675, 3121
26501,2116, 2597, 3103
26637,2081, 2529, 3184
26768,2097, 2689, 2884
26915,2069, 2640, 3133
27058,2155, 2733, 3386
27194,2075, 2643, 3094
27338,2077, 2387, 3185
27462,2099, 2692, 3151
27609,2087, 2627, 3067
27748,2157, 2527, 3087
27884,2096, 2613, 3241
28013,2191, 2723, 3200
28149,2386, 2595, 3168
