T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
16171,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
16306,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
16434,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
16566,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
16698,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
16830,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
16963,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
17093,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
17228,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
17366,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
17495,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
17627,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
17759,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
17890,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
18022,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
18154,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
18286,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
18418,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
18549,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
18681,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
18813,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
18945,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
19077,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
19211,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
