T,pci,rci
6788,0.00,0.00
6902,0.00,0.00
7020,0.00,0.00
7134,0.00,0.00
7252,0.00,0.00
7366,0.00,0.00
7484,0.00,0.00
7598,0.00,0.00
7717,0.00,0.00
7835,0.00,0.00
7950,0.00,0.00
8068,0.00,0.00
8182,0.00,0.00
8300,0.00,0.00
8415,0.00,0.00
8533,0.00,0.00
8647,0.00,0.00
8764,0.00,0.00
8879,0.0,0.00
8996,0.00,0.00
9110,0.00,0.00
9227,0.00,0.00
9341,0.00,0.00
9458,0.00,0.00
9572,0.00,0.00
9689,0.00,0.00
9803,0.00,0.00
9920,0.00,0.00
10034,0.00,0.00
10151,0.00,0.00
10265,0.00,0.00
10382,0.00,0.00
10497,0.00,0.00
10613,0.00,0.00
10728,0.00,0.00
10844,0.00,0.00
10959,0.00,0.00
11075,0.00,0.00
11190,0.00,0.00
11306,0.00,0.00
11421,0.00,0.00
11537,0.00,0.00
11652,0.00,0.00
11768,0.00,0.00
11883,0.00,0.00
11999,0.00,0.00
12114,0.00,0.00
12230,0.00,0.00
12345,0.00,0.00
12461,0.00,0.00
12576,0.00,0.00
12692,0.00,0.00
12807,0.00,0.00
12923,0.00,0.00
13037,0.00,0.00
13240,0.00,0.00
13473,0.00,0.00
13666,0.00,0.00
13859,0.00,0.00
14011,0.00,0.00
14128,0.00,0.00
14244,0.00,0.00
14361,0.00,0.00
14482,0.00,0.00
14602,0.00,0.00
14719,0.00,0.00
14849,0.00,0.00
14980,0.00,0.00
15112,0.00,0.00
15243,0.00,0.00
15375,0.00,0.00
15507,0.00,0.00
15638,0.00,0.00
15770,0.00,0.00
15901,0.00,0.00
16036,0.00,0.00
16168,0.00,0.00
16299,0.00,0.00
16431,0.00,0.00
16562,0.00,0.00
16694,0.00,0.00
16829,0.00,0.00
16960,0.00,0.00
17089,0.00,0.00
17220,0.00,0.00
17355,0.00,0.00
17487,0.00,0.00
17619,0.00,0.00
17750,0.00,0.00
17882,0.00,0.00
18010,0.00,0.00
18145,0.00,0.00
18277,0.00,0.00
18408,0.00,0.00
18543,0.00,0.00
18675,0.00,0.00
18806,0.00,0.00
18944,0.00,0.00
19079,0.00,0.00
19226,0.00,0.00
19360,0.00,0.00
19491,0.00,0.00
19623,0.00,0.00
19755,0.00,0.00
19886,0.00,0.00
20015,0.00,0.00
20146,0.00,0.00
20281,0.00,0.00
20413,0.00,0.00
20544,0.00,0.00
20675,0.00,0.00
20808,0.00,0.00
20939,0.00,0.00
21071,0.00,0.00
21205,0.00,0.00
21337,0.00,0.00
21468,0.00,0.00
21600,0.00,0.00
21731,0.00,0.00
21863,0.00,0.00
21986,0.00,0.00
22130,0.00,0.00
22261,0.00,0.00
22403,1.22,-3.49
22540,1.91,-6.51
22684,-0.05,-8.56
22809,-3.76,-9.46
22954,-5.10,-9.84
23096,-4.62,-7.82
23237,-3.05,-6.47
23387,-1.86,-4.98
23523,0.00,0.00
23655,0.00,0.00
23791,0.00,0.00
23928,0.00,0.00
24055,0.00,0.00
24192,0.00,0.00
24342,0.00,0.00
24481,0.00,0.00
24609,0.00,0.00
24745,0.00,0.00
24885,0.00,0.00
25028,0.00,0.00
25152,0.00,0.00
25297,0.00,0.00
25433,0.00,0.00
25575,0.00,0.00
25728,0.00,0.00
25859,0.00,0.00
26000,0.00,0.00
26135,0.00,0.00
26282,0.00,0.00
26416,0.00,0.00
26553,0.00,0.00
26689,0.00,0.00
