T,L1,L2,L3
6755,0, 0, 0
6891,149, 159, 126
7009,226, 240, 259
7123,264, 271, 292
7241,285, 302, 318
7355,293, 318, 332
7474,301, 327, 337
7588,305, 331, 342
7706,305, 335, 345
7820,304, 338, 347
7938,305, 338, 348
8052,305, 337, 347
8171,303, 337, 346
8285,303, 336, 346
8404,300, 335, 347
8518,299, 334, 347
8636,298, 331, 348
8750,299, 329, 350
8868,300, 328, 350
8982,300, 329, 349
9099,299, 332, 347
9213,299, 332, 348
9330,299, 332, 348
9444,298, 334, 346
9561,298, 334, 344
9675,298, 335, 341
9792,298, 336, 341
9906,297, 336, 341
10023,296, 335, 344
10138,296, 334, 344
10254,297, 333, 344
10369,299, 332, 344
10486,299, 332, 343
10601,299, 331, 344
10717,300, 329, 346
10832,303, 326, 346
10948,303, 324, 347
11063,302, 325, 346
11179,300, 326, 343
11294,298, 328, 341
11410,297, 329, 341
11525,296, 328, 341
11641,296, 327, 341
11788,297, 330, 340
12050,296, 329, 335
12254,299, 327, 335
12449,305, 322, 340
12594,307, 322, 339
12710,309, 323, 337
12830,313, 326, 331
12951,320, 327, 328
13067,327, 327, 327
13188,334, 327, 326
13314,338, 326, 327
13441,340, 326, 327
13573,340, 326, 328
13719,344, 327, 330
13850,348, 326, 328
13982,350, 324, 327
14115,348, 326, 327
14255,341, 326, 326
14387,336, 328, 326
14518,333, 328, 325
14650,331, 326, 324
14785,332, 323, 327
14917,331, 323, 325
15050,328, 320, 323
15180,325, 320, 319
15312,323, 319, 319
15444,322, 318, 319
15575,320, 318, 320
15707,317, 315, 317
15839,310, 308, 308
15971,295, 292, 291
16102,269, 267, 264
16234,224, 222, 217
16369,184, 184, 181
16504,146, 146, 143
16636,103, 115, 111
16767,76, 77, 76
16904,0, 0, 55
17035,0, 0, 43
17176,0, 0, 36
17312,0, 0, 35
17443,0, 0, 33
17589,0, 0, 32
17726,0, 0, 32
17867,0, 0, 32
18003,13, 0, 32
18134,10, 0, 32
18280,0, 0, 33
18417,0, 0, 30
18553,0, 0, 30
18684,0, 0, 31
18825,0, 0, 32
18961,0, 13, 0
19093,0, 19, 0
19239,0, 23, 0
19376,0, 25, 9
19520,0, 0, 22
19656,0, 0, 27
19787,0, 0, 28
19924,0, 0, 27
20063,0, 0, 28
20213,0, 0, 28
20345,0, 0, 29
20491,0, 0, 29
20627,0, 0, 30
20766,0, 0, 30
20907,0, 0, 32
21038,0, 0, 32
21175,0, 0, 32
21311,0, 0, 32
21447,0, 0, 32
21579,0, 0, 32
21718,0, 0, 31
21854,0, 0, 31
21986,0, 0, 31
