T,pci,rci
6986,0.00,0.00
7100,0.00,0.00
7219,0.00,0.00
7333,0.00,0.00
7452,0.00,0.00
7570,0.00,0.00
7684,0.00,0.00
7802,0.00,0.00
7917,0.00,0.00
8035,0.00,0.00
8150,0.00,0.00
8268,0.00,0.00
8383,0.00,0.00
8500,0.00,0.00
8615,0.00,0.00
8732,0.00,0.00
8846,0.00,0.00
8963,0.00,0.00
9077,000,0.00
9194,0.00,0.00
9308,0.00,0.00
9425,0.00,0.00
9539,0.00,0.00
9656,0.00,0.00
9770,0.00,0.00
9887,0.00,0.00
10001,0.00,0.00
10118,0.00,0.00
10233,0.00,0.00
10349,0.00,0.00
10463,0.00,0.00
10580,0.00,0.00
10695,0.00,0.00
10811,0.00,0.00
10926,0.00,0.00
11042,0.00,0.00
11157,0.00,0.00
11273,0.00,0.00
11388,0.00,0.00
11504,0.00,0.00
11619,0.00,0.00
11750,0.00,0.00
11881,0.00,0.00
12011,0.00,0.00
12142,0.00,0.00
12272,0.00,0.00
12402,0.00,0.00
12535,.00,0.00
12672,0.00,0.00
12807,0.00,0.00
12939,0.00,0.00
13066,0.00,0.00
13196,0.00,0.00
13327,0.00,0.00
13457,0.00,0.00
13590,0.00,0.00
13727,0.00,0.00
13859,0.00,0.00
13988,0.00,0.00
14121,0.00,0.00
14254,0.00,0.00
14385,0.00,0.00
14515,0.00,0.00
14646,0.00,0.00
14776,0.00,0.00
14909,0.00,0.00
15039,0.00,0.00
15170,0.00,0.00
15300,0.00,0.00
15431,0.00,0.00
15567,0.00,0.00
15700,0.00,0.00
15835,0.00,0.00
15964,0.00,0.00
16190,0.00,0.00
16396,0.00,0.00
16600,0.00,0.00
16790,0.00,0.00
16994,0.00,0.00
17116,0.00,0.00
17232,0.00,0.00
17353,0.00,0.00
17488,0.00,0.00
17623,0.00,0.00
17758,0.00,0.00
17890,0.00,0.00
18018,0.00,0.00
18150,0.00,0.00
18285,0.00,0.00
18417,0.00,0.00
18546,0.00,0.00
18677,0.00,0.00
18809,0.00,0.00
18947,0.00,0.00
19093,0.00,0.00
19225,0.00,0.00
19356,0.00,0.00
19488,0.00,0.00
19619,0.00,0.00
19755,-0.26,6.71
19887,0.01,5.81
20026,0.77,6.24
20167,1.31,6.59
20310,3.03,7.66
20446,4.34,8.01
20581,5.71,8.50
20718,6.14,6.78
20854,5.06,4.80
20986,0.00,0.00
21122,0.00,0.00
21266,0.00,0.00
21390,-1.15,-4.61
21546,-1.87,-5.24
21678,-1.32,-3.48
21814,0.00,0.00
21962,0.00,0.00
22111,0.00,0.00
22261,0.00,0.00
22400,0.00,0.00
22532,0.00,0.00
22671,0.00,0.00
22807,0.00,0.00
22958,0.00,0.00
23089,0.00,0.00
23225,0.00,0.00
23362,0.00,0.00
23490,0.00,0.00
23626,0.00,0.00
23762,0.00,0.00
23913,0.00,0.00
24047,0.0,0.00
24190,0.00,0.00
24326,0.00,0.00
24471,0.00,0.00
24606,0.00,0.00
24737,0.00,0.00
24874,0.00,0.00
25007,0.00,0.00
25141,0.00,0.00
25281,0.00,0.00
25417,0.00,0.00
25567,0.00,0.00
25704,0.00,0.00
25835,0.00,0.00
25971,0.00,0.00
26111,0.00,0.00
26239,0.00,0.00
26383,0.00,0.00
26522,0.00,0.00
26665,0.00,0.00
26796,0.00,0.00
26923,0.00,0.00
27063,0.00,0.00
27191,0.00,0.00
27327,0.00,0.00
27475,0.00,0.00
27617,0.00,0.00
27748,0.00,0.00
27903,0.00,0.00
28035,0.00,0.00
28171,0.00,0.00
28307,0.00,0.00
28450,0.00,0.00
28582,0.00,0.00
28729,0.00,0.00
28871,0.00,0.00
29014,0.00,0.00
29159,0.00,0.00
29290,0.00,0.00
29425,0.00,0.00
29562,0.00,0.00
29704,0.00,0.00
29835,0.00,0.00
29972,0.00,0.00
30115,0.00,0.00
30247,0.00,0.00
30383,0.00,0.00
30519,0.00,0.00
30662,0.00,0.00
30793,0.00,0.00
30923,0.00,0.00
31073,0.00,0.00
31212,0.00,0.00
31355,0.00,0.00
31490,0.00,0.00
31630,0.00,0.00
31770,0.00,0.00
31906,0.00,0.00
32034,0.00,0.00
32173,0.00,0.00
32310,0.00,0.00
32441,0.00,0.00
32577,0.00,0.00
32722,0.00,0.00
