T,L1,L2,L3
6953,0, 0, 0
7089,169, 157, 116
7207,257, 235, 239
7321,305, 265, 268
7440,325, 297, 292
7554,330, 312, 306
7672,336, 316, 316
7786,340, 316, 323
7905,345, 314, 325
8019,349, 313, 324
8138,349, 315, 321
8252,346, 321, 321
8370,342, 322, 321
8484,341, 321, 325
8603,341, 319, 327
8717,340, 318, 324
8835,344, 318, 321
8949,343, 324, 320
9066,342, 327, 321
9180,341, 326, 324
9297,340, 323, 324
9411,343, 319, 324
9528,346, 316, 323
9642,346, 319, 321
9759,345, 321, 320
9873,342, 323, 322
9990,341, 321, 325
10104,342, 319, 325
10222,344, 315, 325
10337,345, 316, 324
10453,344, 320, 322
10568,342, 325, 323
10684,342, 325, 326
10799,341, 324, 328
10915,341, 321, 327
11030,342, 319, 324
11146,342, 321, 322
11261,340, 322, 322
11377,337, 324, 323
11492,337, 322, 323
11608,339, 318, 322
11723,342, 314, 321
11839,343, 312, 320
11954,340, 315, 319
12070,335, 318, 319
12192,333, 318, 322
12318,332, 314, 324
12453,334, 308, 327
12579,334, 307, 325
12709,332, 311, 323
12839,332, 317, 323
12969,331, 317, 322
13099,330, 315, 322
13239,334, 310, 322
13370,335, 309, 322
13500,332, 312, 320
13630,331, 36, 319
13760,332, 314, 320
13890,335, 308, 324
14024,337, 305, 328
14154,335, 308, 327
14287,332, 312, 326
14418,330, 313, 324
14548,328, 312, 322
14678,328, 308, 320
14808,328, 304, 319
14939,325, 306, 316
15069,323, 309, 315
15202,324, 312, 312
15332,325, 308, 314
15466,331, 303, 323
15596,338, 301, 333
15723,335, 300, 335
15860,328, 303, 331
15990,325, 304, 328
16120,327, 303, 330
16253,330, 300, 330
16390,328, 301, 324
16521,326, 308, 318
16654,323, 312, 312
16784,322, 314, 310
16911,324, 310, 308
17034,327, 307, 309
17175,329, 306, 307
17305,331, 306, 304
17431,329, 303, 303
17562,327, 301, 306
17692,326, 301, 311
17952,327, 299, 316
18085,325, 301, 314
18216,325, 305, 310
18346,324, 306, 309
18476,323, 306, 308
18606,325, 304, 309
18737,324, 304, 309
18867,323, 303, 307
18997,322, 306, 306
19127,322, 307, 305
19257,322, 309, 306
19387,322, 309, 307
19521,323, 309, 308
19651,325, 308, 309
19781,324, 306, 307
19907,325, 306, 306
20037,325, 305, 306
20168,325, 307, 307
2029,325, 307, 306
20428,323, 306, 307
20558,326, 307, 305
20689,328, 306, 304
20819,326, 305, 303
20949,323, 305, 305
21080,322, 306, 307
21210,323, 304, 308
21340,325, 303, 307
21470,327, 302, 306
21601,324, 303, 305
21731,324, 305, 305
21861,322, 305, 305
21991,323, 305, 303
22117,328, 302, 301
22248,330, 303, 299
22381,328, 303, 300
22511,325, 305, 302
22646,322, 305, 304
22778,322, 302, 305
22910,325, 301, 305
23041,323, 301, 306
23173,323, 302, 308
23305,323, 303, 310
23436,322, 303, 309
23568,325, 302, 305
23700,325, 301, 303
23835,325, 304, 300
23967,322, 306, 300
24101,323, 307, 300
24233,322, 304, 300
24369,323, 301, 298
24497,322, 300, 299
24633,321, 301, 300
24760,319, 299, 301
24892,319, 298, 305
25023,319, 295, 303
25155,319, 295, 301
25287,317, 295, 300
25426,316, 296, 301
25553,314, 298, 299
25685,315, 298, 298
25817,317, 297, 295
25953,319, 297, 292
26080,318, 297, 292
26218,314, 298, 293
26348,313, 297, 294
26476,313, 296, 295
26607,314, 292, 294
26739,315, 290, 294
26871,312, 291, 298
27010,313, 291, 301
27142,311, 288, 302
27269,313, 288, 301
27405,313, 289, 300
27533,313, 290, 298
27664,309, 292, 297
27796,308, 293, 295
27928,309, 293, 294
28059,310, 292, 293
28191,310, 291, 293
28330,309, 291, 295
28465,308, 291, 294
28606,308, 290, 296
28738,310, 286, 297
28870,311, 285, 298
29002,310, 284, 299
29133,305, 283, 299
29265,301, 280, 296
29397,297, 275, 288
29528,290, 270, 279
29670,280, 258, 264
29802,270, 250, 253
29936,254, 242, 243
30068,246, 230, 230
30199,240, 221, 222
30331,236, 215, 219
30463,231, 210, 218
30595,226, 204, 215
30726,220, 198, 213
30858,216, 192, 211
30990,210, 187, 206
31121,208, 183, 202
31259,205, 181, 198
31404,200, 180, 195
31543,197, 178, 190
31674,195, 176, 185
31806,194, 174, 180
31938,192, 173, 175
32069,189, 170, 172
32201,183, 168, 172
32333,182, 167, 171
32467,182, 162, 168
32602,181, 158, 165
32734,179, 155, 162
32866,176, 154, 160
32998,173, 150, 156
33129,170, 147, 150
33261,167, 143, 145
33393,161, 138, 140
33524,153, 132, 134
33656,145, 126, 124
33791,138, 119, 117
33923,131, 115, 110
34054,127, 108, 104
34186,123, 103, 100
34318,117, 96, 95
34459,114, 92, 89
34590,108, 88, 83
34725,103, 78, 76
34857,98, 71, 72
34988,89, 66, 66
35120,83, 61, 61
35251,77, 53, 55
35382,68, 45, 46
35517,62, 37, 38
35657,55, 0, 33
35803,43, 5, 29
35945,36, 15, 28
36183,28, 5, 27
36323,25, 0, 27
36455,0, 11, 27
36601,0, 19, 26
36737,0, 23, 26
36880,0, 24, 27
37012,0, 24, 5
37157,0, 9, 14
37293,0, 20, 0
37433,0, 5, 11
37573,0, 17, 0
37704,4, 22, 0
37840,0, 23, 0
37986,0, 9, 9
38136,0, 20, 5
38272,0, 23, 15
38404,0, 25, 0
38543,0, 26, 0
38682,0, 26, 0
38826,0, 26, 10
38957,0, 27, 0
39093,0, 0, 15
39223,0, 12, 0
39351,0, 19, 0
39496,0, 12, 9
