T,yaw,pitch,roll
7163,-0.04, 0.00, -0.00
7290,-0.04, 0.00, 0.00
7407,-0.05, 0.01, 0.02
7521,-0.05, 0.01, 0.04
7639,-0.06, 0.00, 0.06
7753,-0.06, -0.01, 0.06
7872,-0.06, -0.02, 0.05
7986,-0.07, -0.02, 0.04
8105,-0.07, -0.02, 0.03
8219,-0.07, -0.01, 0.04
8338,-0.08, -0.00, 0.04
8452,-0.08, -0.01, 0.03
8571,-0.09, -0.01, 0.02
8685,-0.09, -0.01, 0.01
8804,-0.09, 0.00, 0.01
8921,-0.10, 0.01, 0.02
9035,-0.10, 0.01, 0.03
9152,-0.11, 0.01, 0.04
9266,-0.11, -0.00, 0.04
9383,-0.11, -0.02, 0.04
9497,-0.12, -0.01, 0.04
9614,-0.12, -0.01, 0.04
9728,-0.12, -0.00, 0.05
9845,-0.13, -0.01, 0.04
9959,-0.13, -0.02, 0.04
10077,-0.14, -0.02, 0.03
10192,-0.14, -0.02, 0.01
10308,-0.14, -0.00, 0.01
10423,-0.15, 0.01, 0.02
10539,-0.15, 0.01, 0.02
10660,-0.15, 0.01, 0.03
10791,-0.16, -0.01, 0.03
10921,-0.16, -0.01, 0.03
11051,-0.17, -0.00, 0.04
11181,-0.17, 0.00, 0.05
11315,-0.17, -0.00, 0.05
11491,-0.18, -0.02, 0.04
11732,-0.19, -0.02, 0.03
11952,-0.19, 0.00, 0.02
12150,-0.20, -0.00, 0.02
12372,-0.21, -0.01, 0.02
12577,-0.21, 0.00, 0.03
12778,-0.22, 0.00, 0.04
12940,-0.22, -0.02, 0.04
13106,-0.23, -0.02, 0.04
13227,-0.23, -0.02, 0.04
13345,-0.23, 0.00, 0.04
13461,-0.24, 0.01, 0.04
13583,-0.24, 0.00, 0.02
13699,-0.24, -0.01, 0.02
13820,-0.24, -0.01, 0.02
13939,-0.25, 0.01, 0.03
14055,-0.25, 0.01, 0.04
14176,-0.25, 0.02, 0.04
14292,-0.26, 0.01, 0.04
14413,-0.26, 0.00, 0.05
14533,-0.26, -0.01, 0.06
14649,-0.26, -0.00, 0.06
14770,-0.27, 0.01, 0.05
14886,-0.27, 0.01, 0.04
15007,-0.27, 0.01, 0.03
15127,-0.27, 0.01, 0.03
15243,-0.27, -0.00, 0.03
15364,-0.27, -0.00, 0.03
15480,-0.28, 0.00, 0.03
15601,-0.28, 0.01, 0.03
15721,-0.28, 0.02, 0.03
15837,-0.28, 0.01, 0.03
15958,-0.28, 0.00, 0.04
16074,-0.28, -0.00, 0.04
16202,-0.28, 0.00, 0.05
16334,-0.28, 0.01, 0.05
16465,-0.28, 0.01, 0.05
16597,-0.28, 0.01, 0.04
16732,-0.28, 0.01, 0.04
16867,-0.28, 0.01, 0.04
16999,-0.27, 0.01, 0.04
17133,-0.27, 0.02, 0.04
17265,-0.26, 0.01, 0.03
17397,-0.26, 0.01, 0.02
17540,-0.25, 0.01, 0.02
17674,-0.24, 0.02, 0.03
17806,-0.22, 0.03, 0.04
17938,-0.21, 0.04, 0.04
18072,-0.19, 0.04, 0.04
18207,-0.17, 0.04, 0.03
18339,-0.14, 0.05, 0.03
18470,-0.12, 0.06, 0.04
18605,-0.08, 0.06, 0.05
18733,-0.04, -0.01, 0.05
18865,-0.01, -0.06, 0.04
18996,0.03, -0.07, 0.02
19133,0.04, -0.07, -0.07
19273,0.05, -0.08, -0.10
19410,0.05, -0.11, -0.16
19554,0.05, -0.09, -0.15
19697,0.05, -0.03, -0.10
19833,0.05, 0.00, -0.07
19984,0.05, 0.03, -0.03
20115,0.04, 0.05, -0.00
20255,0.04, 0.05, -0.00
20391,0.04, 0.05, -0.00
20527,0.04, 0.05, -0.00
20659,0.03, 0.05, -0.00
20795,0.03, 0.05, 0.00
20945,0.03, 0.05, 0.01
21082,0.03, 0.05, 0.01
21222,0.03, 0.05, 0.01
21349,0.03, 0.05, 0.01
21636,0.02, 0.05, 0.01
21767,0.02, 0.05, 0.01
21903,0.02, 0.05, 0.01
22039,0.02, 0.05, 0.01
22179,0.02, 0.05, 0.01
22329,0.01, 0.05, 0.01
22472,0.01, 0.05, 0.01
22603,0.01, 0.05, 0.01
22742,0.01, 0.05, 0.01
22887,0.01, 0.05, 0.01
23022,0.00, 0.05, 0.01
23155,0.00, 0.05, 0.01
23299,0.00, 0.05, 0.01
23451,-0.00, 0.05, 0.01
23595,-0.00, 0.05, 0.01
23732,-0.00, 0.05, 0.01
23876,-0.01, 0.05, 0.01
24007,-0.01, 0.05, 0.01
24153,-0.01, 0.05, 0.01
