T,L1,L2,L3
6755,0, 0, 0
6891,77, 126, 90
7009,116, 187, 195
7123,134, 210, 221
7242,143, 230, 243
7356,149, 240, 256
7475,151, 245, 261
7589,154, 247, 264
7708,155, 248, 267
7822,156, 248, 268
7941,154, 249, 267
8055,149, 250, 265
8174,146, 249, 264
8288,145, 250, 265
8406,145, 251, 266
8520,146, 251, 267
8637,146, 252, 266
8751,147, 252, 266
8868,147, 252, 266
8982,147, 251, 266
9099,147, 252, 266
9213,148, 252, 266
9330,148, 251, 267
9444,148, 250, 267
9561,148, 251, 268
9675,148, 253, 268
9792,148, 252, 267
9906,148, 253, 265
10023,149, 253, 266
10138,149, 252, 266
10255,149, 252, 267
10370,149, 251, 267
10486,149, 251, 267
10601,149, 251, 266
10717,149, 253, 267
10832,150, 252, 267
10948,151, 251, 266
11063,151, 250, 264
11179,153, 253, 263
11294,153, 252, 263
11413,153, 252, 263
11543,152, 252, 265
11673,150, 251, 267
11803,150, 251, 267
11934,149, 251, 266
12064,148, 250, 264
12194,148, 250, 264
12321,149, 250, 267
12447,148, 249, 269
12584,147, 249, 268
12779,147, 250, 266
13039,147, 250, 269
13273,147, 250, 268
13469,147, 250, 267
13668,147, 252, 265
13891,147, 251, 265
14064,146, 249, 265
14261,145, 249, 264
14459,146, 249, 264
14655,147, 249, 268
14859,152, 250, 266
15055,163, 251, 265
15244,172, 252, 267
15365,179, 251, 266
15482,189, 252, 264
15602,205, 253, 263
15723,213, 254, 262
15840,204, 254, 262
15961,189, 252, 264
16078,174, 249, 267
16196,164, 247, 267
16317,158, 250, 266
16438,153, 250, 266
16570,150, 250, 265
16702,148, 251, 265
16834,148, 249, 266
16980,148, 249, 266
17112,148, 249, 265
17244,149, 248, 267
17375,149, 248, 268
17510,148, 247, 267
17645,148, 248, 268
17777,148, 247, 268
17909,151, 248, 266
18041,157, 252, 265
18173,163, 252, 264
18305,166, 252, 263
18437,163, 252, 262
18569,160, 251, 263
18701,156, 251, 265
18833,151, 249, 264
18965,148, 249, 264
19097,147, 249, 265
19229,148, 248, 265
19361,148, 246, 265
19493,147, 246, 263
19625,147, 247, 264
19757,148, 248, 264
19889,150, 249, 264
20021,150, 250, 265
20153,151, 249, 264
20285,149, 246, 262
20417,147, 246, 259
20549,142, 245, 257
20681,138, 241, 255
20823,135, 236, 254
20955,131, 227, 246
21087,123, 221, 239
21219,112, 211, 230
21351,102, 203, 219
21483,95, 196, 210
21615,85, 184, 201
21747,77, 177, 190
21879,68, 170, 184
22011,61, 166, 178
22143,58, 164, 174
22275,57, 161, 173
22407,55, 159, 174
22538,55, 156, 172
22670,53, 155, 171
22802,51, 152, 169
22934,51, 149, 167
23066,49, 147, 165
23198,46, 145, 164
23330,43, 144, 162
23462,41, 143, 158
23594,40, 141, 155
23726,40, 139, 152
23858,39, 139, 151
23990,37, 139, 151
24131,35, 138, 148
24263,33, 137, 145
24395,29, 134, 144
24527,29, 132, 144
24659,27, 129, 145
24790,5, 124, 143
24931,0, 121, 142
25059,0, 119, 139
25200,0, 118, 135
25337,0, 114, 132
25474,0, 110, 132
25605,0, 105, 132
25756,0, 101, 131
25893,0, 100, 127
26030,0, 99, 123
26170,0, 96, 118
26318,0, 93, 115
26450,0, 90, 111
26596,0, 86, 108
26733,0, 83, 104
26884,0, 82, 96
27021,0, 80, 90
27152,0, 76, 86
27289,0, 71, 83
27426,0, 69, 81
27563,0, 65, 77
27708,0, 61, 70
27855,0, 61, 65
28005,0, 58, 60
28152,0, 53, 56
28289,0, 48, 51
28433,0, 47, 46
28561,0, 45, 43
28708,0, 44, 41
28845,0, 40, 37
28995,0, 38, 34
29132,0, 35, 32
29269,0, 34, 30
29401,0, 0, 30
29538,0, 0, 30
29688,0, 15, 29
29825,0, 20, 30
29962,0, 23, 30
30094,0, 23, 31
30230,0, 0, 31
30370,0, 0, 31
30502,0, 0, 30
30652,0, 4, 30
30789,0, 8, 31
30926,0, 0, 31
31057,0, 5, 30
31208,0, 4, 30
31354,0, 8, 30
31495,0, 0, 29
31635,0, 11, 29
31778,0, 0, 28
31915,0, 9, 28
32047,0, 17, 28
32188,0, 21, 28
32314,0, 8, 27
32471,0, 18, 27
32603,0, 0, 27
2739,0, 0, 27
32876,0, 14, 27
33008,0, 5, 27
33149,0, 8, 27
33295,0, 0, 27
33445,0, 9, 27
33568,0, 17, 27
33700,0, 5, 28
33844,4, 16, 30
33981,0, 20, 31
34118,0, 9, 31
34249,0, 0, 31
34386,0, 0, 31
34523,0, 0, 30
34654,0, 0, 30
34795,0, 8, 30
34935,0, 0, 30
35072,0, 0, 30
35215,0, 0, 28
35347,0, 4, 27
35488,0, 16, 27
35617,0, 20, 28
35753,0, 22, 29
35899,0, 22, 29
36036,0, 0, 29
36172,0, 0, 28
36304,0, 0, 28
36441,0, 0, 29
36585,0, 0, 29
36737,13, 16, 40
36934,66, 79, 92
37129,223, 200, 209
37357,385, 334, 350
37587,451, 417, 437
37759,463, 445, 454
37982,411, 445, 460
38155,449, 452, 397
38383,478, 456, 374
38584,415, 451, 428
38777,417, 472, 486
38969,429, 484, 504
39135,430, 486, 512
39267,439, 486, 518
39400,463, 488, 519
39540,488, 495, 518
39675,493, 496, 516
39814,482, 493, 512
39943,464, 488, 513
40070,452, 488, 509
40202,459, 496, 506
40334,473, 505, 506
40466,474, 506, 506
40598,463, 501, 508
40729,461, 496, 508
