T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
7542,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7684,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7803,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7917,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8036,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8150,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8269,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8383,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8502,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8616,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8735,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8849,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8967,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9081,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9199,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9313,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9430,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9544,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9661,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9775,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9892,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10006,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10124,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10239,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10355,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
