T,pci,rci
7976,0.00,0.00
8090,0.00,0.00
8208,0.00,0.00
8322,0.00,0.00
8440,0.00,0.00
8554,0.00,0.00
8673,0.00,0.00
8791,0.00,0.00
8906,0.00,0.00
9024,0.00,0.00
9139,0.00,0.00
9257,0.00,0.00
9371,0.00,0.00
9489,0.00,0.00
9604,0.00,0.00
9722,0.00,0.00
9836,0.00,0.00
9953,0.00,0.00
10067,0.00,0.00
10184,0.00,0.00
10299,0.00,0.00
10415,0.00,0.00
10530,0.00,0.00
10646,0.00,0.00
10761,0.00,0.00
10877,0.00,0.00
10992,0.00,0.00
11108,0.00,0.00
11223,0.00,0.00
11339,0.00,0.00
11453,0.00,0.00
11570,0.00,0.00
11685,0.00,0.00
11801,0.00,0.00
11934,0.00,0.00
12067,0.00,0.00
12198,0.00,0.00
12331,0.00,0.00
12461,0.00,0.00
12603,0.00,0.00
12738,0.00,0.00
12872,0.00,0.00
13002,0.00,0.00
13130,0.00,0.00
13260,0.00,0.00
13390,0.00,0.00
13521,0.00,0.00
13654,0.00,0.00
13788,0.00,0.00
13918,0.00,0.00
14048,0.00,0.00
14179,0.00,0.00
14306,0.00,0.00
14440,0.00,0.00
14571,0.00,0.00
14693,0.00,0.00
14837,0.00,0.00
14971,0.00,0.00
15098,0.00,0.00
15232,0.00,0.00
15363,0.00,0.00
15485,0.00,0.00
15615,0.00,0.00
15745,0.00,0.00
15876,0.00,0.00
16006,0.00,0.00
16137,0.00,0.00
16267,0.00,0.00
16397,0.00,0.00
16529,0.00,0.00
16658,0.00,0.00
16791,0.00,0.00
16922,0.00,0.00
17049,0.00,0.00
17182,0.00,0.00
17319,0.00,0.00
17450,0.00,0.00
17583,0.00,0.00
17714,0.00,0.00
17844,0.00,0.00
17974,0.00,0.00
18105,0.00,0.00
18236,0.00,0.00
18366,0.00,0.00
18497,0.00,0.00
18619,0.00,0.00
18752,0.00,0.00
18883,0.00,0.00
19010,0.00,0.00
19140,0.00,0.00
19271,0.00,0.00
19401,0.00,0.00
19535,0.00,0.00
19665,0.00,0.00
19798,0.00,0.00
19929,0.00,0.00
20062,0.00,0.00
20193,0.00,0.00
20323,0.00,0.00
20453,0.00,0.00
20584,0.00,0.00
20717,0.00,0.00
20848,0.00,0.00
20978,0.00,0.00
21108,0.00,0.00
21236,0.00,0.00
21370,0.00,0.00
21500,0.00,0.00
21622,0.00,0.00
21753,0.00,0.00
21883,0.00,0.00
22014,0.00,0.00
22144,0.00,0.00
22277,0.00,0.00
22405,0.00,0.00
22538,0.00,0.00
22665,0.00,0.00
22796,0.00,0.00
22929,0.00,0.00
23061,0.00,0.00
23190,0.00,0.00
23320,0.00,0.00
23451,0.00,0.00
23582,0.00,0.00
23712,0.00,0.00
23834,0.00,0.00
23964,0.00,0.00
24095,0.00,0.00
24225,0.00,0.00
24352,0.00,0.00
24485,0.00,0.00
24616,0.00,0.00
24746,0.00,0.00
24876,0.00,0.00
25011,0.00,0.00
25137,0.00,0.00
25270,0.00,0.00
25398,0.00,0.00
25531,0.00,0.00
25662,0.00,0.00
25793,0.00,0.00
25923,0.00,0.00
26045,0.00,0.00
26183,0.00,0.00
26306,0.00,0.00
26436,0.00,0.00
26570,0.00,0.00
26700,0.00,0.00
26828,0.00,0.00
26960,0.00,0.00
27091,0.00,0.00
27224,0.00,0.00
27359,0.00,0.00
27485,0.00,0.00
27615,0.00,0.00
27746,0.00,0.00
27879,0.00,0.00
28010,0.00,0.00
28140,0.00,0.00
28270,0.00,0.00
28401,0.00,0.00
