T,L1,L2,L3
6755,0, 0, 0
6891,155, 171, 130
7010,239, 257, 268
7124,284, 299, 304
7243,307, 315, 334
7357,317, 332, 347
7476,321, 340, 355
7590,323, 345, 360
7709,328, 347, 363
7823,330, 345, 365
7942,331, 344, 366
8056,330, 345, 365
8175,324, 347, 365
8289,321, 350, 363
8406,319, 352, 361
8520,320, 351, 363
8637,323, 347, 366
8751,324, 346, 367
8868,324, 347, 366
8982,321, 349, 364
9099,321, 349, 361
9213,324, 349, 364
9330,327, 348, 365
9444,329, 347, 368
9561,327, 347, 368
9675,324, 350, 363
9792,322, 351, 362
9906,321, 351, 361
10023,323, 349, 363
10138,325, 348, 364
10260,326, 347, 365
10390,323, 348, 363
10521,322, 352, 361
10651,323, 351, 361
10781,325, 349, 363
10912,327, 348, 365
11045,327, 347, 366
11175,325, 349, 365
11309,324, 350, 363
11439,326, 350, 362
11569,329, 349, 363
11700,329, 348, 364
11830,327, 348, 364
11960,325, 349, 360
12086,323, 350, 361
12216,324, 350, 362
12347,326, 348, 363
12477,327, 346, 365
12607,327, 348, 363
12738,327, 350, 362
12868,327, 351, 361
12998,329, 348, 362
13128,331, 347, 363
13273,333, 345, 364
13503,329, 349, 361
13737,329, 350, 361
13911,331, 348, 363
14039,341, 347, 361
14174,346, 348, 357
14309,349, 350, 354
14441,350, 349, 353
14572,348, 341, 350
14704,343, 330, 341
14845,329, 317, 330
14987,315, 305, 310
15121,293, 293, 295
15256,274, 271, 272
15388,255, 250, 253
15520,235, 230, 236
15651,212, 211, 214
15783,181, 194, 195
15919,162, 171, 173
16046,148, 157, 160
16178,129, 144, 149
16310,114, 123, 136
16441,100, 110, 118
16576,88, 97, 104
16708,76, 86, 89
16844,59, 70, 78
16981,45, 53, 67
17112,0, 0, 53
17249,0, 0, 42
17395,0, 0, 34
17526,0, 0, 31
17662,0, 0, 29
17806,0, 15, 29
17943,0, 21, 31
18089,0, 24, 32
18220,0, 26, 33
18356,0, 26, 34
18507,0, 26, 35
18652,0, 27, 34
18785,0, 5, 33
18917,0, 0, 32
19057,0, 14, 31
19194,0, 0, 30
19321,0, 13, 31
19464,0, 21, 31
19600,0, 23, 32
19751,0, 26, 31
19882,0, 25, 31
20033,0, 25, 32
20174,0, 13, 34
20312,0, 5, 35
20454,0, 18, 33
20600,0, 0, 33
20740,0, 12, 32
20867,0, 0, 32
21011,0, 0, 34
21147,0, 9, 33
21286,0, 9, 33
21418,0, 12, 32
21554,0, 0, 31
21704,0, 12, 32
21840,0, 18, 32
21986,0, 8, 32
22118,0, 9, 30
22261,0, 18, 27
22398,0, 22, 27
22543,0, 23, 27
22680,0, 25, 29
22825,0, 5, 31
22971,0, 12, 31
