T,yaw,pitch,roll
6770,-0.02, 0.02, 0.02
6893,-0.02, -0.01, 0.02
7011,-0.03, -0.02, 0.01
7125,-0.03, -0.03, 0.01
7244,-0.03, -0.02, 0.04
7359,-0.04, -0.02, 0.05
7477,-0.04, -0.01, 0.05
7591,-0.04, -0.02, 0.04
7710,-0.04, -0.02, 0.03
7824,-0.05, -0.02, 0.03
7943,-0.05, -0.02, 0.05
8057,-0.05, -0.01, 0.05
8176,-0.06, -0.00, 0.06
8294,-0.06, 0.00, 0.04
8408,-0.06, -0.00, 0.02
8525,-0.07, -0.01, 0.01
8639,-0.07, -0.02, 0.02
8756,-0.07, -0.01, 0.03
8870,-0.08, -0.01, 0.04
8987,-0.08, -0.01, 0.03
9102,-0.08, -0.01, 0.02
9218,-0.09, -0.02, 0.01
9332,-0.09, -0.03, 0.02
9449,-0.10, -0.03, 0.04
9563,-0.10, -0.02, 0.05
9680,-0.10, -0.01, 0.06
9794,-0.11, -0.01, 0.04
9911,-0.11, -0.01, 0.03
10026,-0.11, -0.01, 0.03
10143,-0.12, -0.01, 0.03
10258,-0.12, -0.01, 0.04
10374,-0.13, -0.00, 0.04
10489,-0.13, -0.00, 0.03
10605,-0.13, -0.01, 0.02
10720,-0.14, -0.02, 0.01
10836,-0.14, -0.02, 0.01
10951,-0.15, -0.02, 0.03
11073,-0.15, -0.02, 0.04
11204,-0.15, -0.01, 0.04
11338,-0.16, -0.02, 0.03
11470,-0.16, -0.02, 0.02
11602,-0.17, -0.02, 0.03
11734,-0.17, -0.01, 0.05
11865,-0.17, -0.01, 0.05
12001,-0.18, -0.00, 0.04
12131,-0.18, -0.01, 0.03
12265,-0.19, -0.01, 0.02
12395,-0.19, -0.01, 0.03
12525,-0.19, -0.01, 0.03
12711,-0.20, -0.01, 0.03
12922,-0.20, -0.02, 0.01
13069,-0.21, -0.02, 0.02
13196,-0.21, -0.01, 0.04
13328,-0.21, -0.01, 0.05
13460,-0.22, -0.01, 0.04
13595,-0.22, -0.01, 0.03
13733,-0.22, -0.01, 0.03
13865,-0.22, -0.00, 0.04
13997,-0.23, 0.00, 0.05
14131,-0.23, -0.00, 0.04
14274,-0.23, -0.01, 0.03
14406,-0.23, -0.01, 0.02
14538,-0.23, -0.01, 0.02
14670,-0.23, -0.01, 0.03
14801,-0.24, -0.02, 0.04
14933,-0.24, -0.02, 0.04
15064,-0.24, -0.02, 0.03
15202,-0.24, -0.01, 0.03
15334,-0.24, -0.00, 0.03
15466,-0.23, 0.00, 0.04
15607,-0.23, 0.00, 0.05
15739,-0.23, 0.00, 0.03
15877,-0.23, 0.01, 0.03
16005,-0.22, 0.02, 0.02
16137,-0.21, 0.02, 0.03
16269,-0.21, 0.02, 0.04
16400,-0.20, 0.01, 0.04
16535,-0.19, 0.01, 0.03
16673,-0.17, 0.02, 0.02
16804,-0.16, 0.04, 0.02
16947,-0.14, 0.02, 0.03
17081,-0.12, -0.02, 0.04
17212,-0.10, -0.07, 0.04
17344,-0.08, -0.05, 0.03
17474,-0.06, -0.01, 0.03
17616,-0.04, 0.02, 0.02
17754,-0.04, -0.11, -0.05
17884,-0.04, -0.08, -0.02
18157,-0.01, 0.00, -0.00
18301,-0.01, 0.02, 0.00
18433,-0.01, 0.02, 0.00
18574,-0.01, 0.02, 0.00
18708,-0.00, 0.03, 0.00
18847,0.00, 0.03, 0.00
18975,0.01, 0.03, 0.00
19111,0.01, 0.03, 0.00
19256,0.02, 0.03, 0.00
19398,0.02, 0.03, 0.00
19529,0.03, 0.03, 0.00
19665,0.03, 0.03, 0.00
19799,0.04, 0.03, 0.00
19932,0.04, 0.03, 0.00
20076,0.05, 0.03, 0.00
20219,0.05, 0.03, 0.00
20355,0.06, 0.03, 0.00
20486,0.06, 0.03, 0.00
20622,0.07, 0.03, 0.00
20759,0.07, 0.03, 0.00
20895,0.08, 0.03, 0.00
21026,0.08, 0.03, 0.00
21170,0.08, 0.03, 0.00
21306,0.09, 0.03, 0.00
21437,0.10, 0.03, 0.00
21573,0.10, 0.03, 0.00
21707,0.10, 0.03, 0.00
21849,0.11, 0.03, 0.00
22002,0.11, 0.03, 0.00
22130,0.12, 0.03, 0.00
22269,0.12, 0.03, 0.00
22405,0.13, 0.03, 0.00
22536,0.13, 0.03, 0.00
22672,0.14, 0.03, 0.00
22809,0.14, 0.03, 0.00
