T,pci,rci
7382,0.00,0.00
7496,0.00,0.00
7614,0.00,0.00
7728,0.00,0.00
7846,0.00,0.00
7960,0.00,0.00
8079,0.00,0.00
8197,0.00,0.00
8311,0.00,0.00
8429,0.00,0.00
8543,0.00,0.00
8661,0.00,0.00
8775,0.00,0.00
8893,0.00,0.00
9007,0.00,0.00
9125,0.00,0.00
9239,0.00,0.00
9357,0.00,0.00
9471,0.00,0.00
9589,0.00,0.00
9703,0.00,0.00
9821,0.00,0.00
9935,0.00,0.00
10052,0.00,0.00
10167,0.00,0.00
10283,0.00,0.00
10398,0.00,0.00
10514,0.00,0.00
10629,0.00,0.00
10745,0.00,0.00
10876,0.00,0.00
11006,0.00,0.00
11138,0.00,0.00
11261,0.00,0.00
11405,0.00,0.00
11538,0.00,0.00
11666,0.00,0.00
11799,0.00,0.00
11930,0.00,0.00
12052,0.00,0.00
12182,0.00,0.00
12315,0.00,0.00
12460,0.00,0.00
12590,0.00,0.00
12712,0.00,0.00
12845,0.00,0.00
12972,0.00,0.00
13102,0.00,0.00
13237,0.00,0.00
13363,0.00,0.00
13493,0.00,0.00
13626,0.00,0.00
13824,0.00,0.00
14010,0.00,0.00
14213,0.00,0.00
14343,0.00,0.00
14460,0.00,0.00
14593,0.00,0.00
14725,0.00,0.00
14871,0.00,0.00
15003,0.00,0.00
15135,0.00,0.00
15269,0.00,0.00
15401,0.00,0.00
15533,0.00,0.00
15665,0.00,0.00
15797,0.00,0.00
15928,0.00,0.00
16063,0.00,0.00
16198,0.00,0.00
16333,0.00,0.00
16464,0.00,0.00
16599,0.00,0.00
16727,0.00,0.00
16859,0.00,0.00
16991,0.00,0.00
17122,0.00,0.00
17266,0.00,0.00
17397,3.06,4.60
17541,4.64,5.57
17681,4.65,6.61
17818,2.23,4.20
17946,0.00,0.00
18092,0.00,0.00
18233,0.00,0.00
18372,0.00,0.00
18501,0.00,0.00
18640,0.00,0.00
18780,0.00,0.00
18930,0.00,0.00
19070,0.00,0.00
19213,0.00,0.00
19358,0.00,0.00
19489,0.00,0.00
19625,0.00,0.00
19761,0.00,0.00
19893,0.00,0.00
20026,0.00,0.00
20166,0.00,0.00
20299,0.00,0.00
20431,0.00,0.00
20581,0.00,0.00
20720,0.00,0.00
20864,0.00,0.00
20995,0.00,0.00
21140,0.00,0.00
21275,0.00,0.00
21412,0.00,0.00
2552,0.00,0.00
21680,0.00,0.00
21816,0.00,0.00
21945,0.00,0.00
22078,0.00,0.00
22232,0.00,0.00
22371,0.00,0.00
22508,0.00,0.00
22636,0.00,0.00
22773,0.00,0.00
22917,0.00,0.00
23052,0.00,0.00
23188,0.00,0.00
23324,0.00,0.00
23470,0.00,0.00
23615,0.00,0.00
23746,0.00,0.00
23882,0.00,0.00
24019,0.00,0.00
24155,0.00,0.00
