T,pci,rci
6694,0.00,0.00
6808,0.00,0.00
6927,0.00,0.00
7041,0.00,0.00
7159,0.00,0.00
7273,0.00,0.00
7392,0.00,0.00
7510,0.00,0.00
7625,0.00,0.00
7743,0.00,0.00
7858,0.00,0.00
7976,0.00,0.00
8091,0.00,0.00
8209,0.00,0.00
8323,0.00,0.00
8440,0.00,0.00
8554,0.00,0.00
8671,0.00,0.00
8785,0.0,0.00
8902,0.00,0.00
9016,0.00,0.00
9133,0.00,0.00
9247,000,0.00
9364,0.00,0.00
9478,0.00,0.00
9595,0.00,0.00
9709,0.00,0.00
9826,0.00,0.00
9940,0.00,0.00
10057,0.00,0.00
10172,0.00,0.00
10288,0.00,0.00
10420,0.00,0.00
10550,0.00,0.00
10672,0.00,0.00
10869,0.00,0.00
11132,0.00,0.00
11361,0.00,0.00
11628,0.00,0.00
11848,0.00,0.00
12056,0.00,0.00
12190,0.00,0.00
12311,0.00,0.00
12431,0.00,0.00
12548,0.00,0.00
12666,0.00,0.00
12782,0.00,0.00
12903,0.00,0.00
13032,0.00,0.00
13164,0.00,0.00
13296,0.00,0.00
13428,0.00,0.00
13559,0.00,0.00
13688,0.00,0.00
13820,0.00,0.00
13955,0.00,0.00
14086,0.00,0.00
14218,0.00,0.00
14350,0.00,0.00
14481,0.00,0.00
14613,0.00,0.00
14748,0.00,0.00
14883,0.00,0.00
15014,0.00,0.00
15149,0.00,0.00
15282,0.00,0.00
15421,0.07,9.83
15572,0.16,9.56
15708,1.38,10.10
15837,2.75,11.09
15977,5.07,12.67
16116,6.99,13.81
16264,9.86,15.67
16396,11.33,17.61
16540,12.75,19.87
16684,15.78,25.30
