T,state
11245,3
11751,1
11757,1
11769,1
11778,1
11788,1
11817,1
11842,1
11852,1
11866,1
11875,1
11885,1
11899,1
11909,1
11918,1
11934,1
11972,1
11982,1
11996,1
12006,1
12015,1
12029,1
12039,1
12049,1
12064,1
12109,3
12139,3
12154,3
12168,3
12178,3
12187,3
12233,3
12243,3
12253,3
12267,3
12276,3
12276,3
12293,3
12303,3
12312,3
12358,3
12368,3
12378,3
12392,3
12401,3
12411,3
12425,3
12435,3
12447,3
12490,3
12500,3
12509,3
12523,3
12533,3
12543,3
12557,3
12566,3
12577,3
12614,3
12632,3
12641,3
12651,3
12665,3
12675,3
12688,3
12698,3
12708,3
12723,3
12763,3
12773,3
12783,3
12797,3
12806,3
12820,3
12830,3
12840,3
12854,3
12895,3
12905,3
12914,3
12928,3
12938,3
12948,3
12962,3
12971,3
12986,3
13027,3
13037,3
13046,3
13060,3
13070,3
13079,3
13093,3
13103,3
13114,3
13155,3
13168,3
13168,3
13185,3
13195,3
13205,3
13219,3
13228,3
13238,3
13252,3
13262,3
13303,3
13317,3
13327,3
13336,3
13350,3
13360,3
13370,3
13384,3
13394,3
13435,3
13449,3
13459,3
13468,3
13482,3
13492,3
13501,3
13515,3
13526,3
13567,3
13581,3
13590,3
13600,3
13614,3
13624,3
13633,3
13647,3
13658,3
13698,3
13712,3
13722,3
13732,3
13746,3
13755,3
13765,3
13779,3
13790,3
13830,3
13844,3
13854,3
13863,3
13877,3
13887,3
13897,3
13897,3
13914,3
13924,3
13965,3
13979,3
13989,3
13998,3
14012,3
14022,3
14031,3
14045,3
14056,3
14081,3
14111,3
14120,3
14130,3
14144,3
14154,3
14163,3
14177,3
14187,3
14199,3
14242,3
14252,3
14262,3
14276,3
14285,3
14295,3
14309,3
14319,3
14331,3
14374,3
14384,3
14393,3
14407,3
14417,3
14427,3
14441,3
14450,3
14462,3
14506,3
14516,3
14525,3
14539,3
14549,3
14559,3
14572,3
14582,3
14594,3
14638,3
14647,3
14657,3
14671,3
14681,3
14690,3
14704,3
14714,3
14726,3
14770,3
14779,3
14789,3
14803,3
14812,3
14822,3
14836,3
14846,3
14858,3
14901,3
14911,3
14921,3
14935,3
14944,3
14954,3
14968,3
14977,3
14990,3
15033,3
15043,3
15052,3
15066,3
15076,3
15086,3
15100,3
15109,3
15121,3
15165,3
15174,3
15184,3
15198,3
15208,3
15217,3
15231,3
15241,3
15253,3
15297,3
15306,3
15316,3
15330,3
15339,3
15349,3
15363,3
15373,3
15385,3
15428,3
15438,3
15448,3
15462,3
15471,3
15471,3
15484,3
15498,3
15508,3
15534,3
15563,3
15573,3
15582,3
15596,3
15606,3
15616,3
15630,3
15639,3
15650,3
15695,3
15705,3
15714,3
15728,3
15738,3
15747,3
15761,3
15771,3
15783,3
15827,3
15836,3
15846,3
15860,3
15870,3
15879,3
15893,3
15903,3
15915,3
15959,3
15968,3
15978,3
15992,3
16001,3
16011,3
16025,3
16035,3
16047,3
16090,3
16100,3
16110,3
16124,3
16133,3
16143,3
16157,3
16166,3
16179,3
16222,3
16232,3
16241,3
16255,3
16265,3
16275,3
16289,3
16298,3
16310,3
16354,3
16363,3
16373,3
16387,3
16397,3
16406,3
16420,3
16430,3
16442,3
16486,3
16495,3
16505,3
16519,3
16528,3
16538,3
16552,3
16562,3
16574,3
16617,3
16627,3
16637,3
16651,3
16660,3
16670,3
16684,3
16694,3
16706,3
16749,3
16759,3
16768,3
16782,3
16792,3
16802,3
16816,3
16825,3
16837,3
16881,3
16891,3
16900,3
16914,3
16924,3
16933,3
16947,3
16957,3
16969,3
17013,3
17022,3
17032,3
17046,3
17056,3
17065,3
17079,3
17089,3
17101,3
17144,3
17154,3
17164,3
17178,3
17187,3
17197,3
17211,3
17221,3
17233,3
17276,3
17286,3
17295,3
17309,3
17319,3
17329,3
17343,3
17352,3
17352,3
17367,3
17411,3
17421,3
17430,3
17444,3
17454,3
17464,3
17477,3
17487,3
17499,3
17543,3
17552,3
17562,3
17576,3
17586,3
17595,3
17609,3
17619,3
17630,3
17675,3
17684,3
17694,3
17708,3
17717,3
17727,3
17741,3
17751,3
17760,3
17806,3
17816,3
17826,3
17840,3
17849,3
17859,3
17873,3
17882,3
17895,3
17938,3
17948,3
17957,3
17971,3
17981,3
17991,3
18005,3
18014,3
18026,3
18070,3
18080,3
18089,3
18103,3
18113,3
18122,3
18136,3
18146,3
18158,3
18202,3
18211,3
18221,3
18235,3
18244,3
18254,3
18268,3
18278,3
18290,3
18333,3
18343,3
18353,3
18367,3
18376,3
18386,3
18400,3
18410,3
18422,3
18465,3
18475,3
18484,3
18498,3
18508,3
18518,3
18532,3
18541,3
18553,3
18597,3
18607,3
18616,3
18630,3
18640,3
18649,3
18663,3
18673,3
18685,3
18729,3
18738,3
18738,3
18751,3
18765,3
18775,3
18784,3
18798,3
18808,3
18820,3
18864,3
18873,3
18873,3
18886,3
18900,3
18909,3
18909,3
18926,3
18936,3
18948,3
18992,3
19001,3
19011,3
19025,3
19035,3
19044,3
19044,3
19061,3
19071,3
19097,3
19127,3
19136,3
19146,3
19160,3
19169,3
19179,3
19193,3
19203,3
19215,3
19258,3
19268,3
19278,3
19292,3
19301,3
19311,3
19325,3
19334,3
19347,3
19390,3
19400,3
19409,3
19423,3
19433,3
19443,3
19457,3
19466,3
19478,3
19522,3
19531,3
19541,3
19555,3
19565,3
19574,3
19588,3
19598,3
19610,3
19654,3
19663,3
19673,3
19687,3
19696,3
19706,3
19720,3
19730,3
19742,3
19785,3
19795,3
19805,3
19819,3
19828,3
19838,3
19852,3
19861,3
19874,3
19917,3
19927,3
19936,3
19950,3
19960,3
19970,3
19984,3
19993,3
20005,3
20049,3
20058,3
20068,3
20082,3
20092,3
20101,3
20115,3
20125,3
20137,3
20181,3
20190,3
20200,3
20214,3
20223,3
20223,3
20236,3
20250,3
20260,3
20272,3
20315,3
20325,3
20335,3
20349,3
20358,3
20358,3
20371,3
20385,3
20395,3
20417,3
20450,3
20460,3
20469,3
20483,3
20493,3
20503,3
20517,3
20526,3
20537,3
20582,3
20592,3
20601,3
20615,3
20625,3
20635,3
20648,3
20658,3
20669,3
20714,3
20723,3
20733,3
20747,3
20757,3
20766,3
20780,3
20790,3
20799,3
20845,3
20855,3
20865,3
20879,3
20888,3
20898,3
20912,3
20922,3
20931,3
20977,3
20987,3
20987,3
20988,3
21007,3
21017,3
21026,3
21040,3
21050,3
21059,3
21105,3
21115,3
21125,3
21139,3
21148,3
21158,3
21172,3
21182,3
21194,3
21237,3
21247,3
21256,3
21270,3
21280,3
21290,3
21304,3
21313,3
21325,3
21369,3
21379,3
21388,3
21402,3
21412,3
21421,3
21435,3
21445,3
21457,3
21501,3
21510,3
21510,3
21523,3
21537,3
21547,3
21556,3
21570,3
21580,3
21592,3
21636,3
21645,3
21645,3
21658,3
21672,3
21681,3
21681,3
21698,3
21708,3
21718,3
21733,3
21773,3
21783,3
21797,3
21807,3
21816,3
21816,3
21833,3
21843,3
21853,3
21899,3
21908,3
21918,3
21932,3
21941,3
21951,3
21965,3
21975,3
21984,3
22030,3
22040,3
22050,3
22064,3
22073,3
22083,3
22097,3
22106,3
22119,3
22162,3
22172,3
22181,3
22195,3
22205,3
22215,3
22229,3
22238,3
22250,3
22294,3
22303,3
22313,3
22327,3
22337,3
22346,3
22360,3
22370,3
22382,3
22426,3
22435,3
22445,3
22459,3
22468,3
22478,3
22492,3
22502,3
22514,3
22557,3
22567,3
22577,3
22591,3
22600,3
22610,3
22624,3
22634,3
22646,3
22689,3
22699,3
22708,3
22722,3
22732,3
22742,3
22756,3
22765,3
22777,3
22821,3
22830,3
22840,3
22854,3
22864,3
22873,3
22887,3
22897,3
22909,3
22952,3
22962,3
22972,3
22986,3
22995,3
22995,3
23008,3
23022,3
23032,3
23058,3
23087,3
23096,3
23106,3
23120,3
23130,3
23139,3
23153,3
23163,3
23175,3
23218,3
23228,3
23237,3
23251,3
23261,3
23271,3
23286,4
23301,4
23340,4
23359,4
23369,4
23382,4
23397,4
23407,4
23421,4
23432,4
23481,4
23495,4
23505,4
23519,4
23528,4
23538,4
23557,4
23569,4
23617,4
23627,4
23636,4
23655,4
23665,4
23679,4
23688,4
23704,4
23754,4
23763,4
23777,4
23787,4
23801,4
23815,4
23825,4
23834,4
23881,4
23899,4
23913,4
23923,4
23932,4
23951,4
23961,4
23975,4
23985,4
24024,4
24050,4
24059,4
24069,4
24083,4
24097,4
24111,4
24121,4
24133,4
24181,4
24191,4
24210,4
24219,4
24219,4
24232,4
24251,4
24260,4
24275,4
24309,4
24330,4
24349,4
24358,4
24372,4
24382,4
24391,4
24410,4
24421,4
24459,4
24480,4
24480,4
24502,4
24512,4
24521,4
24535,4
24550,4
24559,4
24574,4
24620,4
24629,4
24648,4
24658,4
24672,4
24681,4
24691,4
24711,4
24756,4
24770,4
24779,4
24789,4
24808,4
24817,4
24827,4
24841,4
24872,4
24906,4
24916,4
24925,4
24939,4
24954,4
24968,4
24977,4
24989,4
25037,4
25052,4
25066,4
25076,4
25085,4
25104,4
25114,4
25125,4
25174,4
25183,4
25202,4
25212,4
25221,4
25235,4
25250,4
25265,4
25310,4
25320,4
25334,4
25348,4
25362,4
25372,4
25381,4
25401,4
25447,4
25460,4
25470,4
25480,4
25499,4
25508,4
25518,4
25533,4
25578,4
25597,4
25606,4
25616,4
25630,4
25639,4
25658,4
25669,4
25714,4
25728,4
25738,4
25757,4
25766,4
25776,4
25790,4
25806,4
25851,4
25864,4
25874,4
25883,4
25902,4
25912,4
25926,4
25936,4
25982,4
26001,4
26010,4
26024,4
26034,4
26048,4
26062,4
26073,4
26107,4
26132,4
26141,4
26160,4
26170,4
26180,4
26199,4
26208,4
26223,4
26268,4
26278,4
26297,4
26306,4
26320,4
26330,4
26339,4
26359,4
26405,4
26418,4
26428,4
26438,4
26457,4
26466,4
26476,4
26490,4
26507,4
26555,4
26564,4
26574,4
26588,4
26602,4
26616,4
26626,4
26638,4
26686,4
26701,4
26715,4
26724,4
26734,4
26753,4
26762,4
26774,4
26822,4
26832,4
26846,4
26860,4
26870,4
26884,4
26898,4
26913,4
26959,4
26968,4
26982,4
26992,4
27011,4
27020,4
27030,4
27045,4
27083,4
27104,4
27118,4
27128,4
27137,4
27156,4
27166,4
27180,4
27189,4
27232,4
27255,4
27264,4
27278,4
27288,4
27302,4
27316,4
27326,4
27335,4
27379,4
27400,4
27414,4
27424,4
27433,4
27452,4
27462,4
27476,4
27486,4
27531,4
27550,4
27560,4
27574,4
27583,4
