T,yaw,pitch,roll
6770,0.02, 0.01, -0.00
6893,0.03, 0.02, 0.00
7011,0.03, 0.01, 0.01
7125,0.03, -0.01, 0.01
7243,0.03, -0.02, -0.01
7357,0.03, -0.01, -0.02
7476,0.02, 0.00, -0.03
7590,0.02, 0.02, -0.01
7708,0.01, 0.02, 0.02
7822,0.01, 0.01, 0.03
7940,0.00, 0.00, 0.02
8054,-0.00, 0.01, 0.00
8172,-0.01, 0.02, -0.01
8286,-0.01, 0.02, -0.01
8405,-0.02, 0.01, 0.00
8519,-0.03, -0.00, 0.00
8638,-0.04, -0.02, -0.01
8756,-0.04, -0.00, -0.02
8870,-0.04, 0.01, -0.02
8987,-0.05, 0.03, 0.01
9102,-0.06, 0.02, 0.02
9218,-0.06, 0.01, 0.02
9332,-0.07, 0.01, 0.01
9449,-0.08, 0.01, -0.00
9563,-0.08, 0.02, -0.00
9680,-0.09, 0.02, -0.01
9794,-0.10, 0.01, -0.01
9911,-0.10, -0.00, -0.01
10026,-0.11, -0.00, -0.02
10143,-0.12, 0.01, -0.01
10270,-0.13, 0.03, -0.00
10401,-0.14, 0.03, 0.01
10545,-0.15, 0.02, 0.01
10681,-0.16, 0.02, 0.01
10811,-0.16, 0.02, -0.00
10942,-0.18, 0.02, -0.00
11075,-0.19, 0.01, -0.00
11202,-0.20, -0.00, -0.01
11336,-0.21, -0.00, -0.02
11459,-0.22, 0.02, -0.02
11589,-0.23, 0.03, -0.00
11719,-0.24, 0.03, 0.01
11849,-0.26, 0.02, 0.01
11980,-0.27, 0.02, 0.01
12110,-0.28, 0.02, 0.00
12240,-0.29, 0.02, -0.00
12370,-0.30, 0.02, -0.00
12497,-0.32, 0.00, -0.01
12624,-0.33, 0.00, -0.02
12755,-0.35, 0.02, -0.02
12888,-0.36, 0.03, -0.01
13019,-0.37, 0.04, 0.00
13152,-0.39, 0.03, 0.01
13274,-0.40, 0.02, 0.01
13404,-0.42, 0.02, 0.00
13542,-0.43, 0.02, -0.00
13668,-0.45, 0.02, -0.00
13798,-0.46, 0.01, 0.00
13929,-0.48, 0.01, -0.01
14122,-0.50, 0.02, -0.03
14359,-0.53, 0.04, -0.01
14584,-0.56, 0.03, 0.01
14787,-0.59, 0.02, 0.00
14977,-0.61, 0.02, 0.01
15182,-0.63, 0.01, 0.00
15372,-0.66, 0.01, -0.02
15500,-0.68, 0.02, -0.03
15616,-0.69, 0.04, -0.03
15737,-0.71, 0.05, -0.01
15858,-0.73, 0.05, -0.00
15974,-0.74, 0.04, -0.00
16103,-0.76, 0.03, -0.01
16235,-0.78, 0.04, -0.01
16370,-0.80, 0.04, -0.00
16501,-0.82, 0.04, 0.00
16633,-0.84, 0.03, -0.01
16765,-0.86, 0.02, -0.03
16897,-0.88, 0.03, -0.04
17028,-0.89, 0.05, -0.03
17160,-0.91, 0.06, -0.02
17292,-0.94, 0.05, -0.01
17427,-0.95, 0.04, -0.01
17555,-0.98, 0.04, -0.01
17687,-1.00, 0.05, -0.02
17815,-1.01, 0.06, -0.01
17944,-1.04, 0.06, -0.01
18072,-1.06, 0.05, -0.01
18204,-1.08, 0.03, -0.01
18336,-1.10, 0.02, -0.02
18468,-1.12, 0.04, -0.02
18599,-1.15, 0.05, -0.02
18731,-1.16, 0.06, -0.02
18863,-1.19, 0.05, -0.02
18998,-1.21, 0.04, -0.02
19126,-1.23, 0.04, -0.02
19258,-1.25, 0.05, -0.02
19393,-1.28, 0.06, -0.02
19528,-1.29, 0.06, -0.02
19660,-1.32, 0.05, -0.02
19791,-1.34, 0.04, -0.01
19923,-1.36, 0.04, -0.01
20054,-1.38, 0.05, -0.01
20186,-1.41, 0.06, -0.02
20318,-1.42, 0.08, -0.03
20452,-1.44, 0.13, -0.03
20589,-1.43, 0.15, 0.04
20739,-1.41, 0.15, 0.12
20868,-1.45, 0.08, 0.12
21012,-1.49, 0.03, 0.12
21151,-1.52, -0.02, 0.12
21291,-1.57, -0.09, 0.12
21442,-1.60, -0.11, 0.13
21570,-1.60, -0.11, 0.12
21716,-1.60, -0.08, 0.09
21853,-1.59, -0.04, 0.06
22000,-1.59, -0.01, 0.03
22128,-1.59, 0.00, 0.01
22265,-1.60, 0.02, -0.03
22401,-1.61, 0.03, -0.06
22544,-1.62, 0.02, -0.05
22695,-1.63, 0.02, -0.05
22822,-1.64, 0.01, -0.03
22959,-1.65, 0.01, -0.02
23095,-1.66, 0.01, -0.02
23226,-1.67, 0.01, -0.02
23372,-1.68, 0.01, -0.02
23516,-1.69, 0.01, -0.02
23652,-1.70, 0.01, -0.02
23780,-1.71, 0.01, -0.02
23923,-1.72, 0.01, -0.02
24059,-1.73, 0.01, -0.02
24196,-1.74, 0.01, -0.02
24327,-1.75, 0.01, -0.02
24471,-1.76, 0.01, -0.02
24617,-1.77, 0.01, -0.02
24753,-1.78, 0.01, -0.02
24903,-1.80, 0.01, -0.02
25039,-1.81, 0.01, -0.02
25193,-1.82, 0.01, -0.02
