T,a1,a2,a3
7003,2891,2761,2889
7033,2917,2856,2768
7066,2897,2815,2858
7099,2896,2865,2896
7132,2851,2765,2907
7165,2929,2832,2928
7198,2881,2877,2874
7231,2884,2880,2762
7264,2853,2783,2881
7297,2885,2880,2815
7330,2907,2830,2937
7363,2903,2768,2880
7396,2877,2942,2936
7429,2835,2831,2891
7462,2821,2847,2839
7495,2880,2826,2862
7528,2850,2850,2887
7561,2867,2747,2877
7594,2859,2898,2846
7627,2872,2853,2886
7660,2885,2894,2857
7693,2851,2736,2948
7726,2865,2928,2865
7759,2864,2832,2933
7792,2881,2834,2900
7825,2807,2849,2610
7858,2866,2842,2861
7891,2846,2867,2881
7924,2865,2805,2838
7957,2870,2829,2844
7990,2923,2825,2884
8023,2839,2809,2928
8056,2846,2828,3007
8089,2897,2833,2968
8122,2755,2877,2767
8155,2839,2843,2867
8188,2864,2867,2863
8221,2844,2800,2864
8254,2894,2757,2938
8287,2878,2832,2831
8320,2843,2822,2927
8353,2850,2803,2812
8386,2814,2889,2890
8419,2871,2795,2866
8452,2898,2944,2924
8485,2852,2821,2864
8518,2840,2896,2855
8551,2877,2914,2867
8584,2925,2837,2892
8617,2887,2763,2858
8650,2846,2805,2895
8683,2914,2786,2902
8716,2859,2882,2839
8749,2877,2800,2896
8782,2846,2839,2851
8815,2928,2719,2871
8848,2899,2843,2893
8881,2871,2833,2894
8914,2917,2811,2927
8947,2918,2822,2898
8980,2876,2928,2751
9013,2937,2781,2847
9046,2887,2739,2901
9079,2874,2839,2871
9112,2847,2559,2895
9145,2898,2768,2925
9178,2898,2846,2545
9211,2914,2770,2896
9244,2908,3169,2831
9277,2885,2885,2825
9310,2849,2839,2969
9343,2912,2620,2879
9376,2882,2844,2878
9409,2866,2800,2906
9442,2886,2896,2870
9475,2913,2917,2896
9508,2800,2896,2874
9541,2883,2799,2834
9574,2894,2892,2864
9607,2870,2794,2909
9640,2882,2851,2930
9673,2896,2793,2894
9706,2846,2880,2910
9739,2851,2834,2891
9772,2880,2788,2931
9805,2903,2834,2923
9838,2934,2787,2867
9871,2914,2762,2930
9904,2891,2719,2880
9937,2901,2770,2887
9970,2903,2816,2895
10003,2867,2785,2926
10036,2896,2768,2889
10069,2895,2961,2865
10102,2874,2810,2851
10135,2921,2805,2845
10168,2896,2831,2965
10201,2890,2890,2875
10234,2870,2834,2868
10267,2897,2815,2903
10300,2900,2940,2910
10333,2921,2908,2896
10366,2882,2802,2866
10399,2863,3058,2836
10432,2864,2825,2924
10465,2931,2811,2815
10498,2837,2782,2896
10531,2881,2949,2863
10564,2886,2823,2883
10597,2909,2837,2907
10630,2876,2817,2928
10663,2875,2832,2839
10696,2895,2864,2962
10729,2895,2891,2818
10762,2886,2811,2881
10795,2893,2893,2815
10828,2907,2846,2917
10861,2866,2922,2799
10894,2900,2886,2899
10927,2897,2869,2853
10960,2894,2898,2944
10993,2899,2831,2882
11026,2879,2814,2911
11059,2867,2829,2931
11092,2861,2832,2927
11125,2882,2814,2919
11158,2878,2799,2869
11191,2836,2880,2919
11224,2879,2825,2887
11257,2857,2856,2893
11290,2826,2901,2871
11323,2927,2805,2896
11356,2842,2800,2899
11389,2892,2859,3014
11422,2768,2804,2896
11455,2880,2882,2955
11488,2864,2853,2923
11521,2866,2811,2546
11554,2869,2801,2867
11587,2893,2864,2909
11620,2851,2835,2923
11653,2913,2827,2845
11686,2896,2875,2849
11719,2895,2849,2914
11752,2923,2880,2851
11785,2893,2783,2899
11818,2874,2907,2865
11851,2880,2781,2950
11884,2896,2771,2884
11917,2926,2807,2961
11950,2901,2834,3171
11983,2873,3056,2896
12016,2835,2851,2832
12049,2870,2866,2891
12082,2884,2864,2852
12115,2880,2814,2855
12148,2915,2835,2875
12181,2927,2910,2869
12214,2875,2848,2867
12247,2971,2783,2987
12280,2881,2960,2874
12313,2937,2868,2830
12346,2931,2923,2871
12379,2886,2896,2878
12412,2915,2770,2929
12445,2891,2793,2961
12478,2895,2876,2923
12511,2869,2559,2881
