T,L1,L2,L3
6655,0, 0, 0
6791,338, 225, 257
6909,471, 419, 479
7023,586, 519, 597
7142,644, 570, 654
7256,674, 595, 683
7375,684, 611, 693
7489,692, 618, 701
7607,696, 618, 708
7721,698, 621, 707
7840,696, 621, 710
7954,693, 625, 707
8072,691, 625, 703
8186,688, 627, 701
8305,694, 628, 700
8419,696, 629, 701
8537,699, 629, 700
8651,696, 629, 698
8768,695, 627, 696
8882,692, 625, 696
8999,692, 625, 693
9113,691, 623, 694
9230,690, 627, 695
9344,685, 626, 694
9461,683, 624, 689
9575,684, 626, 684
9692,687, 624, 685
9806,691, 626, 683
9923,693, 629, 680
10037,690, 625, 682
10154,690, 625, 683
10279,685, 623, 685
10409,685, 619, 684
10532,686, 622, 685
10673,684, 625, 682
10799,684, 622, 686
10929,683, 617, 689
11059,685, 619, 688
11190,689, 623, 690
11320,697, 624, 693
11450,697, 627, 696
11590,699, 625, 697
11721,694, 626, 695
11851,690, 622, 694
11984,688, 623, 692
12115,688, 620, 690
12245,684, 621, 689
12375,681, 621, 690
12509,684, 622, 687
12646,689, 623, 689
12873,695, 626, 692
13105,697, 624, 700
13309,692, 625, 692
13530,685, 621, 688
13732,682, 621, 689
13925,683, 618, 687
14076,691, 621, 685
14192,693, 624, 684
14313,693, 629, 683
14434,697, 636, 681
14551,700, 640, 682
14672,699, 647, 677
14788,692, 649, 673
14908,691, 656, 670
15029,691, 659, 666
15145,687, 657, 667
15266,684, 661, 667
15382,688, 663, 667
15502,688, 664, 669
15627,691, 663, 668
15762,680, 650, 662
15900,672, 634, 646
16032,657, 625, 631
16164,648, 615, 614
16295,635, 607, 607
16437,623, 594, 597
16573,616, 585, 590
16714,601, 569, 574
16856,593, 562, 561
16989,582, 555, 551
17129,575, 543, 542
17261,568, 536, 537
17393,558, 522, 521
17526,537, 498, 501
17656,516, 477, 468
17788,494, 455, 445
17920,464, 436, 426
18052,450, 413, 411
18183,435, 395, 390
18315,414, 373, 368
18450,386, 347, 343
18585,370, 331, 317
18717,354, 315, 301
18848,334, 288, 281
18980,321, 272, 260
19112,312, 261, 247
19244,302, 252, 233
19376,286, 244, 220
19507,273, 226, 204
19639,259, 210, 191
19771,241, 191, 173
19906,211, 170, 152
20038,190, 147, 126
20172,171, 130, 107
20304,145, 104, 89
20443,131, 89, 72
20575,123, 80, 63
20706,111, 74, 54
20841,101, 62, 43
20969,87, 0, 34
21115,66, 0, 32
21252,48, 0, 30
21390,0, 0, 29
21521,0, 0, 28
21662,0, 0, 27
21799,0, 0, 27
21936,0, 0, 28
22067,0, 0, 27
22207,0, 0, 28
22344,0, 0, 28
22475,0, 0, 29
22616,0, 0, 29
22762,0, 0, 29
22898,0, 0, 28
23037,0, 0, 28
23169,0, 0, 29
23296,0, 0, 29
23427,0, 0, 28
23563,0, 0, 28
23703,0, 0, 29
23843,0, 0, 29
23976,0, 0, 29
24121,0, 0, 30
24257,0, 0, 28
24397,0, 0, 29
24528,0, 0, 29
24679,0, 0, 28
24815,0, 0, 28
24954,0, 0, 28
25090,0, 0, 27
25222,0, 0, 27
25372,0, 0, 27
25508,0, 0, 28
25644,0, 0, 29
25776,0, 0, 27
25912,0, 0, 29
26055,0, 0, 29
26192,0, 0, 32
26323,0, 0, 31
26462,0, 0, 31
26598,0, 5, 29
