T,state
10453,3
11264,1
11272,1
11281,1
11291,1
11305,1
11315,1
11324,1
11338,1
11349,1
11388,1
11402,1
11412,1
11421,1
11435,1
11445,1
11454,1
11468,1
11479,1
11518,1
11528,1
11542,1
11551,1
11561,1
11575,1
11585,1
11594,1
11610,1
11648,1
11658,1
11672,1
11682,1
11691,1
11705,1
11715,1
11724,1
11739,1
11779,1
11788,1
11802,1
11812,1
11821,1
11835,1
11845,1
11855,1
11870,1
11909,1
11918,1
11932,1
11942,1
11952,1
11966,1
11975,1
11985,1
12000,1
12039,1
12049,1
12063,1
12072,1
12082,1
12096,1
12105,1
12115,1
12130,1
12169,1
12179,1
12188,1
12202,1
12212,1
12222,1
12236,1
12245,1
12256,1
12299,1
12309,1
12319,1
12333,1
12342,1
12352,1
12366,1
12375,1
12387,1
12429,1
12439,1
12449,1
12463,1
12472,1
12482,1
12496,1
12506,1
12515,1
12560,1
12569,1
12579,1
12593,1
12603,1
12612,1
12626,1
12636,1
12646,1
12690,1
12700,1
12709,1
12723,1
12733,1
12742,1
12756,1
12766,1
12777,1
12820,1
12830,1
12839,1
12853,1
12863,1
12873,1
12887,1
12896,1
12896,1
12910,1
12953,1
12963,1
12973,1
12987,1
12996,1
13006,1
13020,1
13029,1
13040,1
13079,1
13093,1
13103,1
13113,1
13127,1
13136,1
13146,1
13160,1
13170,1
13210,1
13224,1
13233,1
13243,1
13257,1
13266,1
13276,1
13290,1
13301,1
13340,1
13354,1
13363,1
13373,1
13387,1
13397,1
13406,1
13420,1
13431,1
13470,1
13484,1
13493,1
13503,1
13517,1
13527,1
13536,1
13550,1
13561,1
13600,1
13614,1
13624,1
13633,1
13647,1
13657,1
13666,1
13680,1
13691,1
13730,1
13740,1
13754,1
13763,1
13777,1
13787,1
13797,1
13811,1
13821,1
13861,1
13870,1
13884,1
13894,1
13903,1
13917,1
13927,1
13937,1
13952,1
13991,1
14000,1
14014,1
14024,1
14034,1
14048,1
14057,1
14057,1
14074,1
14085,1
14124,1
14134,1
14148,1
14157,1
14167,1
14181,1
14191,1
14200,1
14215,1
14254,1
14264,1
14278,1
14288,1
14297,1
14311,1
14321,1
14330,1
14345,1
14384,1
14394,1
14408,1
14418,1
14427,1
14441,1
14451,1
14461,1
14476,1
14491,1
14524,1
14538,1
14548,1
14558,1
14572,1
14581,1
14591,1
14605,1
14615,1
14655,1
14669,1
14678,1
14678,1
14691,1
14705,1
14714,1
14714,1
14727,1
14741,1
14774,1
14791,1
14805,1
14814,1
14824,1
