T,pci,rci
6788,0.00,0.00
6902,0.00,0.00
7020,0.00,0.00
7134,0.00,0.00
7252,0.00,0.00
7366,0.00,0.00
7484,0.00,0.00
7598,0.00,0.00
7716,0.00,0.00
7834,0.00,0.00
7948,0.00,0.00
8066,0.00,0.00
8181,0.00,0.00
8299,0.00,0.00
8414,0.00,0.00
8532,0.00,0.00
8646,0.00,0.00
8764,0.00,0.00
8878,0.00,0.00
8996,0.00,0.00
9110,0.00,0.00
9227,0.00,0.00
9341,0.00,0.00
9458,0.00,0.00
9572,0.00,0.00
9689,0.00,0.00
9803,0.00,0.00
9920,0.00,0.00
10034,0.00,0.00
10151,0.00,0.00
10265,0.00,0.00
10382,0.00,0.00
10497,0.00,0.00
10613,0.00,0.00
10728,0.00,0.00
10844,0.00,0.00
10959,0.00,0.00
11086,0.00,0.00
11219,0.00,0.00
11346,0.00,0.00
11480,0.00,0.00
11607,0.00,0.00
11740,0.00,0.00
11870,0.00,0.00
12000,0.00,0.00
12137,0.00,0.00
12271,0.00,0.00
12401,0.00,0.00
12528,0.00,0.00
12661,0.00,0.00
12794,0.00,0.00
12925,0.00,0.00
13052,0.00,0.00
13186,0.00,0.00
13316,0.00,0.00
13438,0.00,0.00
13568,0.00,0.00
13702,0.00,0.00
13832,0.00,0.00
13962,0.00,0.00
14166,0.00,0.00
14448,0.00,0.00
14587,0.00,0.00
14722,0.00,0.00
14850,0.00,0.00
14982,0.00,0.00
15114,0.00,0.00
15246,0.00,0.00
15377,0.00,0.00
15512,0.00,0.00
15641,0.00,0.00
15772,0.00,0.00
15904,0.00,0.00
16035,0.00,0.00
16170,0.00,0.00
16299,0.00,0.00
16430,0.00,0.00
16562,0.00,0.00
16700,0.00,0.00
16835,0.00,0.00
16969,0.00,0.00
17115,0.00,0.00
17247,0.00,0.00
17379,0.00,0.00
17510,0.00,0.00
17645,0.00,0.00
17777,0.00,0.00
17912,0.00,0.00
18047,0.00,0.00
18183,0.00,0.00
18313,0.00,0.00
18448,0.00,0.00
18577,0.00,0.00
18709,0.00,0.00
18840,0.00,0.00
18972,0.00,0.00
19104,0.00,0.00
19235,0.00,0.00
19367,0.00,0.00
19499,0.00,0.00
19627,0.00,0.00
19759,0.00,0.00
19893,0.00,0.00
20025,0.00,0.00
20157,0.00,0.00
20288,0.00,0.00
20420,0.00,0.00
20552,0.00,0.00
20685,0.00,0.00
20822,0.00,0.00
20960,0.00,0.00
21094,0.00,0.00
21226,0.00,0.00
21358,0.00,0.00
21489,0.00,0.00
21635,0.00,0.00
21770,0.00,0.00
21902,0.00,0.00
22036,0.00,0.00
22168,0.00,0.00
22301,0.00,0.00
22431,0.00,0.00
22560,0.00,0.00
22696,0.00,0.00
22826,0.00,0.00
22958,0.00,0.00
23089,0.00,0.00
23225,0.00,0.00
23362,0.00,0.00
23493,0.00,0.00
23624,-3.29,-0.36
23764,0.00,0.00
23914,0.00,0.00
24054,4.71,-3.42
24197,4.44,-3.77
24329,0.00,0.00
24473,0.00,0.00
24608,0.00,0.00
24751,0.00,0.00
24879,0.00,0.00
25033,0.00,0.00
25168,0.00,0.00
25305,0.00,0.00
25441,0.00,0.00
25569,0.00,0.00
25708,0.00,0.00
25845,0.00,0.00
25995,0.00,0.00
26126,0.00,0.00
26259,0.00,0.00
26400,0.00,0.00
26527,0.00,0.00
26663,0.00,0.00
26802,0.00,0.00
26953,0.00,0.00
27089,0.00,0.00
27220,0.00,0.00
27356,0.00,0.00
27493,0.00,0.00
27621,0.00,0.00
27757,0.00,0.00
27898,0.00,0.00
28035,0.00,0.00
28171,0.00,0.00
28307,0.00,0.00
