T,L1,L2,L3
6953,0, 0, 0
7089,124, 102, 108
7208,173, 191, 201
7322,215, 236, 248
7441,235, 260, 273
7555,245, 273, 285
7673,250, 279, 292
7787,253, 281, 296
7906,255, 280, 299
8020,258, 280, 300
8139,259, 282, 301
8253,257, 282, 300
8372,254, 280, 299
8486,253, 281, 299
8604,253, 280, 302
8718,254, 278, 303
8835,256, 276, 303
8949,255, 280, 301
9066,254, 282, 299
9180,252, 283, 298
9297,251, 283, 299
9411,250, 282, 299
9528,251, 283, 299
9642,253, 283, 297
9759,252, 283, 295
9873,251, 285, 296
9990,249, 283, 298
10104,249, 280, 297
10222,251, 277, 299
10337,254, 274, 300
10452,255, 273, 300
10567,254, 273, 297
10684,250, 273, 294
10799,247, 271, 293
10915,246, 269, 294
11030,246, 268, 293
11146,246, 270, 292
11261,245, 273, 290
11377,246, 276, 291
11492,247, 276, 291
11608,246, 276, 290
11734,246, 276, 290
11864,246, 274, 290
11994,245, 272, 289
12120,245, 273, 288
12251,245, 273, 289
12381,246, 270, 291
12511,249, 266, 296
12656,251, 265, 298
12786,249, 267, 295
12919,246, 271, 292
13050,243, 271, 290
13175,244, 274, 289
13306,247, 274, 287
13436,251, 273, 287
13566,257, 277, 285
13697,29, 277, 283
13836,252, 277, 284
13971,248, 272, 289
14100,248, 264, 296
14238,246, 262, 293
14364,242, 264, 288
14494,239, 268, 283
14624,239, 265, 284
14755,240, 261, 292
14885,242, 259, 294
15015,240, 262, 291
15146,238, 269, 283
15276,238, 271, 278
15406,240, 270, 278
15536,240, 267, 281
15676,240, 262, 286
15810,240, 266, 284
15940,238, 270, 281
16097,237, 271, 279
16330,240, 262, 290
16539,239, 257, 293
16738,237, 265, 285
16938,237, 267, 283
17101,239, 262, 287
17219,248, 264, 283
17340,257, 269, 277
17460,261, 274, 272
17599,266, 276, 266
17741,267, 270, 265
17873,260, 257, 260
18001,246, 239, 245
18133,224, 220, 223
18268,200, 202, 202
18400,184, 185, 177
18529,163, 158, 158
18656,136, 128, 137
18788,111, 104, 118
18927,93, 91, 99
19069,76, 82, 77
19200,65, 72, 64
19332,52, 58, 55
19463,41, 45, 48
19598,0, 37, 41
19726,0, 0, 37
19863,0, 5, 33
20003,0, 4, 32
20134,0, 9, 31
20278,0, 0, 29
20421,0, 0, 29
20557,0, 0, 29
20689,0, 0, 29
20825,0, 0, 29
20965,0, 1201, 29
21106,0, 0, 30
21237,0, 0, 29
21374,0, 9, 0
21511,0, 18, 0
21657,0, 24, 0
21789,0, 0, 9
21933,0, 0, 19
22075,0, 0, 25
22226,0, 0, 27
22372,0, 0, 28
22508,0, 0, 28
22642,0, 0, 29
22783,0, 0, 30
22929,0, 0, 29
23065,0, 0, 30
23202,0, 0, 29
23333,0, 0, 29
23469,0, 0, 29
23606,0, 0, 29
23737,0, 0, 28
23881,0, 0, 28
24023,0, 0, 28
24174,0, 0, 29
24310,0, 0, 29
24446,0, 0, 29
24578,0, 0, 28
24714,0, 0, 28
24850,0, 0, 28
24981,0, 0, 28
25121,0, 0, 28
25265,0, 0, 28
25393,0, 0, 27
25539,0, 0, 27
25675,0, 0, 27
25811,0, 0, 26
25955,0, 0, 26
26086,0, 0, 27
26223,0, 0, 28
26356,0, 0, 28
26493,0, 0, 27
26630,0, 0, 27
26780,0, 0, 27
26907,0, 0, 27
27034,0, 0, 27
27175,0, 0, 27
27311,0, 0, 27
27442,0, 0, 27
27588,0, 0, 27
27724,0, 0, 27
27875,0, 0, 26
28011,0, 0, 26
28147,0, 0, 26
28279,0, 0, 26
28415,0, 0, 26
28565,0, 0, 26
28697,0, 0, 26
28842,0, 0, 26
28979,0, 0, 25
29129,0, 0, 25
29265,0, 0, 25
29402,0, 0, 25
29533,0, 0, 25
29669,0, 0, 25
29819,0, 0, 25
29956,0, 0, 25
30087,0, 0, 25
30223,0, 0, 25
30359,0, 0, 25
30490,0, 0, 25
30627,0, 0, 0
30777,0, 0, 9
30907,0, 0, 16
31038,0, 0, 21
31184,0, 0, 22
31320,0, 0, 12
31470,0, 0, 17
31607,0, 0, 9
31741,0, 0, 0
31877,0, 0, 15
32014,0, 0, 9
32150,0, 0, 16
32281,0, 0, 21
32425,0, 0, 22
32561,0, 0, 23
32698,0, 0, 8
