T,pwm1,pwm2,pwm3
7378,2025,1975,2000
7492,2025,1975,2000
7610,2025,1975,2000
7724,2025,1975,2000
7842,2025,1975,2000
7956,2025,1975,2000
8075,2025,1975,2000
8189,2025,1975,2000
8307,2025,1975,2000
8421,2025,1975,2000
8539,2025,1975,2000
8653,2025,1975,2000
8771,2025,1975,2000
8885,2025,1975,2000
9003,2025,1975,2000
9121,2025,1975,2000
9235,2025,1975,2000
9353,2025,1975,2000
9467,2025,1975,2000
9585,2025,1975,2000
9699,2025,1975,2000
9816,2025,1975,2000
9931,2025,1975,2000
10048,2025,1975,2000
10163,2025,1975,2000
10279,2025,1975,2000
10394,2025,1975,2000
10510,2025,1975,2000
10625,2025,1975,2000
10741,2025,1975,2000
10863,2025,1975,2000
10994,2025,1975,2000
11134,2025,1975,2000
11257,2025,1975,2000
11390,2025,1975,2000
11535,2025,1975,2000
11657,2025,1975,2000
11787,2025,1975,2000
11917,2025,1975,2000
12047,2025,1975,2000
12178,2025,1975,2000
12311,2025,1975,2000
12448,2025,1975,2000
12578,2025,1975,2000
12708,2025,1975,2000
12841,2025,1975,2000
12968,2025,1975,2000
13098,2025,1975,2000
13228,2025,1975,2000
13359,2025,1975,2000
13489,2025,1975,2000
13622,2025,1975,2000
13802,2025,1975,2000
13998,2025,1975,2000
14196,2025,1975,2000
14339,1898,1975,2066
14456,1898,1975,2066
14589,1898,1975,2066
14721,1898,1975,2066
14856,1898,1975,2066
14999,1898,1975,2066
15130,1898,1975,2066
15266,1898,1975,2066
15397,1898,1975,2066
15530,1898,1975,2066
15661,1898,1975,2066
15793,1898,1975,2066
15925,1898,1975,2066
16059,1898,1975,2066
16194,1898,1975,2066
16329,1898,1975,2066
16460,1898,1975,2066
16595,1898,1975,2066
16723,1898,1975,2066
16855,1898,1975,2066
16986,1898,1975,2066
17118,1898,1975,2066
17262,2025,1975,2000
17393,2025,1975,2000
17537,1962,1973,2021
17677,1909,1967,2040
17813,1837,1965,2065
17942,1811,1970,2072
18088,1811,1970,2072
18224,1811,1970,2072
18368,1811,1970,2072
18496,1811,1970,2072
18636,1811,1970,2072
18776,1811,1970,2072
18915,1811,1970,2072
19066,1811,1970,2072
19197,1811,1970,2072
19343,1811,1970,2072
19477,1811,1970,2072
19621,1811,1970,2072
19757,1811,1970,2072
19888,1811,1970,2072
20022,1811,1970,2072
20162,1811,1970,2072
20290,1811,1970,2072
20426,1811,1970,2072
20566,1811,1970,2072
20716,1811,1970,2072
20859,1811,1970,2072
20991,1811,1970,2072
21127,1811,1970,2072
21272,1811,1970,2072
21408,1811,1970,2072
21540,1811,1970,2072
21676,1811,1970,2072
21813,1811,1970,2072
21940,1811,1970,2072
22074,1811,1970,2072
22217,1811,1970,2072
22367,1811,1970,2072
22495,1811,1970,2072
22632,1811,1970,2072
22768,1811,1970,2072
22896,1811,1970,2072
23039,1811,1970,2072
23183,1811,1970,2072
23320,1811,1970,2072
23459,1811,1970,2072
23597,1811,1970,2072
23734,1811,1970,2072
23879,1811,1970,2072
24014,1811,1970,2072
24151,1811,1970,2072
