T,pci,rci
6788,0.00,0.00
6902,0.00,0.00
7020,0.00,0.00
7134,0.00,0.00
7253,0.00,0.00
7367,0.00,0.00
7486,0.00,0.00
7604,0.00,0.00
7719,0.00,0.00
7837,0.00,0.00
7952,0.00,0.00
8070,0.00,0.00
8185,0.00,0.00
8303,0.00,0.00
8417,0.00,0.00
8534,0.00,0.00
8648,0.00,0.00
8765,0.00,0.00
8879,0.00,0.00
8996,0.00,0.00
9110,0.00,0.00
9227,0.00,0.00
9341,0.00,0.00
9458,0.00,0.00
9572,0.00,0.00
9689,0.00,0.00
9803,0.00,0.00
9920,0.00,0.00
10034,0.00,0.00
10151,0.00,0.00
10266,0.00,0.00
10382,0.00,0.00
10497,0.00,0.00
10613,0.00,0.00
10728,0.00,0.00
10844,0.00,0.00
10959,0.00,0.00
11082,0.00,0.00
11212,0.00,0.00
11345,0.00,0.00
11479,0.00,0.00
11612,0.00,0.00
11742,0.00,0.00
11879,0.00,0.00
12010,0.00,0.00
12140,0.00,0.00
12273,0.00,0.00
12403,0.00,0.00
12534,0.00,0.00
12745,0.00,0.00
12944,0.00,0.00
13082,0.00,0.00
13205,0.00,0.00
13340,0.00,0.00
13468,0.00,0.00
13603,0.00,0.00
13749,0.00,0.00
13881,0.00,0.00
14012,0.00,0.00
14147,0.00,0.00
14282,0.00,0.00
14414,0.00,0.00
14546,0.00,0.00
14677,0.00,0.00
14809,0.00,0.00
14941,0.00,0.00
15079,0.00,0.00
15214,0.00,0.00
15343,0.00,0.00
15474,0.00,0.00
15616,0.00,0.00
15747,0.00,0.00
15890,0.00,0.00
16021,0.00,0.00
16154,0.00,0.00
16277,0.00,0.00
16408,0.00,0.00
16554,0.00,0.00
16688,0.00,0.00
16820,0.00,0.00
16955,0.00,0.00
17089,0.00,0.00
17221,0.00,0.00
17352,0.00,0.00
17482,0.00,0.00
17625,0.00,0.00
17768,4.15,1.94
17905,5.28,1.50
18037,0.00,0.00
18173,0.00,0.00
18309,0.00,0.00
18446,0.00,0.00
18583,0.00,0.00
18716,0.00,0.00
18860,0.00,0.00
18996,0.00,0.00
19127,0.00,0.00
19263,0.00,0.00
19406,0.00,0.00
19550,0.00,0.00
19674,0.00,0.00
19807,0.00,0.00
19953,0.00,0.00
20084,0.00,0.00
20227,0.00,0.00
20507,0.00,0.00
20643,0.00,0.00
20775,0.00,0.00
20911,0.00,0.00
21047,0.00,0.00
21178,0.00,0.00
21314,0.00,0.00
21445,0.00,0.00
21581,0.00,0.00
21715,0.00,0.00
21868,0.00,0.00
22010,0.00,0.00
22147,0.00,0.00
22277,0.00,0.00
22413,0.00,0.00
22558,0.00,0.00
22689,0.00,0.00
22824,0.00,0.00
