T,pwm1,pwm2,pwm3
6784,2025,1975,2000
6898,2025,1975,200
7016,2025,1975,2000
7130,2025,1975,2000
7249,2025,1975,2000
7363,2025,1975,2000
7482,2025,1975,2000
7596,2025,1975,2000
7715,2025,1975,2000
7829,2025,1975,2000
7948,2025,1975,2000
8066,2025,1975,2000
8181,2025,1975,2000
8298,2025,1975,2000
8413,2025,1975,2000
8530,2025,1975,2000
8644,2025,1975,2000
8761,2025,1975,2000
8875,2025,1975,2000
8992,2025,1975,2000
9106,2025,1975,2000
9223,2025,1975,2000
9337,2025,1975,2000
9454,2025,1975,2000
9568,2025,1975,2000
9685,2025,1975,2000
9799,2025,1975,2000
9916,2025,1975,2000
10030,2025,1975,2000
10147,2025,1975,2000
10262,2025,1975,2000
10378,2025,1975,2000
10493,2025,1975,2000
10609,2025,1975,2000
10724,2025,1975,2000
10840,2025,1975,2000
10955,2025,1975,2000
11078,2025,1975,2000
11208,2025,1975,2000
11341,2025,1975,2000
11475,2025,1975,2000
11608,2025,1975,2000
11738,2025,1975,2000
11868,2025,1975,2000
12005,2025,1975,2000
12136,2025,1975,2000
12269,2025,1975,2000
12399,2025,1975,2000
12530,2025,1975,2000
12734,2025,1975,2000
12940,2025,1975,2000
13074,1948,1975,2040
13201,1948,1975,2040
13332,1948,1975,2040
13464,1948,1975,2040
13599,1948,1975,2040
13745,1948,1975,2040
13877,1948,1975,2040
14009,1948,1975,2040
14143,1948,1975,2040
14278,1948,1975,2040
14410,1948,1975,2040
14541,1948,1975,2040
14673,1948,1975,2040
14805,1948,1975,2040
14937,1948,1975,2040
15068,1948,1975,2040
15211,1948,1975,2040
15339,1948,1975,2040
15470,1948,1975,2040
15612,1948,1975,2040
15743,1948,1975,2040
15881,1948,1975,2040
16013,1948,1975,2040
16141,1948,1975,2040
16273,1948,1975,2040
16404,1948,1975,2040
16539,1948,1975,2040
16685,1948,1975,2040
16816,1948,1975,2040
16951,1948,1975,2040
17085,1948,1975,2040
17217,1948,1975,2040
17348,1948,1975,2040
17478,2025,1975,2000
17620,2025,1975,2000
17760,2008,1966,2008
17901,1937,1924,2046
18025,1906,1899,2064
18169,1906,1899,2064
18305,1906,1899,2064
18441,1906,1899,2064
18579,1906,1899,2064
18712,1906,1899,2064
18851,1906,1899,2064
18979,1906,1899,2064
19124,1906,1899,2064
19259,1906,1899,2064
19402,1906,1899,2064
19533,1906,1899,2064
19669,1906,1899,2064
19803,1906,1899,2064
19950,1906,1899,2064
20080,1906,1899,2064
20223,1906,1899,2064
20359,1906,1899,2064
20490,1906,1899,2064
20626,1906,1899,2064
20763,1906,1899,2064
20907,1906,1899,2064
21038,1906,1899,2064
21174,1906,1899,2064
21310,1906,1899,2064
21441,1906,1899,2064
21577,1906,1899,2064
21711,1906,1899,2064
21853,1906,1899,2064
22006,1906,1899,2064
22134,1906,1899,2064
22273,1906,1899,2064
22409,1906,1899,2064
22540,1906,1899,2064
22677,1906,1899,2064
22821,1906,1899,2064
