T,L1,L2,L3
7745,0, 0, 0
7881,288, 288, 227
7999,410, 408, 431
8113,467, 452, 474
8231,498, 493, 510
8345,508, 513, 529
8463,518, 521, 540
8577,525, 524, 549
8695,529, 528, 554
8809,530, 530, 556
8927,530, 528, 557
9041,531, 527, 557
9159,529, 529, 560
9273,529, 531, 563
9391,526, 532, 565
9505,523, 533, 563
9623,523, 538, 563
9737,521, 538, 561
9855,522, 537, 561
9969,523, 536, 560
10087,524, 535, 558
10202,526, 533, 557
10321,525, 534, 557
10436,526, 531, 557
10552,534, 527, 554
10667,537, 525, 553
10783,537, 523, 554
10898,535, 523, 556
11014,532, 526, 557
11129,532, 524, 555
11245,534, 521, 554
11360,538, 519, 550
11476,538, 519, 549
11591,539, 520, 551
11707,533, 524, 553
11832,530, 524, 553
11972,534, 523, 554
12103,539, 522, 554
12233,548, 529, 564
12363,566, 544, 585
12494,581, 564, 606
12624,588, 571, 614
12754,591, 577, 613
12885,597, 578, 612
13011,603, 577, 612
13141,601, 579, 609
13272,592, 583, 610
13402,585, 588, 611
13532,587, 589, 620
13662,587, 589, 624
13793,589, 586, 624
13923,589, 586, 626
14053,585, 587, 624
14183,584, 587, 625
14314,585, 586, 624
14444,584, 588, 624
14574,586, 584, 620
14704,589, 582, 619
14848,592, 583, 617
14978,592, 579, 617
15108,591, 581, 615
15239,591, 581, 616
15369,592, 580, 613
15499,590, 580, 612
15630,589, 584, 613
15760,589, 584, 612
15891,590, 580, 612
16021,592, 579, 613
16147,594, 575, 617
16277,593, 577, 616
16411,589, 575, 613
16541,588, 575, 610
16672,586, 573, 609
16802,586, 572, 607
16932,589, 573, 608
17077,587, 574, 606
17203,588, 573, 607
17333,584, 573, 607
17463,585, 572, 606
17594,587, 573, 608
17724,587, 574, 610
17855,587, 574, 610
17985,584, 572, 612
18115,585, 572, 612
18246,587, 570, 612
18376,585, 569, 613
18506,585, 569, 614
18637,584, 565, 611
18767,587, 564, 607
18897,589, 565, 604
19028,588, 565, 601
19158,583, 562, 602
19289,580, 562, 600
19419,581, 567, 598
19545,577, 567, 595
19680,575, 568, 597
19806,577, 567, 600
19936,578, 563, 601
20066,579, 561, 601
20211,577, 561, 600
20337,574, 560, 600
20467,573, 559, 600
20598,570, 556, 602
20731,569, 553, 599
20861,568, 554, 598
20991,562, 558, 592
21122,559, 561, 591
21261,558, 559, 594
21396,559, 555, 595
21522,558, 556, 592
21655,555, 556, 590
21809,554, 555, 590
22016,556, 552, 595
22219,559, 547, 599
22441,558, 552, 595
22645,557, 553, 588
22812,557, 552, 588
22930,561, 554, 585
23051,565, 563, 579
23167,569, 568, 575
23292,570, 570, 573
23423,571, 572, 570
23555,571, 575, 570
23687,570, 576, 573
23818,571, 576, 572
23950,570, 577, 570
24082,574, 574, 566
24214,578, 570, 564
24346,576, 571, 561
24477,569, 574, 563
24609,566, 578, 564
24741,565, 575, 564
24873,570, 569, 560
25005,572, 566, 561
25137,568, 563, 559
25268,568, 563, 559
25410,569, 561, 556
25542,566, 555, 551
25674,561, 547, 546
25805,546, 536, 541
25940,532, 525, 521
26075,518, 505, 505
26207,497, 479, 488
26339,479, 462, 463
26470,462, 446, 444
26616,436, 424, 422
26758,420, 408, 404
26890,397, 388, 384
27021,380, 362, 364
27163,361, 345, 338
27295,343, 333, 322
27427,321, 317, 306
27558,300, 281, 285
27690,281, 255, 259
27822,262, 234, 239
27954,242, 222, 223
28092,227, 216, 205
28231,211, 205, 193
28358,203, 190, 180
28487,190, 173, 167
28618,178, 160, 150
28750,164, 147, 140
28882,147, 136, 129
29014,136, 122, 116
29146,125, 108, 103
29278,106, 90, 89
29409,89, 64, 69
29541,71, 49, 53
29683,54, 40, 42
29810,45, 35, 32
29939,0, 0, 30
30090,0, 0, 28
30226,0, 0, 27
30380,0, 0, 27
30516,0, 0, 26
30648,0, 0, 26
30784,0, 0, 5
30920,0, 0, 16
31057,0, 0, 21
31188,0, 4, 23
31338,0, 0, 25
31474,0, 0, 27
31614,0, 0, 27
31745,0, 0, 28
31881,0, 0, 27
32020,0, 0, 29
32156,4, 0, 28
32302,0, 0, 28
32438,0, 0, 27
32577,0, 0, 26
32707,0, 0, 26
32835,0, 0, 26
32971,0, 0, 26
33122,0, 8, 27
33258,0, 0, 27
33389,0, 0, 0
33525,0, 0, 4
33671,0, 0, 0
33802,0, 8, 0
33943,0, 11, 8
34088,0, 18, 5
34225,0, 0, 0
34361,0, 0, 0
34492,0, 0, 12
34633,0, 0, 20
34758,0, 0, 23
34900,0, 0, 26
35046,0, 0, 26
35182,0, 0, 27
35318,0, 0, 27
35450,0, 0, 27
35590,0, 0, 28
35728,0, 0, 28
35872,0, 0, 29
36012,0, 0, 28
36154,0, 0, 27
36299,0, 0, 28
36436,0, 0, 27
36576,0, 0, 26
36703,0, 0, 26
36844,0, 0, 5
36980,0, 0, 5
37113,0, 0, 0
37248,0, 0, 0
37390,0, 0, 5
37526,0, 0, 0
37662,0, 0, 4
37797,0, 0, 0
37937,0, 0, 8
38073,0, 0, 16
38209,0, 0, 12
38340,0, 0, 19
38477,0, 0, 22
38627,0, 0, 24
38766,0, 0, 26
38897,0, 0, 27
39043,0, 0, 27
39179,0, 0, 28
39323,4, 0, 28
39451,0, 0, 28
39600,0, 0, 28
39750,0, 0, 27
39896,0, 0, 27
40046,0, 0, 27
40192,0, 0, 27
40328,0, 0, 27
40464,0, 0, 26
40596,0, 0, 26
40736,0, 0, 26
