T,a1,a2,a3
6619,3399, 3199, 2636
6747,2800, 2898, 2843
6865,2862, 2864, 2774
6979,2826, 2859, 2902
7098,2835, 2825, 2832
7212,2812, 2906, 2837
7330,2806, 2821, 2806
7444,2856, 2878, 2850
7562,2798, 2825, 2865
7676,2828, 3109, 2817
7795,2825, 2982, 2821
7909,2871, 2942, 2853
8027,2901, 2880, 2899
8141,2903, 2913, 2854
8260,2911, 2892, 2829
8374,2922, 2654, 2848
8493,2920, 2768, 2831
8608,2914, 2743, 2857
8724,2910, 2815, 2790
8839,2919, 2908, 2871
8955,2902, 2800, 2901
9070,2880, 2797, 2887
9186,2924, 2829, 2811
9301,2913, 2803, 2833
9417,2903, 2865, 2875
9532,2861, 2783, 2839
9648,2887, 2736, 2898
9763,2881, 2882, 2660
9879,2925, 2867, 2871
9994,2905, 2917, 2803
10110,2875, 2885, 2863
10237,2877, 2938, 2829
10367,2859, 2800, 2866
10497,2864, 3021, 2753
10631,2907, 2811, 2867
10761,2893, 2765, 2556
10891,2918, 2721, 2897
11017,2924, 2733, 2911
11147,2944, 2846, 2912
11281,2865, 2859, 3016
11411,2785, 2809, 2791
11541,2898, 2882, 2831
11671,2864, 2789, 2863
11804,3417, 2738, 2848
11935,2896, 2870, 2891
12065,2899, 2901, 2859
12195,2871, 2880, 2839
12325,2890, 2857, 2834
12459,2894, 2859, 2837
12595,2908, 2826, 2922
12725,2850, 2875, 2667
12859,2928, 2835, 2896
12995,2895, 2819, 2842
13162,2895, 2869, 2830
13360,2914, 2825, 2897
13588,3009, 2867, 2795
13838,2896, 2763, 2845
14012,2889, 2830, 2815
14240,2905, 2896, 2869
14385,2907, 2880, 2827
14508,2830, 2758, 2996
14640,2933, 2624, 2961
14771,2914, 2535, 3070
14903,2878, 2496, 2992
15035,2925, 2335, 3059
15166,2887, 2331, 3120
15298,2903, 2337, 3086
15432,2890, 2383, 3043
15564,2905, 2322, 3015
15696,2963, 2384, 3119
15827,2935, 2401, 3105
15959,2923, 2450, 3060
16090,2956, 2366, 2990
16222,2944, 2414, 3056
16360,2929, 2262, 3040
16488,2889, 2326, 3071
16620,2951, 2335, 3143
16752,2923, 2308, 3088
16883,2912, 2366, 3061
17015,2906, 2395, 3091
17146,2928, 2350, 3094
17278,2931, 2427, 3056
17409,2892, 2451, 3056
17547,3226, 2391, 3002
17682,2874, 2317, 3071
17813,2908, 2427, 3062
17945,2899, 2422, 3004
18077,2786, 2393, 3027
18209,2908, 2310, 3122
18354,2933, 2294, 3031
18486,2882, 2399, 3041
18617,2903, 2417, 3014
18749,2876, 2336, 3067
18880,2907, 2406, 3008
19012,2891, 2365, 3099
19144,2875, 2358, 2992
19275,2932, 2366, 3034
19407,2923, 2384, 3039
19539,2933, 2359, 3125
19670,2913, 2384, 3069
19806,2905, 2329, 3107
19937,2891, 2302, 3124
20068,2891, 2513, 3007
20206,2868, 2273, 3364
20338,2883, 2370, 3098
20470,2928, 2399, 3023
20601,2927, 2352, 3134
20736,2944, 2429, 3047
20864,2947, 2352, 2960
21005,2918, 2317, 3061
21137,2880, 2160, 3031
21268,2895, 2368, 3109
21400,2880, 2391, 3056
21531,2864, 2311, 3071
21665,2844, 2501, 3107
21796,2857, 2355, 3168
21932,2849, 2375, 3001
22069,2819, 2397, 2889
22200,2827, 2543, 2827
22344,2843, 2672, 2819
22480,2794, 2533, 2890
22617,2764, 2559, 2923
22748,2775, 2458, 2942
22884,2746, 2358, 2891
23020,2768, 2314, 2944
23151,2854, 2319, 2882
23287,2869, 2297, 2896
23423,2757, 2386, 2896
23554,2773, 2224, 2902
23699,2781, 2279, 2995
23841,2778, 2359, 2995
23977,2742, 2409, 2918
24116,2803, 2484, 2873
24258,2691, 2352, 2880
24397,2781, 2382, 2869
24539,2752, 2351, 2991
24675,2772, 2320, 2941
24820,2793, 2365, 2885
24971,2819, 2439, 2939
25105,2758, 2416, 2850
25252,2768, 2395, 3035
25398,2790, 2371, 2995
25534,2768, 2384, 2937
25677,2816, 2336, 2941
25801,2755, 2587, 2897
25941,2792, 2303, 2912
26087,2810, 2378, 2927
26226,2731, 2270, 2958
26377,2750, 2422, 2669
26519,2730, 2771, 2885
