T,state
10255,3
12150,1
12158,1
12168,1
12177,1
12189,1
12231,1
12241,1
12251,1
12265,1
12274,1
12284,1
12298,1
12307,1
12318,1
12362,1
12371,1
12381,1
12395,1
12404,1
12414,1
12428,1
12438,1
12447,1
12492,1
12501,1
12511,1
12525,1
12535,1
12544,1
12558,1
12568,1
12579,1
12618,1
12632,1
12641,1
12655,1
12665,1
12675,1
12689,1
12698,1
12709,1
12748,1
12762,1
12772,1
12781,1
12795,1
12805,1
12814,1
12828,1
12839,1
12878,1
12892,1
12902,1
12911,1
12925,1
12935,1
12945,1
12959,1
12969,1
13008,1
13022,1
13032,1
13042,1
13056,1
13065,1
13075,1
13089,1
13099,1
13135,1
13153,1
13162,1
13172,1
13186,1
13195,1
13205,1
13219,1
13229,1
13239,1
13283,1
13293,1
13302,1
13316,1
13326,1
13335,1
13349,1
13359,1
13370,1
13409,1
13423,1
13432,1
13442,1
13456,1
13466,1
13475,1
13489,1
13500,1
13539,1
13553,1
13563,1
13572,1
13586,1
13596,1
13605,1
13619,1
13630,1
13669,1
13683,1
13693,1
13702,1
13716,1
13726,1
13736,1
13750,1
13760,1
13799,1
13813,1
13823,1
13833,1
13847,1
13856,1
13866,1
13880,1
13890,1
13930,1
13944,1
13953,1
13953,1
13966,1
13980,1
13990,1
13999,1
14013,1
14024,1
14063,1
14077,1
14087,1
14096,1
14110,1
14120,1
14129,1
14143,1
14154,1
14193,1
14207,1
14217,1
14227,1
14241,1
14250,1
14250,1
14263,1
14277,1
14287,1
14327,1
14341,1
14350,1
14360,1
14374,1
14383,1
14393,1
14407,1
14418,1
14457,1
14471,1
14480,1
14490,1
14504,1
14514,1
14523,1
14537,1
14548,1
14587,1
14597,1
14611,1
14620,1
14630,1
14644,1
14653,1
14663,1
14678,1
14717,1
14727,1
14741,1
14751,1
14760,1
14774,1
14784,1
14793,1
14808,1
14848,1
14857,1
14871,1
14881,1
14890,1
14904,1
14914,1
14924,1
14939,1
14978,1
14987,1
15001,1
15011,1
15021,1
15035,1
15044,1
15054,1
15069,1
15108,1
15118,1
15132,1
15141,1
15141,1
15154,1
15168,1
15178,1
15187,1
15202,1
15241,1
15251,1
15265,1
15275,1
15284,1
15298,1
15308,1
15318,1
15333,1
15372,1
15381,1
15395,1
15405,1
15415,1
15429,1
15438,1
15438,1
15451,1
15466,1
15505,1
15515,1
15529,1
15538,1
15548,1
15562,1
15571,1
15581,1
15596,1
15635,1
15635,1
15648,1
15662,1
15672,1
15681,1
15695,1
15705,1
15714,1
15752,1
15769,1
15778,1
15792,1
15802,1
15812,1
15825,1
15835,1
15845,1
15860,1
15899,1
15908,1
15922,1
15932,1
15942,1
15956,1
15965,1
15975,1
15990,1
16029,1
16039,1
16048,1
16062,1
16072,1
16082,1
16096,1
16105,1
16116,1
16159,1
16169,1
16179,1
16193,1
16202,1
16212,1
16226,1
16236,1
16245,1
16266,1
16299,1
16309,1
16323,1
16333,1
16342,1
16356,1
16366,1
16375,1
16390,1
16430,1
16439,1
16453,1
16463,1
16473,1
16487,1
16496,1
16506,1
16521,1
16560,1
16570,1
16584,1
16593,1
16603,1
16617,1
16626,1
16626,1
16639,1
16654,1
16693,1
16703,1
16717,1
16727,1
16736,1
16750,1
16760,1
16769,1
16785,1
16824,1
16824,1
16836,1
16850,1
16860,1
16869,1
16883,1
16893,1
16903,1
16947,1
16957,1
16957,1
16958,1
16973,1
16987,1
16996,1
17006,1
17020,1
17030,1
17050,1
17084,1
17093,1
17103,1
17117,1
17127,1
17136,1
17150,1
17160,1
17171,1
17214,1
17224,1
17233,1
17247,1
17257,1
17267,1
17281,1
17290,1
17301,1
17345,1
17354,1
17364,1
17378,1
17387,1
17397,1
17411,1
17421,1
17431,1
17475,1
17485,1
17494,1
17508,1
17518,1
17527,1
17541,1
17551,1
17562,1
17605,1
17615,1
17625,1
17638,1
17648,1
17658,1
17672,1
17681,1
17692,1
17731,1
17745,1
17755,1
17764,1
17778,1
17788,1
17798,1
17811,1
17822,1
17861,1
17875,1
17885,1
17894,1
17908,1
17918,1
17928,1
17942,1
17952,1
17991,1
18005,1
18015,1
18025,1
18039,1
18048,1
18048,1
18061,1
18075,1
18086,1
18125,1
18139,1
18148,1
18158,1
18172,1
18182,1
18191,1
18205,1
18216,1
18255,1
18269,1
18279,1
18288,1
18302,1
18312,1
18321,1
18335,1
18346,1
18385,1
18399,1
18409,1
18418,1
18432,1
18442,1
18452,1
18466,1
18477,1
18515,1
18529,1
18539,1
18549,1
18563,1
18572,1
18582,1
18596,1
18606,1
18646,1
18655,1
18669,1
18679,1
18688,1
18702,1
18712,1
18722,1
18737,1
18776,1
18785,1
18799,1
18809,1
18819,1
18832,1
18842,1
18852,1
18867,1
18906,1
18915,1
18929,1
18939,1
18949,1
18963,1
18972,1
18982,1
18997,1
19036,1
19046,1
19060,1
19069,1
19079,1
19093,1
19103,1
19112,1
19127,1
19166,1
19176,1
19190,1
19200,1
19209,1
19223,1
19233,1
19242,1
19257,1
19296,1
19306,1
19316,1
19330,1
19339,1
19349,1
19363,1
19373,1
19384,1
19427,1
19436,1
19446,1
19460,1
19469,1
19469,1
19486,1
