T,a1,a2,a3
36548,2810, 2589, 2973
36682,2771, 2635, 3009
36814,2780, 2607, 2955
36945,2770, 2559, 2911
37077,2825, 2530, 2949
37208,2834, 2559, 3024
37340,2800, 2559, 3018
37471,2795, 2513, 2998
37603,2801, 2559, 3055
37740,2790, 2559, 2982
37872,2761, 2647, 2928
38004,2822, 2477, 2960
38135,2815, 2518, 3079
38267,2804, 2528, 3024
38398,2797, 2588, 2906
38533,2816, 2502, 3025
38667,2823, 2466, 3058
38799,2786, 2678, 2986
38930,2829, 2533, 2990
39062,2799, 2590, 3012
39193,2816, 2491, 3008
39321,2817, 2648, 2992
39453,2770, 2510, 2947
39584,2787, 2608, 3019
39716,2787, 2668, 2960
39848,2858, 2581, 3109
39979,2810, 2463, 2945
40111,2835, 2555, 3057
40242,2780, 2542, 2935
40374,2778, 2530, 3024
40508,2815, 2587, 3030
40640,2775, 2554, 2986
40771,2791, 2559, 2734
40903,2791, 2587, 2960
41034,2767, 2509, 2976
41166,2778, 2544, 3041
41297,2830, 2589, 3005
41432,2789, 2649, 2983
41564,2762, 2626, 3003
41695,2794, 2650, 2927
41829,2905, 2465, 3058
41961,2827, 2499, 3096
42092,2790, 2411, 3053
42224,2815, 2598, 3029
42355,2788, 2610, 3030
42487,2802, 2523, 2935
42610,2807, 2670, 3009
42749,2775, 2535, 2989
42873,2832, 2499, 2998
43004,2802, 2505, 2979
43192,2769, 2608, 2970
43380,2835, 2466, 2978
43642,2849, 2604, 3170
43802,2793, 2606, 3013
43925,2799, 2601, 3056
44057,2832, 2581, 2934
44188,2815, 2655, 3043
44320,2814, 2763, 2976
44454,2858, 2590, 2933
44586,2785, 2537, 2992
44717,2839, 2704, 3089
44849,2813, 2559, 3017
44986,2832, 2543, 2911
45117,2864, 2690, 2924
45249,2815, 2645, 3011
45388,2853, 2605, 3027
45523,2869, 2648, 3014
45654,2825, 2627, 2918
45788,2878, 2612, 3040
45926,2803, 2645, 3070
46057,2815, 2587, 2971
46188,2823, 2747, 2928
46326,2928, 2639, 2992
46460,3022, 2682, 3192
46594,3100, 2864, 3344
46733,3259, 3023, 3258
46881,3441, 3807, 3287
47011,3359, 3191, 3519
47140,3602, 3271, 3685
47284,3599, 3307, 3520
47418,3573, 3526, 3423
47566,3756, 3521, 3418
47702,3647, 3583, 3459
47835,3936, 3536, 3503
47969,3614, 3510, 3665
48098,3679, 3415, 3583
48232,3583, 3439, 3600
48366,3633, 3682, 3645
48495,3632, 3519, 3694
48629,3663, 3657, 3782
48766,3603, 3459, 3543
48902,3706, 3475, 3215
49036,3610, 3747, 3734
49170,3610, 3504, 3559
49299,3638, 3728, 3615
49436,3761, 3615, 3647
49570,3558, 3452, 3503
49699,3726, 3556, 3651
49836,3655, 3691, 3623
49977,3575, 3425, 3574
50116,3633, 3726, 3471
50250,3631, 3611, 3504
50379,3631, 3606, 3618
50510,3643, 3495, 3507
50644,3583, 3313, 3711
50778,3575, 3549, 3641
50907,3567, 3638, 3606
51041,3671, 3524, 3575
51185,3749, 3583, 3663
51317,3697, 4095, 3775
51464,3696, 3455, 3766
51598,3779, 3519, 3647
51730,3682, 3472, 3522
51865,3701, 3547, 3519
51995,3657, 3488, 3583
52127,3601, 3507, 3565
52261,3696, 3551, 3659
52392,3583, 3536, 3427
52521,3758, 3577, 3381
52650,3719, 3455, 3674
52772,3742, 3383, 3599
52904,3709, 3399, 3839
53049,3759, 3665, 3645
53183,3615, 3602, 3519
53312,3727, 3659, 3699
53444,3654, 3535, 3602
53566,3677, 3583, 3603
53695,3600, 3515, 3551
