T,L1,L2,L3
7548,0, 0, 0
7684,331, 332, 251
7803,498, 502, 516
7917,584, 572, 585
8036,626, 631, 645
8150,650, 661, 675
8269,665, 678, 684
8383,670, 682, 694
8502,672, 683, 696
8616,678, 683, 700
8735,676, 683, 703
8849,673, 683, 705
8967,671, 681, 703
9081,667, 678, 702
9199,670, 679, 699
9313,669, 680, 700
9430,671, 678, 696
9544,671, 675, 695
9661,670, 674, 699
9775,667, 672, 696
9892,667, 671, 696
10006,663, 670, 697
10124,664, 669, 695
10239,665, 666, 694
10355,662, 665, 694
10470,666, 666, 693
10586,662, 664, 691
10701,659, 666, 691
10817,658, 669, 690
10932,658, 670, 690
11053,658, 667, 691
11183,660, 661, 695
11313,660, 659, 694
11444,658, 660, 693
11574,659, 662, 694
11704,659, 662, 692
11834,658, 661, 691
11961,658, 662, 693
12115,658, 665, 689
12377,660, 665, 683
12616,657, 660, 690
12823,656, 660, 689
12958,651, 658, 681
13096,649, 656, 675
13228,652, 659, 668
13360,654, 658, 663
13491,654, 658, 655
13623,653, 660, 656
13755,649, 655, 657
13887,646, 655, 654
14018,642, 649, 650
14150,642, 647, 649
14282,643, 652, 647
14414,642, 653, 648
14545,645, 652, 652
14677,645, 657, 653
14809,644, 657, 652
14941,644, 656, 652
15072,644, 656, 651
15204,646, 658, 652
15336,643, 658, 651
15468,641, 656, 651
15599,642, 655, 650
15731,638, 658, 649
15863,636, 660, 646
15995,635, 651, 643
16126,627, 630, 636
16261,617, 623, 623
16393,606, 617, 612
16525,587, 609, 596
16656,572, 592, 572
16788,559, 584, 554
16920,548, 581, 543
17052,535, 567, 522
17183,520, 548, 509
17315,509, 550, 499
17447,506, 557, 492
17579,500, 555, 486
17714,478, 508, 471
17845,455, 467, 448
17980,432, 440, 431
18112,406, 419, 410
18245,392, 402, 389
18385,381, 386, 365
18517,366, 378, 351
18648,358, 377, 345
18780,351, 384, 338
18912,351, 385, 333
19044,352, 381, 331
19176,349, 377, 329
19317,335, 353, 323
19449,320, 329, 316
19588,311, 324, 307
19719,309, 326, 297
19851,309, 326, 290
19983,304, 328, 287
20115,300, 327, 286
20246,298, 319, 284
20378,298, 313, 282
20510,292, 298, 276
20642,282, 277, 268
20769,270, 267, 262
20901,262, 259, 252
21033,250, 239, 240
21172,235, 217, 225
21303,215, 200, 208
21435,203, 194, 196
21567,195, 187, 181
21699,186, 174, 168
21830,170, 159, 156
21962,158, 147, 145
22097,148, 140, 135
22226,138, 129, 124
22353,129, 118, 115
22485,119, 113, 107
22617,115, 107, 100
22756,110, 103, 92
22887,106, 102, 87
23019,102, 104, 84
23151,99, 99, 78
23282,100, 99, 74
23418,104, 99, 70
23545,104, 99, 69
23672,99, 100, 72
23804,88, 93, 71
23940,69, 66, 66
24067,59, 52, 58
24198,52, 48, 47
24333,44, 41, 41
24464,37, 0, 35
24600,0, 0, 9
24734,0, 0, 17
24869,0, 0, 22
24997,0, 0, 23
25132,0, 0, 24
25261,0, 0, 9
25407,0, 0, 18
25541,0, 0, 22
25675,0, 0, 23
25807,0, 0, 9
25935,0, 0, 17
26069,0, 0, 9
26198,0, 0, 4
26335,0, 0, 0
26469,0, 0, 5
26601,0, 0, 17
26741,0, 0, 24
26880,0, 0, 25
27009,0, 0, 27
27143,0, 0, 28
27266,0, 0, 29
27395,0, 0, 27
27529,0, 0, 26
27664,0, 0, 27
27796,5, 0, 5
27940,0, 0, 19
28074,0, 0, 10
28209,0, 0, 20
28344,0, 0, 24
28478,0, 0, 26
28610,0, 0, 26
28750,0, 0, 26
28881,0, 0, 26
29010,0, 0, 26
29158,0, 0, 28
29289,0, 0, 26
29421,0, 0, 26
29555,0, 5, 26
29686,0, 0, 26
29815,0, 0, 27
29938,0, 0, 27
30072,0, 0, 26
30204,0, 0, 25
30332,0, 0, 25
30466,0, 0, 25
30609,0, 0, 13
30743,0, 0, 21
30880,0, 0, 5
31009,0, 0, 14
31143,0, 0, 5
31274,0, 0, 14
31409,0, 0, 21
31543,0, 0, 22
31677,0, 0, 0
31806,0, 0, 5
31940,0, 0, 16
32074,0, 0, 21
32206,0, 0, 24
32340,0, 0, 25
32478,0, 4, 9
32630,0, 8, 20
32764,0, 0, 25
32898,0, 0, 26
33027,0, 0, 26
33161,0, 0, 26
33295,0, 0, 4
33424,0, 0, 16
33558,0, 0, 22
33686,0, 0, 24
33815,0, 0, 27
33955,0, 0, 28
34089,0, 0, 28
34221,0, 0, 28
34355,0, 0, 27
34490,0, 0, 26
34619,0, 0, 0
34753,0, 0, 12
34887,0, 0, 9
35019,0, 0, 18
35153,0, 0, 23
35280,0, 0, 25
35416,0, 0, 26
35550,0, 0, 26
35684,0, 0, 26
35813,0, 0, 26
35944,0, 0, 26
36074,0, 0, 26
36202,0, 0, 0
36330,0, 0, 12
36463,0, 0, 18
36617,0, 0, 21
36753,0, 0, 0
36883,0, 0, 14
37024,12, 0, 25
37155,28, 22, 43
37286,52, 47, 81
37427,107, 84, 113
37558,152, 150, 159
37690,209, 249, 209
37837,349, 352, 320
37980,448, 457, 456
38123,534, 543, 512
38271,542, 561, 536
38408,497, 565, 503
38551,471, 531, 477
38697,453, 497, 470
