T,yaw,pitch,roll
6673,-0.14, 0.03, -0.01
6799,-0.17, 0.04, -0.01
6918,-0.20, 0.04, -0.01
7032,-0.22, 0.03, -0.02
7150,-0.26, 0.03, -0.03
7264,-0.29, 0.02, -0.04
7383,-0.32, 0.02, -0.04
7497,-0.37, 0.03, -0.04
7616,-0.40, 0.03, -0.04
7730,-0.43, 0.03, -0.04
7850,-0.47, 0.02, -0.04
7963,-0.49, 0.01, -0.04
8082,-0.52, 0.01, -0.04
8200,-0.55, 0.02, -0.02
8314,-0.57, 0.03, -0.01
8431,-0.60, 0.03, -0.01
8545,-0.63, 0.03, -0.02
8662,-0.66, 0.02, -0.02
8776,-0.68, 0.02, -0.03
8893,-0.71, 0.02, -0.03
9008,-0.75, 0.03, -0.02
9124,-0.77, 0.03, -0.03
9238,-0.79, 0.03, -0.04
9355,-0.83, 0.01, -0.05
9469,-0.86, 0.01, -0.05
9586,-0.88, 0.01, -0.05
9700,-0.92, 0.02, -0.04
9817,-0.95, 0.02, -0.03
9931,-0.98, 0.03, -0.02
10049,-1.02, 0.03, -0.03
10164,-1.04, 0.02, -0.03
10280,-1.07, 0.02, -0.03
10403,-1.11, 0.02, -0.02
10533,-1.14, 0.03, -0.02
10663,-1.18, 0.03, -0.02
10837,-1.22, 0.02, -0.04
11103,-1.30, 0.01, -0.04
11319,-1.35, 0.02, -0.03
11593,-1.44, 0.02, -0.04
11822,-1.49, 0.02, -0.03
12034,-1.55, 0.03, -0.02
12181,-1.59, 0.03, -0.02
12302,-1.63, 0.03, -0.03
12418,-1.66, 0.03, -0.03
12539,-1.69, 0.02, -0.02
12657,-1.73, 0.02, -0.02
12773,-1.76, 0.02, -0.02
12894,-1.80, 0.03, -0.03
13024,-1.83, 0.03, -0.04
13156,-1.87, 0.03, -0.04
13288,-1.90, 0.02, -0.03
13420,-1.94, 0.03, -0.02
13551,-1.99, 0.04, -0.02
13675,-2.01, 0.05, -0.03
13807,-2.05, 0.06, -0.04
13946,-2.08, 0.07, -0.04
14070,-2.12, 0.07, -0.03
14202,-2.15, 0.07, -0.03
14334,-2.18, 0.07, -0.03
14465,-2.21, 0.07, -0.04
14597,-2.24, 0.06, -0.04
14740,-2.26, 0.05, -0.04
14874,-2.29, 0.01, -0.02
15006,-2.32, -0.01, -0.01
15140,-2.34, 0.00, -0.01
15273,-2.37, 0.02, -0.05
15413,-2.41, -0.00, -0.16
15551,-2.44, -0.00, -0.15
15687,-2.45, -0.02, -0.16
15828,-2.47, -0.04, -0.18
15968,-2.49, -0.08, -0.20
16097,-2.51, -0.13, -0.23
16243,2.52, -0.16, -0.25
16380,-2.51, -0.17, -0.27
16531,-2.52, -0.20, -0.32
16672,-2.55, -0.25, -0.40
