T,state
12829,3
14686,3
14728,3
14817,3
14930,3
15004,3
15137,3
15199,3
15253,3
15371,3
15385,3
15399,3
15409,3
15419,3
15433,3
15443,3
15484,3
15498,3
15508,3
15517,3
15531,3
15541,3
15550,3
15564,3
15575,3
15616,3
15630,3
15639,3
15649,3
15663,3
15673,3
15682,3
15696,3
15707,3
15747,3
15761,3
15771,3
15781,3
15795,3
15804,3
15814,3
15828,3
15839,3
15879,3
15893,3
15903,3
15913,3
15927,3
15936,3
15946,3
15960,3
15970,3
16011,3
16025,3
16035,3
16044,3
16058,3
16068,3
16078,3
16092,3
16102,3
16143,3
16157,3
16167,3
16176,3
16190,3
16200,3
16209,3
16223,3
16234,3
16268,3
16289,3
16298,3
16308,3
16322,3
16332,3
16341,3
16355,3
16365,3
16377,3
16421,3
16430,3
16440,3
16454,3
16464,3
16473,3
16487,3
16497,3
16509,3
16552,3
16562,3
16572,3
16586,3
16595,3
16605,3
16619,3
16629,3
16641,3
16684,3
16694,3
16704,3
16718,3
16727,3
16737,3
16751,3
16760,3
16773,3
16816,3
16826,3
16835,3
16849,3
16859,3
16869,3
16883,3
16892,3
16905,3
16948,3
16958,3
16967,3
16981,3
16991,3
17001,3
17015,3
17024,3
17036,3
17080,3
17090,3
17099,3
17113,3
17123,3
17132,3
17146,3
17156,3
17168,3
17212,3
17221,3
17231,3
17245,3
17255,3
17264,3
17278,3
17288,3
17300,3
17344,3
17353,3
17363,3
17377,3
17386,3
17396,3
17410,3
17420,3
17432,3
17475,3
17485,3
17495,3
17509,3
17518,3
17528,3
17542,3
17552,3
17564,3
17607,3
17617,3
17626,3
17640,3
17650,3
17660,3
17674,3
17683,3
17695,3
17739,3
17749,3
17758,3
17772,3
17782,3
17791,3
17805,3
17815,3
17827,3
17871,3
17880,3
17890,3
17904,3
17914,3
17923,3
17937,3
17947,3
17959,3
18002,3
18012,3
18022,3
18036,3
18045,3
18045,3
18058,3
18072,3
18082,3
18108,3
18137,3
18147,3
18156,3
18170,3
18180,3
18190,3
18204,3
18213,3
18224,3
18269,3
18278,3
18288,3
18302,3
18312,3
18321,3
18335,3
18345,3
18357,3
18400,3
18410,3
18420,3
18434,3
18443,3
18453,3
18467,3
18476,3
18489,3
18532,3
18542,3
18551,3
18565,3
18575,3
18584,3
18598,3
18608,3
18620,3
18664,3
18673,3
18683,3
18697,3
18706,3
18716,3
18730,3
18740,3
18752,3
18795,3
18805,3
18814,3
18828,3
18838,3
18848,3
18862,3
18871,3
18883,3
18927,3
18936,3
18936,3
18949,3
18963,3
18973,3
18982,3
18996,3
19006,3
19018,3
19061,3
19071,3
19081,3
19095,3
19104,3
19115,4
19133,4
19144,4
19193,4
19202,4
19212,4
19231,4
19241,4
19250,4
19264,4
19274,4
19324,4
19339,4
19348,4
19362,4
19372,4
19391,4
19400,4
19413,4
19457,4
19470,4
19489,4
19499,4
19508,4
19522,4
19537,4
19546,4
19561,4
19596,4
19621,4
19635,4
19645,4
19659,4
19668,4
19687,4
19697,4
19709,4
19757,4
19767,4
19786,4
19795,4
19805,4
19819,4
19833,4
19844,4
19894,4
19903,4
19917,4
19932,4
19941,4
19955,4
19965,4
19974,4
20025,4
20040,4
20054,4
20063,4
20073,4
20092,4
20101,4
20116,4
20151,4
20171,4
20190,4
20200,4
20213,4
20223,4
20238,4
20252,4
20262,4
20296,4
20321,4
20336,4
20350,4
20360,4
20369,4
20388,4
20398,4
20413,4
20458,4
20468,4
20487,4
20497,4
20510,4
20520,4
20535,4
20550,4
20595,4
20609,4
20618,4
20633,4
20647,4
20656,4
20666,4
20686,4
20731,4
20745,4
20755,4
20764,4
20783,4
20793,4
20807,4
20817,4
20862,4
20881,4
20891,4
20900,4
20914,4
20924,4
20943,4
20953,4
20999,4
21013,4
21022,4
21041,4
21051,4
21060,4
21074,4
21090,4
21139,4
21149,4
21149,4
21150,4
21165,4
21184,4
21193,4
21207,4
21217,4
21244,4
21282,4
21291,4
21305,4
21315,4
21324,4
21343,4
21353,4
21362,4
21413,4
21422,4
21441,4
21451,4
21461,4
21475,4
21489,4
21504,4
21520,4
21559,4
21573,4
21587,4
21601,4
21611,4
21620,4
21639,4
21650,4
21693,4
21709,4
21719,4
21738,4
21747,4
21757,4
21770,4
21785,4
21800,4
21845,4
21855,4
21869,4
21883,4
21897,4
21907,4
21916,4
21936,4
21982,4
21996,4
22005,4
22005,4
22018,4
22037,4
22046,4
22056,4
22071,4
22116,4
22135,4
22145,4
22154,4
22168,4
22183,4
22197,4
22207,4
22246,4
22266,4
22266,4
22284,4
22298,4
22307,4
22317,4
22336,4
22345,4
22360,4
22406,4
22415,4
22434,4
22444,4
22458,4
22467,4
22482,4
22497,4
22542,4
22556,4
22565,4
22575,4
22594,4
22604,4
22613,4
22633,4
22673,4
22692,4
22702,4
22711,4
22725,4
22740,4
22754,4
22764,4
22810,4
22824,4
22838,4
22848,4
22862,4
22871,4
22890,4
22901,4
22939,4
22960,4
22969,4
22988,4
22998,4
23008,4
23021,4
23036,4
23047,4
23096,4
23106,4
23120,4
23134,4
23144,4
23158,4
23167,4
23187,4
23233,4
23242,4
23256,4
23265,4
23265,4
23287,4
23297,4
23307,4
23321,4
23352,4
23386,4
23395,4
23405,4
23419,4
23433,4
23447,4
23457,4
23467,4
23517,4
23532,4
23546,4
23555,4
23565,4
23579,4
23593,4
2364,4
23653,4
23663,4
23672,4
23691,4
23701,4
23715,4
23724,4
23744,4
