T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
6947,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7089,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7208,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7322,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7440,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7554,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7672,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7786,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7904,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8018,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8136,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8250,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8368,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8482,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8600,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8714,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8832,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8946,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9064,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9178,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9296,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9410,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9528,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9642,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9759,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9873,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9990,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10104,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10222,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10337,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10452,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10567,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10684,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10816,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10953,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11086,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11216,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11346,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11476,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11607,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11738,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11874,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12007,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12143,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12273,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12404,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12537,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12674,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12807,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12940,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13070,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13201,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13331,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13464,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13591,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13724,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13855,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
13985,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14115,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14245,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14375,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14507,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14642,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14777,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
14906,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
15036,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
