T,L1,L2,L3
6611,0, 0, 0
6747,345, 246, 265
6865,475, 460, 482
6979,591, 574, 595
7098,654, 630, 627
7212,686, 658, 419
7330,703, 673, 542
7444,709, 678, 636
7562,712, 683, 687
7676,713, 686, 713
7795,717, 685, 722
7909,715, 687, 735
8027,709, 686, 743
8141,708, 686, 744
8260,706, 689, 742
8374,706, 689, 744
8493,713, 687, 746
8607,715, 692, 750
8724,713, 688, 752
8838,712, 688, 751
8955,713, 690, 749
9069,714, 690, 748
9186,717, 686, 748
9300,719, 687, 750
9417,716, 689, 751
9531,719, 693, 750
9648,713, 691, 745
9762,717, 692, 738
9879,717, 693, 736
9993,718, 694, 739
10110,719, 690, 745
10233,718, 687, 750
10359,721, 683, 750
10489,717, 684, 752
10622,719, 685, 748
10752,715, 687, 750
10883,717, 687, 748
11013,719, 687, 748
11143,720, 690, 740
11276,717, 690, 741
11407,713, 688, 742
11537,716, 686, 748
11667,717, 687, 750
11800,720, 688, 750
11931,721, 687, 746
12061,721, 688, 748
12191,720, 687, 744
12321,720, 683, 746
12451,719, 686, 742
12591,720, 687, 739
12721,721, 687, 733
12851,722, 685, 742
12991,722, 686, 747
13131,725, 684, 751
13354,722, 687, 743
13558,719, 685, 743
13821,722, 683, 745
14008,717, 687, 747
14212,718, 686, 741
14382,720, 681, 744
14504,724, 687, 743
14636,721, 692, 744
14767,718, 698, 739
14899,717, 704, 732
15030,715, 711, 733
15162,715, 715, 732
15294,720, 719, 731
15428,716, 721, 735
15560,715, 720, 735
15691,717, 719, 733
15823,723, 716, 734
15955,721, 709, 727
16086,710, 696, 715
16218,689, 687, 703
16352,674, 673, 679
16484,662, 660, 668
16616,646, 648, 657
16747,638, 631, 645
16879,625, 617, 628
17011,613, 607, 617
17142,597, 594, 602
17274,586, 575, 587
17405,574, 562, 572
17543,562, 548, 558
17678,543, 533, 545
17809,530, 520, 525
17941,509, 503, 506
18073,487, 481, 483
18204,470, 460, 463
18346,450, 442, 450
18477,436, 429, 431
18609,423, 417, 416
18740,409, 403, 400
18872,395, 390, 389
19004,384, 373, 375
19135,369, 359, 362
19267,355, 343, 344
19398,331, 320, 324
19530,313, 301, 294
19662,294, 282, 277
19793,272, 265, 263
19925,260, 252, 251
20057,248, 237, 235
20202,238, 228, 224
20334,225, 219, 214
20465,213, 205, 202
20597,197, 190, 188
20732,176, 167, 165
20860,146, 144, 141
21001,133, 126, 120
21133,122, 114, 108
21264,102, 93, 94
21396,82, 72, 70
21527,60, 51, 51
21661,42, 38, 39
21793,0, 0, 34
21929,0, 0, 29
22065,0, 0, 28
22196,0, 0, 28
22336,0, 0, 28
22477,0, 0, 28
22604,0, 0, 27
22744,0, 0, 26
22880,0, 0, 26
23017,0, 0, 26
23148,0, 0, 26
23284,0, 0, 26
23420,0, 0, 26
23551,0, 0, 26
23687,0, 0, 27
23837,0, 0, 27
23973,0, 0, 28
24104,0, 0, 29
24250,0, 0, 28
24393,0, 0, 29
24536,0, 0, 29
24672,0, 0, 30
24803,0, 0, 31
24956,0, 0, 31
25098,0, 0, 30
25244,0, 0, 29
25394,0, 5, 5
25530,0, 0, 20
25666,0, 0, 24
25797,0, 0, 25
25933,0, 0, 25
26083,0, 0, 25
26219,0, 0, 26
26365,0, 0, 14
26515,0, 0, 22
