T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
6655,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
6797,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
6916,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7030,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7148,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7262,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7381,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7495,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7614,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7728,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7847,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7961,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8080,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8194,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8312,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8426,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8543,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8657,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8774,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8888,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9005,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9119,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9236,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9350,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9467,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9581,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9698,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9812,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9929,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10043,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10161,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10276,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10392,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10522,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10653,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10787,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
10986,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
11265,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
11499,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
11750,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
11957,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
12177,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
12298,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
12414,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
12535,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
12651,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
12769,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
12890,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
13006,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
13136,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
13268,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
13399,98, -169, 475,	96, 166, 534,	-192, 0, 546,	8.12, -9.94
