T,yaw,pitch,roll
7757,0.02, 0.00, 0.01
7883,0.02, 0.01, 0.01
8001,0.02, 0.02, 0.01
8115,0.03, 0.01, 0.00
8233,0.03, 0.01, 0.01
8347,0.03, 0.01, 0.01
8465,0.03, 0.01, 0.01
8579,0.04, 0.02, 0.01
8697,0.04, 0.02, 0.01
8811,0.04, 0.01, 0.01
8930,0.04, 0.01, 0.01
9044,0.04, 0.01, 0.01
9162,0.04, 0.01, 0.01
9275,0.04, 0.01, 0.01
9394,0.05, 0.01, 0.01
9507,0.05, 0.02, 0.01
9625,0.05, 0.02, 0.00
9739,0.05, 0.02, 0.00
9857,0.06, 0.02, 0.00
9971,0.06, 0.02, 0.01
10090,0.06, 0.02, 0.01
10209,0.07, 0.02, 0.01
10324,0.07, 0.02, 0.00
10440,0.07, 0.02, 0.00
10555,0.07, 0.03, 0.00
10671,0.08, 0.03, 0.00
10786,0.08, 0.03, 0.00
10902,0.08, 0.03, -0.00
11017,0.08, 0.03, -0.00
11132,0.08, 0.03, 0.00
11258,0.08, 0.03, 0.00
11388,0.08, 0.03, 0.00
11518,0.07, 0.03, -0.00
11649,0.08, 0.03, -0.01
11782,0.08, 0.03, -0.00
11919,0.08, 0.04, 0.00
12052,0.09, 0.03, -0.00
12196,0.09, 0.03, -0.00
12327,0.08, 0.03, -0.00
12449,0.07, 0.03, -0.01
12579,0.08, 0.04, -0.01
12709,0.08, 0.04, -0.01
12840,0.09, 0.04, 0.00
12970,0.09, 0.04, 0.01
13100,0.09, 0.04, 0.01
13230,0.09, 0.04, -0.00
13360,0.09, 0.04, -0.01
13490,0.09, 0.04, -0.01
13621,0.09, 0.04, 0.00
13751,0.09, 0.04, 0.00
13881,0.10, 0.04, 0.00
14011,0.10, 0.03, -0.00
14141,0.10, 0.03, -0.00
14271,0.10, 0.03, 0.00
14405,0.11, 0.03, 0.00
14527,0.10, 0.03, -0.00
14657,0.09, 0.02, 0.00
14788,0.10, 0.03, -0.00
14918,0.10, 0.03, -0.00
15048,0.11, 0.02, 0.00
15178,0.11, 0.02, 0.02
15308,0.11, 0.02, 0.01
15438,0.11, 0.02, 0.00
15568,0.12, 0.01, -0.00
15699,0.12, 0.01, 0.00
15829,0.13, 0.02, 0.01
15959,0.13, 0.02, 0.01
16089,0.13, 0.02, 0.00
16219,0.13, 0.01, 0.00
16353,0.13, 0.02, 0.00
16482,0.13, 0.02, -0.00
16616,0.13, 0.02, -0.01
16738,0.14, 0.02, -0.00
16876,0.14, 0.02, 0.00
16999,0.14, 0.02, 0.01
17129,0.14, 0.01, 0.00
17259,0.14, 0.01, 0.00
17392,0.14, 0.02, 0.00
17522,0.14, 0.02, 0.01
17652,0.15, 0.01, 0.01
17782,0.14, 0.01, 0.00
17922,0.14, 0.02, 0.00
18052,0.15, 0.02, 0.00
18182,0.15, 0.01, 0.00
18313,0.15, 0.01, 0.00
18446,0.15, 0.01, 0.01
18582,0.15, 0.01, 0.01
18713,0.15, 0.01, 0.00
18846,0.15, 0.01, 0.00
18982,0.15, 0.01, 0.01
19113,0.15, 0.01, 0.02
19246,0.15, 0.01, 0.01
19373,0.15, 0.01, 0.00
19503,0.16, 0.00, 0.01
19633,0.16, 0.01, 0.02
19763,0.16, 0.01, 0.01
19893,0.16, 0.01, 0.00
20023,0.16, 0.01, 0.00
20155,0.16, 0.01, 0.01
20290,0.17, 0.02, 0.01
20417,0.17, 0.01, 0.00
20547,0.17, 0.01, 0.00
20677,0.17, 0.01, 0.01
20807,0.17, 0.01, 0.00
20940,0.17, 0.01, -0.00
21073,0.18, 0.01, -0.00
21204,0.18, 0.01, 0.00
21334,0.18, 0.02, 0.01
21467,0.18, 0.01, 0.00
21600,0.18, 0.01, -0.00
21731,0.18, 0.01, 0.00
21853,0.19, 0.01, 0.00
21983,0.19, 0.01, 0.00
22113,0.19, 0.01, 0.00
22246,0.19, 0.01, 0.00
22376,0.19, 0.01, 0.01
22507,0.19, 0.01, 0.01
22637,0.19, -0.00, 0.01
22767,0.19, -0.00, 0.01
22900,0.18, 0.01, 0.00
23030,0.19, 0.00, 0.01
23160,0.20, 0.00, 0.01
23300,0.20, 0.01, 0.01
23430,0.20, 0.01, 0.01
23560,0.20, 0.01, 0.01
23690,0.21, 0.01, 0.01
23824,0.20, 0.01, 0.01
23954,0.20, 0.01, 0.01
24084,0.20, 0.00, 0.01
24214,0.20, 0.01, 0.00
24344,0.20, 0.01, 0.01
24474,0.21, 0.01, 0.01
24604,0.21, 0.01, 0.01
24734,0.21, 0.00, 0.01
24864,0.21, 0.00, 0.01
24998,0.21, 0.00, 0.01
25120,0.21, 0.01, 0.01
25250,0.21, 0.01, 0.01
25381,0.21, 0.00, 0.01
25514,0.21, 0.01, 0.00
25658,0.21, 0.00, 0.00
25781,0.20, 0.00, 0.01
25918,0.21, 0.01, 0.01
26041,0.21, 0.01, 0.00
26171,0.21, 0.02, 0.00
26301,0.22, 0.02, 0.00
26434,0.22, 0.02, 0.00
26564,0.22, 0.02, 0.00
26694,0.22, 0.02, 0.00
26825,0.22, 0.01, 0.00
26958,0.22, 0.01, 0.00
27097,0.22, 0.01, 0.00
27228,0.22, 0.01, 0.00
27358,0.23, 0.02, 0.00
27488,0.23, 0.02, 0.00
27618,0.23, 0.02, 0.01
27751,0.23, 0.02, 0.01
27881,0.23, 0.02, 0.00
28011,0.23, 0.02, 0.00
28151,0.23, 0.02, 0.01
28281,0.23, 0.02, 0.00
28411,0.23, 0.02, -0.00
28542,0.23, 0.02, 0.00
28675,0.23, 0.02, 0.01
28811,0.23, 0.02, 0.00
28942,0.24, 0.02, -0.00
29075,0.24, 0.02, 0.00
29245,0.24, 0.03, 0.00
29453,0.24, 0.02, -0.00
29662,0.24, 0.02, 0.00
29885,0.24, 0.03, 0.00
30104,0.24, 0.03, -0.00
30315,0.24, 0.03, 0.01
30446,0.25, 0.03, 0.01
30578,0.26, 0.03, 0.01
30709,0.26, 0.02, 0.00
30841,0.26, 0.02, 0.01
30975,0.26, 0.02, 0.02
31107,0.25, 0.02, 0.01
31238,0.26, 0.03, -0.00
31370,0.26, 0.03, -0.00
31502,0.27, 0.02, 0.02
31633,0.28, 0.02, 0.02
31765,0.29, 0.02, 0.01
31899,0.29, 0.03, -0.00
32031,0.29, 0.02, 0.00
32162,0.29, 0.01, 0.01
32294,0.30, 0.02, 0.01
32425,0.30, 0.03, -0.00
32557,0.30, 0.01, -0.00
32688,0.30, -0.00, 0.02
32823,0.31, 0.00, 0.02
32955,0.32, 0.02, -0.00
33086,0.32, 0.02, -0.01
33215,0.32, 0.02, 0.00
33346,0.32, 0.03, -0.00
33482,0.33, 0.06, -0.03
33613,0.34, 0.05, -0.04
33744,0.34, 0.03, -0.01
33882,0.34, 0.03, -0.01
34014,0.35, 0.03, -0.02
34145,0.36, 0.04, -0.03
34277,0.36, 0.05, -0.03
34412,0.37, 0.05, -0.02
34540,0.37, 0.05, -0.03
34672,0.37, 0.05, -0.03
34803,0.37, 0.06, -0.04
34935,0.37, 0.06, -0.03
35067,0.37, 0.05, -0.03
35198,0.36, 0.06, -0.04
35330,0.37, 0.06, -0.04
35461,0.37, 0.06, -0.03
35596,0.37, 0.06, -0.03
35732,0.38, 0.06, -0.04
35859,0.38, 0.05, -0.05
35991,0.38, 0.04, -0.03
36122,0.38, 0.04, -0.03
36254,0.37, 0.04, -0.02
36385,0.38, 0.03, -0.02
36520,0.38, 0.04, -0.02
36652,0.38, 0.05, -0.02
36783,0.39, 0.07, -0.03
36914,0.40, 0.07, -0.03
37046,0.41, 0.07, -0.04
37182,0.41, 0.08, -0.03
37316,0.41, 0.07, -0.01
37462,0.41, 0.03, 0.00
37613,0.40, 0.02, 0.01
37750,0.40, 0.02, 0.02
37890,0.41, 0.00, 0.03
38032,0.42, -0.02, 0.03
38169,0.42, -0.04, 0.02
38303,0.43, -0.07, 0.02
38432,0.44, -0.09, 0.01
38566,0.45, -0.10, 0.02
38700,0.45, -0.11, 0.02
38832,0.45, -0.11, 0.02
38959,0.45, -0.11, 0.02
39093,0.46, -0.11, 0.02
39222,0.46, -0.11, 0.02
39356,0.46, -0.11, 0.02
39493,0.46, -0.11, 0.02
39628,0.46, -0.11, 0.02
39762,0.46, -0.11, 0.02
39899,0.47, -0.11, 0.02
40037,0.47, -0.11, 0.01
40179,0.47, -0.11, 0.01
40312,0.47, -0.11, 0.01
40441,0.47, -0.11, 0.01
40564,0.47, -0.10, 0.01
40706,0.47, -0.10, 0.01
40826,0.48, -0.10, 0.01
40960,0.48, -0.10, 0.01
41102,0.48, -0.10, 0.01
41234,0.48, -0.10, 0.01
41368,0.48, -0.10, 0.01
41501,0.48, -0.10, 0.01
41633,0.48, -0.10, 0.01
41764,0.48, -0.10, 0.01
41898,0.49, -0.10, 0.01
42031,0.49, -0.10, 0.01
42163,0.49, -0.10, 0.01
42297,0.49, -0.10, 0.01
42426,0.49, -0.10, 0.01
42560,0.49, -0.10, 0.01
42694,0.49, -0.10, 0.01
42822,0.50, -0.10, 0.01
42956,0.50, -0.10, 0.01
43090,0.50, -0.10, 0.01
43228,0.50, -0.10, 0.01
43362,0.50, -0.10, 0.01
43499,0.50, -0.10, 0.01
43628,0.50, -0.10, 0.01
43762,0.51, -0.10, 0.01
43893,0.51, -0.10, 0.01
44041,0.51, -0.10, 0.01
44175,0.51, -0.10, 0.01
44309,0.51, -0.10, 0.01
44437,0.51, -0.10, 0.01
44571,0.51, -0.10, 0.01
44705,0.52, -0.10, 0.01
44834,0.52, -0.10, 0.01
44968,0.52, -0.10, 0.01
45102,0.52, -0.10, 0.01
45230,0.52, -0.10, 0.01
45364,0.52, -0.10, 0.01
45498,0.52, -0.10, 0.01
45630,0.53, -0.10, 0.01
45767,0.53, -0.10, 0.01
45901,0.53, -0.10, 0.01
46039,0.53, -0.10, 0.01
46169,0.53, -0.10, 0.01
46303,0.53, -0.10, 0.01
46446,0.53, -0.10, 0.01
46583,0.53, -0.10, 0.01
46717,0.54, -0.10, 0.01
