T,L1,L2,L3
7943,0, 0, 0
8079,287, 217, 212
8197,396, 402, 396
8311,490, 495, 487
8430,543, 542, 537
8544,570, 564, 559
8663,580, 577, 571
8777,582, 584, 578
8895,583, 588, 579
9009,584, 589, 578
9128,584, 590, 575
9242,584, 592, 576
9361,581, 591, 575
9475,577, 589, 577
9593,578, 588, 578
9707,578, 586, 579
9825,581, 583, 576
9939,585, 581, 576
10056,587, 581, 575
10171,581, 582, 580
10287,577, 582, 581
10402,573, 583, 579
10519,576, 584, 580
10634,580, 586, 579
10750,584, 588, 576
10865,581, 588, 577
10981,586, 589, 573
11096,589, 587, 576
11212,587, 585, 572
11327,587, 585, 576
11442,585, 585, 576
11557,584, 587, 572
11674,586, 586, 573
11796,585, 584, 573
11933,584, 583, 571
12063,584, 580, 571
12194,586, 580, 568
12322,588, 581, 570
12447,589, 584, 570
12578,584, 582, 571
12724,583, 580, 570
12856,583, 578, 572
12988,584, 579, 571
13119,585, 580, 568
13264,583, 582, 569
13396,581, 581, 573
13527,580, 578, 573
13659,582, 577, 569
13791,583, 578, 569
13926,582, 579, 570
14057,580, 577, 569
14199,580, 575, 570
14331,578, 574, 568
14462,578, 574, 567
14594,575, 577, 565
14726,573, 574, 567
14858,572, 572, 565
14989,570, 572, 567
15121,572, 573, 564
15253,571, 576, 562
15385,569, 575, 561
15513,566, 574, 562
15656,566, 570, 562
15783,565, 566, 557
15915,563, 564, 555
16047,559, 564, 552
16178,551, 562, 548
16310,549, 558, 542
16442,545, 556, 538
16574,542, 551, 537
16705,538, 546, 533
16837,535, 543, 528
16969,529, 540, 526
17101,525, 532, 525
17233,524, 526, 517
17367,522, 524, 515
17503,518, 524, 513
17635,517, 525, 510
17767,515, 521, 507
17894,513, 518, 505
18026,506, 513, 501
18158,500, 508, 495
18290,493, 505, 490
18422,484, 499, 485
18553,478, 487, 473
18685,463, 471, 456
18820,442, 447, 433
18948,418, 423, 409
19076,387, 402, 386
19215,366, 372, 357
19346,347, 351, 334
19478,321, 323, 316
19610,304, 307, 295
19742,290, 297, 286
19874,276, 287, 278
20005,266, 272, 264
20137,253, 257, 249
20272,237, 241, 235
20400,223, 228, 224
20543,207, 215, 214
20674,198, 206, 208
20806,188, 192, 197
20941,180, 184, 192
21069,173, 179, 190
21194,170, 177, 189
21325,167, 175, 187
21457,163, 171, 183
21592,156, 165, 178
21734,149, 157, 171
21862,142, 149, 164
21991,132, 140, 160
22118,125, 134, 151
22250,121, 128, 146
22382,117, 123, 142
22514,111, 118, 136
22646,102, 109, 125
22777,91, 99, 115
22909,76, 88, 103
2303,65, 72, 89
23175,50, 61, 74
23301,0, 52, 67
23433,0, 43, 58
23569,0, 0, 50
23710,0, 0, 50
23849,0, 0, 45
23987,0, 0, 43
24133,0, 0, 42
24278,0, 0, 38
24422,0, 0, 34
24576,0, 0, 32
24712,0, 8, 30
24851,0, 17, 30
24989,0, 22, 31
25130,0, 24, 31
25266,0, 26, 32
25403,0, 26, 32
25534,0, 26, 32
25670,0, 25, 32
25807,0, 25, 33
25938,0, 25, 34
26074,0, 0, 34
26224,0, 0, 34
26361,0, 11, 34
26507,0, 18, 35
26638,4, 8, 35
26774,0, 5, 35
26915,0, 5, 33
27046,0, 4, 32
27197,0, 16, 33
27350,0, 21, 33
27488,0, 0, 33
