T,L1,L2,L3
6755,0, 0, 0
6891,164, 171, 131
7010,247, 258, 270
7124,291, 304, 306
7243,313, 323, 336
7357,324, 339, 350
7476,330, 344, 359
7590,328, 344, 365
7709,328, 344, 370
7823,327, 344, 370
7942,329, 347, 370
8056,329, 345, 369
8175,329, 346, 370
8289,328, 344, 370
8406,326, 343, 370
8520,324, 344, 368
8637,323, 348, 366
8751,326, 352, 363
8868,330, 353, 361
8982,331, 353, 361
9099,329, 354, 364
9213,329, 354, 367
9330,327, 352, 367
9444,325, 351, 366
9561,325, 350, 366
9675,325, 349, 366
9792,325, 346, 367
9906,323, 345, 368
10023,323, 343, 369
10138,323, 344, 369
10254,324, 345, 369
10369,324, 347, 365
10491,322, 348, 365
10625,320, 350, 365
10755,320, 350, 368
10889,321, 351, 368
11019,321, 353, 364
11149,320, 351, 361
11280,320, 351, 361
11410,319, 350, 365
11541,318, 348, 367
11671,319, 345, 368
11801,322, 345, 367
11935,322, 346, 366
12065,321, 346, 366
12199,319, 346, 366
12329,317, 348, 367
12462,316, 348, 364
12593,316, 347, 360
12749,316, 350, 360
1306,315, 347, 363
13240,317, 346, 361
13481,313, 342, 358
13623,314, 341, 356
13755,319, 338, 352
13887,325, 337, 351
14019,330, 336, 349
14154,328, 334, 343
14285,321, 327, 335
14424,311, 319, 326
14555,297, 303, 311
14687,270, 281, 288
14836,244, 247, 251
14968,222, 226, 229
15097,204, 212, 217
15224,199, 198, 207
15361,198, 189, 200
15488,196, 184, 196
15620,192, 176, 188
15752,187, 171, 180
15888,185, 170, 178
16016,186, 167, 175
16148,189, 164, 174
16284,187, 163, 172
16412,184, 164, 169
16544,181, 165, 170
16676,182, 164, 170
16808,186, 163, 169
16939,192, 162, 168
17076,198, 162, 168
17203,202, 161, 166
17335,203, 162, 166
17472,206, 160, 166
17599,210, 156, 169
17731,213, 153, 171
17863,215, 155, 170
17999,213, 157, 168
18127,210, 160, 167
18259,205, 161, 169
18395,205, 160, 167
18523,204, 160, 168
18655,204, 160, 170
18786,205, 161, 169
18918,204, 162, 169
19050,205, 160, 168
19187,206, 156, 169
19314,210, 155, 169
19446,212, 156, 168
19585,211, 157, 166
19720,211, 159, 167
19849,213, 158, 168
19990,214, 157, 170
20122,214, 156, 168
20257,213, 159, 165
20392,208, 161, 166
20524,206, 161, 168
20656,206, 161, 168
20788,205, 161, 166
20920,204, 161, 165
21052,204, 162, 166
21184,204, 160, 167
21316,204, 158, 168
21448,208, 156, 170
21580,211, 155, 171
21712,214, 155, 170
21844,214, 156, 167
21976,212, 157, 166
22108,211, 158, 166
22241,209, 158, 166
22381,206, 158, 163
22513,203, 159, 165
22645,203, 157, 166
22777,203, 158, 166
22909,201, 159, 166
23041,201, 158, 163
23173,202, 157, 162
23305,203, 157, 162
23437,204, 156, 161
23569,205, 153, 162
23701,206, 152, 163
23832,207, 152, 163
23964,209, 152, 162
24096,209, 154, 160
24228,206, 154, 161
24360,204, 155, 161
24492,197, 155, 162
24624,192, 157, 164
24756,188, 157, 163
24891,185, 157, 164
25030,186, 156, 166
25165,187, 155, 165
25307,188, 156, 164
25439,189, 155, 163
25574,190, 153, 164
25706,190, 152, 165
25838,189, 151, 165
25970,180, 153, 163
26102,168, 153, 165
26233,153, 154, 167
26365,145, 158, 172
26507,146, 170, 187
26639,172, 200, 210
26771,201, 227, 250
26903,230, 256, 280
27035,250, 277, 298
27166,259, 287, 308
27298,266, 291, 311
27430,267, 291, 307
27562,259, 288, 302
27694,248, 286, 302
27826,245, 284, 303
27958,245, 282, 300
28090,249, 277, 300
28222,252, 277, 298
28354,248, 280, 297
28485,244, 278, 299
28617,246, 279, 299
28749,249, 278, 297
28881,250, 275, 299
29013,250, 275, 297
29148,247, 278, 297
29287,245, 278, 298
29422,246, 278, 295
29564,249, 276, 298
29708,251, 275, 298
29936,247, 280, 297
30134,245, 282, 296
30333,251, 277, 295
30533,250, 278, 295
30730,245, 276, 297
30959,248, 276, 295
31079,252, 275, 296
31200,257, 279, 294
31317,261, 282, 289
31438,265, 284, 285
31555,272, 286, 282
31673,281, 287, 280
31794,288, 285, 279
31911,289, 283, 278
32032,280, 279, 269
32149,261, 263, 256
32267,240, 239, 234
32404,200, 210, 200
32536,166, 163, 162
32668,135, 132, 120
32800,107, 106, 97
32932,77, 81, 73
33064,62, 66, 60
33195,53, 53, 51
33332,39, 0, 41
33483,0, 12, 36
33617,0, 0, 32
33751,0, 0, 30
33888,0, 0, 30
34034,0, 0, 29
34175,0, 0, 29
34306,0, 15, 32
34452,0, 5, 32
34589,0, 16, 30
34739,0, 0, 30
34876,0, 0, 30
35012,0, 4, 30
35143,0, 0, 30
35280,0, 0, 29
35416,0, 0, 29
35558,0, 0, 28
35704,0, 0, 28
35840,0, 0, 27
35977,0, 11, 27
36108,4, 5, 27
36249,0, 0, 27
36390,0, 0, 30
36531,0, 0, 30
36682,0, 5, 29
36818,0, 9, 29
36951,0, 0, 28
37096,0, 5, 27
37232,0, 0, 29
37373,0, 0, 29
