T,L1,L2,L3
7151,0, 0, 0
7287,314, 233, 11
7405,431, 435, 20
7519,535, 536, 1201
7637,590, 589, 939
7751,618, 617, 811
7869,629, 630, 743
7983,635, 635, 717
8101,639, 637, 689
8215,645, 637, 684
8333,644, 637, 677
8447,643, 635, 676
8565,644, 635, 673
8679,640, 635, 671
8797,642, 637, 671
8911,639, 638, 672
9029,640, 640, 673
9143,641, 642, 673
9261,637, 645, 672
9375,637, 650, 673
9493,636, 648, 672
9607,636, 646, 671
9725,639, 639, 670
9839,639, 638, 673
9957,642, 635, 676
10071,641, 635, 681
10189,643, 633, 678
10304,640, 634, 679
10420,639, 635, 680
10535,642, 635, 681
10650,640, 639, 681
10765,641, 643, 679
10882,641, 640, 682
10997,641, 637, 685
11113,645, 635, 683
11228,643, 635, 682
11349,643, 637, 679
11479,640, 639, 680
11609,641, 641, 675
11739,643, 641, 676
11870,641, 642, 679
12000,641, 644, 679
12130,640, 649, 682
12260,635, 649, 675
12390,638, 649, 675
12520,637, 647, 677
12646,635, 648, 676
12777,634, 646, 677
12910,634, 647, 677
13040,638, 645, 673
13170,641, 646, 670
13300,639, 647, 669
13431,637, 655, 668
13561,638, 652, 671
13691,638, 654, 672
13821,638, 652, 672
13952,640, 649, 672
14085,641, 645, 674
14215,638, 646, 675
14345,639, 648, 674
14475,640, 646, 674
14615,640, 645, 674
14745,639, 647, 672
14882,638, 647, 674
15012,636, 651, 672
15142,636, 647, 671
15273,638, 650, 669
15403,639, 652, 667
15533,640, 652, 667
15663,641, 653, 671
15794,640, 654, 671
15924,636, 655, 668
16054,638, 652, 668
16180,638, 654, 670
16310,637, 654, 668
16440,637, 659, 668
16570,639, 658, 668
16701,636, 658, 669
16831,637, 657, 667
16961,635, 654, 666
17091,631, 656, 667
17221,633, 655, 667
17352,636, 654, 670
17482,635, 653, 669
17612,636, 653, 667
17742,639, 653, 668
17872,639, 650, 670
18012,640, 647, 670
18142,637, 651, 670
18273,633, 656, 668
18403,635, 657, 669
18533,635, 654, 667
18663,635, 656, 667
18793,634, 656, 667
18924,633, 653, 667
19049,632, 653, 668
19180,632, 651, 667
19310,635, 649, 667
19440,633, 649, 665
19576,633, 651, 666
19706,633, 653, 666
19837,633, 650, 667
19967,634, 649, 667
20097,633, 651, 666
20227,635, 649, 667
20357,636, 649, 666
20487,637, 650, 664
20618,634, 654, 665
20748,634, 652, 663
20878,635, 649, 664
21008,636, 649, 663
21148,637, 650, 670
21278,636, 647, 670
21408,635, 650, 670
21538,635, 647, 670
21669,637, 648, 670
21799,636, 647, 669
21929,637, 645, 666
22059,636, 644, 669
22185,635, 645, 668
22323,635, 643, 668
22448,635, 642, 667
22579,636, 643, 668
22709,635, 643, 669
22839,636, 644, 670
22969,637, 645, 667
23100,634, 648, 669
23230,636, 651, 670
23360,637, 648, 669
23493,635, 644, 669
23623,634, 646, 666
23757,635, 647, 666
23887,637, 645, 669
24017,636, 648, 671
24147,635, 649, 670
24277,634, 650, 671
24407,636, 648, 668
24537,635, 649, 668
24664,634, 646, 665
24790,632, 646, 668
24920,635, 648, 669
25050,636, 648, 668
25180,633, 646, 670
25310,636, 652, 669
25444,635, 651, 668
25574,635, 649, 669
25704,639, 648, 669
25834,636, 652, 667
25964,634, 653, 664
26094,633, 653, 665
26224,634, 646, 665
26354,635, 645, 664
26485,637, 645, 665
26615,636, 649, 667
26745,634, 649, 668
26871,634, 649, 664
27001,633, 650, 664
27131,635, 648, 665
27261,634, 646, 664
27391,634, 649, 663
27521,635, 647, 664
27651,632, 646, 665
27781,633, 643, 665
27912,634, 640, 666
28042,630, 640, 664
28172,632, 644, 661
28302,633, 643, 664
28432,632, 642, 665
28562,632, 644, 668
28702,633, 642, 665
28832,633, 645, 665
28962,633, 645, 664
29092,629, 646, 665
29223,631, 645, 666
29353,630, 643, 666
29486,631, 643, 667
29616,633, 645, 667
29742,632, 644, 665
29872,632, 647, 663
30002,631, 645, 664
30132,633, 647, 667
30262,630, 649, 666
30392,629, 648, 665
30566,630, 640, 664
30787,632, 641, 672
30943,632, 638, 672
31059,633, 639, 672
31178,635, 640, 670
31299,641, 637, 666
31415,644, 640, 667
31536,649, 640, 669
31652,649, 641, 668
31780,647, 644, 666
31912,648, 642, 663
32043,649, 641, 663
32175,649, 638, 662
32307,648, 642, 663
32438,648, 641, 659
32570,647, 644, 660
32701,648, 644, 659
32833,646, 645, 658
32965,646, 646, 657
33096,647, 645, 660
33228,649, 647, 659
33360,648, 648, 656
33491,649, 645, 652
33623,646, 650, 651
33755,644, 650, 650
33886,642, 652, 649
34018,643, 654, 649
34153,642, 652, 649
34284,644, 652, 651
34416,640, 648, 651
34548,640, 645, 651
34679,644, 646, 652
34811,645, 641, 653
34943,644, 638, 652
35074,644, 640, 649
35206,641, 638, 646
35344,639, 644, 646
35485,640, 643, 647
35617,641, 641, 645
35748,639, 639, 645
35886,644, 637, 645
36016,642, 638, 646
36144,644, 639, 645
36275,641, 637, 648
36407,642, 637, 646
36542,641, 641, 651
36673,636, 656, 655
36805,634, 664, 655
36941,632, 651, 650
37068,638, 640, 649
