T,L1,L2,L3
6755,0, 0, 0
6891,338, 299, 255
7009,511, 454, 520
7123,600, 511, 586
7242,644, 560, 638
7356,659, 589, 665
7475,669, 602, 680
7589,677, 605, 687
7708,684, 610, 695
7822,689, 610, 695
7940,685, 612, 695
8054,684, 614, 696
8172,685, 615, 698
8286,683, 614, 705
8405,686, 615, 708
8519,687, 615, 706
8637,686, 618, 703
8751,680, 617, 700
8868,679, 618, 696
8982,680, 615, 699
9099,678, 615, 699
9213,675, 614, 702
9330,671, 613, 702
9444,673, 613, 699
9561,676, 618, 701
9675,676, 617, 702
9792,680, 617, 705
9906,679, 614, 709
10023,678, 615, 708
10138,680, 615, 706
10255,682, 616, 701
10370,679, 614, 699
10486,676, 616, 697
10601,673, 614, 701
10717,671, 616, 700
10838,674, 616, 701
10972,676, 612, 698
11098,681, 611, 702
11259,683, 611, 708
11481,686, 612, 708
11680,684, 613, 702
11921,682, 615, 699
12146,682, 614, 700
12347,681, 615, 697
12541,679, 614, 702
12743,683, 614, 705
12937,685, 616, 704
13130,681, 618, 699
13266,681, 616, 698
13398,680, 616, 701
13531,683, 621, 694
13661,681, 625, 689
13793,687, 632, 680
13925,686, 637, 677
14057,689, 644, 682
14188,688, 652, 683
14320,690, 660, 681
14452,687, 669, 678
14584,687, 674, 675
14716,687, 675, 673
14847,682, 677, 669
14989,683, 672, 667
15117,685, 671, 669
15252,682, 669, 670
15384,676, 667, 662
15519,669, 660, 659
15651,661, 649, 652
15782,651, 638, 642
15914,644, 629, 628
16046,634, 619, 613
16178,618, 602, 600
16310,603, 587, 583
16441,588, 574, 567
16573,571, 556, 551
16705,559, 538, 533
16837,548, 529, 523
16969,540, 523, 514
17104,531, 515, 507
17235,530, 508, 501
17375,525, 503, 496
17503,520, 493, 486
17638,509, 483, 473
17770,494, 472, 457
17898,480, 458, 445
18029,473, 450, 437
18161,468, 442, 428
18293,457, 437, 422
18425,450, 429, 419
18557,445, 422, 412
18688,438, 414, 407
18820,433, 407, 398
18952,421, 395, 389
19084,410, 387, 377
19230,398, 378, 366
19361,389, 365, 356
19503,381, 355, 342
19635,369, 346, 332
19767,359, 335, 317
19898,349, 326, 309
20030,340, 319, 303
20165,331, 305, 292
20300,319, 290, 280
20432,301, 273, 264
20577,288, 260, 249
20709,279, 255, 240
20841,271, 249, 234
20973,263, 235, 222
21105,250, 220, 208
21236,233, 202, 188
21368,209, 181, 166
21503,196, 171, 153
21632,186, 161, 143
21764,177, 152, 136
21895,173, 140, 129
22030,168, 135, 125
22160,160, 131, 119
22297,148, 124, 113
22429,139, 115, 101
22560,126, 102, 89
22698,112, 83, 74
22830,99, 73, 63
22962,83, 63, 51
23093,75, 51, 40
23225,67, 39, 34
23356,57, 0, 32
23493,0, 0, 30
23630,0, 0, 29
23762,0, 0, 28
23899,0, 0, 27
24043,0, 0, 26
24172,0, 0, 26
24318,0, 0, 27
24455,0, 0, 27
24605,0, 0, 27
24742,0, 0, 27
24879,0, 0, 27
25010,0, 0, 27
25147,0, 0, 28
25297,0, 0, 28
25433,0, 0, 28
25579,0, 0, 29
25711,0, 0, 30
25847,0, 0, 29
25998,0, 0, 29
26134,5, 0, 29
26268,0, 0, 29
26405,0, 0, 28
26555,0, 0, 28
26692,0, 0, 28
26828,0, 11, 27
26960,0, 18, 28
27096,0, 0, 28
27246,0, 0, 27
27383,0, 0, 28
27525,0, 0, 29
27663,0, 0, 29
27814,5, 0, 31
27950,0, 0, 32
28087,0, 0, 32
28221,0, 0, 32
28377,0, 0, 33
28511,0, 0, 33
28647,0, 0, 33
