T,L1,L2,L3
6755,0, 0, 0
6891,346, 369, 288
7010,527, 562, 588
7124,618, 668, 665
7243,665, 705, 729
7357,693, 735, 761
7476,708, 747, 780
7590,710, 755, 786
7709,717, 753, 795
7823,713, 752, 804
7941,716, 749, 815
8055,720, 748, 817
8174,719, 746, 814
8288,717, 753, 805
8406,712, 759, 802
8520,714, 766, 801
8637,710, 768, 801
8751,706, 765, 804
8868,707, 760, 806
8982,714, 756, 802
9099,712, 756, 806
9213,711, 750, 811
9330,711, 743, 812
9444,711, 745, 808
9561,712, 750, 806
9675,711, 760, 799
9792,714, 761, 799
9906,714, 764, 799
10023,712, 767, 800
10138,715, 763, 804
10255,713, 763, 810
10375,713, 758, 810
10501,712, 755, 811
10632,715, 753, 810
10765,717, 754, 806
10895,711, 758, 804
11026,713, 761, 805
11156,715, 762, 802
11286,717, 760, 803
11416,718, 759, 804
11547,716, 753, 811
11677,716, 757, 812
11807,719, 749, 808
11938,716, 750, 812
12068,714, 753, 808
12198,719, 758, 806
12328,718, 758, 807
12455,716, 759, 807
12578,714, 754, 806
12711,717, 754, 811
12842,719, 753, 813
12972,721, 753, 815
13102,723, 754, 817
13232,722, 751, 809
13363,716, 750, 805
13493,718, 753, 805
13623,718, 758, 807
13754,720, 751, 812
13884,723, 747, 815
14014,725, 742, 813
14145,727, 743, 816
14275,723, 743, 816
14405,722, 744, 816
14535,724, 744, 813
14669,725, 743, 812
14799,725, 748, 817
14929,728, 749, 817
15123,730, 745, 817
15351,729, 740, 822
15552,731, 740, 821
15745,728, 739, 817
15945,725, 741, 814
16139,728, 744, 820
16341,731, 741, 824
16537,732, 740, 823
16741,734, 737, 819
16939,726, 742, 810
17113,725, 747, 811
17229,726, 746, 814
17350,731, 749, 812
17471,742, 755, 806
17587,750, 761, 805
17708,752, 762, 797
17824,760, 767, 797
17945,765, 772, 796
18066,768, 777, 792
18182,769, 779, 788
18303,765, 779, 784
18419,759, 772, 778
18539,747, 762, 768
18660,738, 740, 751
18776,713, 709, 723
18899,683, 678, 698
19041,654, 659, 673
19173,636, 647, 648
19305,623, 641, 638
19437,610, 633, 626
19568,599, 614, 610
19710,580, 597, 597
19846,564, 577, 575
19974,547, 564, 559
20105,529, 541, 538
20237,493, 500, 509
20369,472, 474, 477
20501,455, 458, 459
20633,434, 444, 440
20768,411, 424, 413
20900,393, 410, 396
21039,368, 394, 379
21180,331, 345, 327
21312,268, 284, 262
21444,194, 230, 204
21576,163, 188, 162
21708,146, 169, 147
21840,137, 154, 137
21972,123, 142, 128
22103,105, 124, 114
22235,83, 106, 88
22367,68, 93, 72
22500,60, 83, 62
22630,47, 73, 53
22765,0, 58, 39
22901,4, 46, 32
23038,0, 0, 29
23169,0, 0, 27
23306,0, 0, 9
23446,0, 0, 17
23586,0, 0, 23
23724,0, 0, 24
23861,0, 0, 25
24011,0, 4, 26
24148,0, 9, 26
24284,0, 0, 28
24415,0, 5, 28
24552,0, 0, 27
24702,0, 15, 26
24838,0, 0, 26
24970,0, 0, 26
25116,0, 0, 28
25252,4, 0, 27
25388,0, 5, 28
25524,0, 0, 28
25670,0, 12, 29
25816,0, 18, 28
25957,0, 0, 29
26093,0, 4, 28
26224,0, 0, 27
26361,0, 0, 28
26497,9, 5, 27
26633,0, 0, 26
26765,0, 0, 25
26911,0, 0, 26
27054,0, 9, 28
27191,0, 18, 27
27322,0, 0, 28
27458,0, 12, 8
27605,0, 5, 18
27743,0, 0, 21
27873,4, 0, 0
28009,0, 0, 12
28145,0, 15, 20
